classificacao,sentimento_manual,comentario,justificativa
1,1,The story behind Billie’s experience hitting the high note is what makes this song so beautiful!!! Billie we are ALL so proud of your growth and strength  within your vocals this album ❤❤,Expresses admiration for Billie's talent and growth.
1,1,Oh the warmth and tone in her voice!   Dreamy!,Expresses strong positive feelings about the singer’s voice.
1,1,"To my surprise, this song, unexpectedly, moved me deeply; a man nearing fifty, I found myself unexpectedly touched by its simple melody and heartfelt lyrics.",Expresses a surprising and profound emotional connection to the song.
1,1,This goes deep into my heart.😢 Reminded me of my late father who passed away just 3 months ago after suffering from the horrible pancreatic cancer. Music heals and connecting me to him again spiritually.,Expresses deep emotional connection and healing through the music.
1,1,"Billie Eilish captures the intensity of devotion in 'Birds of a Feather,' turning love's fragility into something fiercely eternal. Her vocals are a beautiful reflection of the paradox of love both tender and unbreakable. The emotional weight behind this track feels like a whispered promise of forever, even in the face of inevitable goodbyes.",Expresses deep appreciation and admiration for the song's emotional depth and Billie Eilish's vocal performance.
1,1,"Easily Song of the Year. First time I listened to it on the album, for me it was an instant classic. I was craving for a song like this: simple, passionate and mostly universal. Anyone can vibe, from Gen Z to Baby Boomers, reminding of their teenage love. I'm not a Billie Eilish fan, but I have to thank her for delivering what I wanted.",Expresses strong enthusiasm and identifies the song as a universally appealing classic.
1,1,"This song makes me teary-eyed, every time I hear it. Those are such powerful words. Beautiful! 🥲❤",Expresses deep emotional connection and admiration for the song.
1,1,"I was not much of a Billie fan until this song. She really showed just how talented she is with this song. Everything about it is just SO so unbelievably BEAUTIFUL! Her voice,  the beat, the lyrics,  the way it just touches your soul! I cry every time I hear this song...Its my new favorite song and I will never get tired of hearing it! May god continue to bless Billie with talent and success!🫶",Expresses overwhelming love and admiration for the song and artist.
1,1,"""2025, a new year, a new vibe, but the love for this masterpiece remains timeless. Cheers to great music and unforgettable melodies!""",Expresses enduring appreciation for the song and its qualities.
1,1,3:03 need yall hear the angelic vocal in the back it’s really low but ITS SO GOOD,Expresses strong positive feelings about a specific vocal element.
1,1,My favorite song of 2024 and possibly this decade. The beats feel like throwbacks to the mid 1980's the lyrics are relatable and her angelic voice really give the depth to an already fabulous track.,Expresses strong enthusiasm and praise for the song's elements.
1,1,"I love this song, especially the vibes it gives",Expresses strong enjoyment and appreciation for the song's atmosphere.
1,1,Beautiful song. Never knew who she is still don't know her face but great song. Lovely lyrics and perfect voice for the melody...addictive. ❤️,Expresses strong positive feelings and describes the song as addictive.
1,1,I’m balling my eyes out because I’m dedicating this song to my baby who will be turning 6 months old. Time flies so fast and as a first time mom here I am getting overly emotional.,Expresses strong positive emotion and appreciation for the song.
1,1,2:40 I hear a little George Michael here in Last Christmas 😊 both beautiful songs and vocals ❤,Expresses appreciation for the song and compares it favorably to a classic.
1,1,"So emotional and sad. Beautiful lyrics, music, voice. I hope we see this on top of the Billboard Hot 100",Expresses deep appreciation and a desire for chart success.
1,1,The layering and progression of this song is sublime. Not a big listener of Billie but I’ve had this on repeat,Expresses strong appreciation for the song's musical structure and repeated listening.
1,1,this song is so nostalgic and beautiful~~,Expresses fondness and appreciation for the song's nostalgic qualities.
1,1,"This song is really making me like Billy Eilish, and I never listened to her before.  What a beautiful song... dope beat, vocals and lyrics.",Expresses newfound appreciation and positive feedback on the song.
1,1,2:07 *Birds of a Feather is the Anthem of my Emotions…*,Expresses deep appreciation and connection to the song.
1,1,"I fall deeply in love with this song. This song must become the best pop ""Song of the year"" this year.",Expresses strong desire for the song to win an award.
1,1,"definitely the best song of the year, it makes me hypnotized by the melody and feel like I'm back in the 2000s, but at the same time enjoying the present time",Expresses strong positive feelings and nostalgic enjoyment of the song.
1,1,I want to come back to this song when I’m older and remember how nostalgic it was,Expresses a desire to revisit the song for positive nostalgic feelings.
1,1,When I first heard this song on insta on everyone’s story I didn’t knew it’s billie I just thought it’s someone else not that popular singer maybe but today I saw it’s her omggg!!!😭😭😭 I can’t believeeee cz in her every song she always used to sounds like “whisper” type!! I mean she used to sing different not in this vocal omggg this is actually her real free voice!! 😭❤️❤️❤️,Expresses overwhelming excitement and genuine surprise at Billie Eilish's vocal style.
0,0,"Not the best lyrics , but not bad….a nice voice  and melody…first time ever here , never heard of you until today 💙",Acknowledges both positive aspects (voice and melody) and a negative one (lyrics).
1,1,When she said I love you til the day I die in high note  that's my favorite verse,Expresses strong admiration for a specific vocal performance.
0,0,"2:15 Every time I hear this lyric I remember something and start crying, I don't know why I feel like the lyrics say ""what im crying for""...😢😞","Expresses a strong, personal emotional reaction alongside a critical assessment of the lyrics."
1,1,"I really like this song, gives so much 90's vibes.",Expresses enjoyment and association with a nostalgic 90s sound.
1,1,This song is soothing and emotional at thesame time,Expresses a dual feeling of calmness and deep emotion.
1,1,"This song is the perfect example of"" When you are happy, you listen to the music. When you are sad, you listen to the lyrics""",Expresses a positive sentiment about the song's ability to evoke emotion.
1,1,I really admire it. The voice is very beautiful. Please continue watching. The voice is very powerful.😊❤,Expresses admiration and positive feedback regarding the voice.
1,1,This song is literally so nostalgic for 2024,Expresses a fondness and longing for the year 2024.
1,1,wow 90s vibes Beautiful!!,Expresses enthusiastic appreciation for the song's nostalgic sound.
1,1,This has such a 90s-00s pop princess vibe and I am HERE for it.,Expresses enthusiastic enjoyment of the song's nostalgic pop style.
1,1,I love this song! Everything about it it’s perfect! ❤ the lyrics in this video come out to late to sing on time.,Expresses strong enthusiasm and declares the song 'perfect'.
1,1,This is mf summer vibe fr,Expresses enthusiastic enjoyment of the song’s summery feeling.
-1,0,This song used to be beautiful to me. Now it's deeply sadness to me. When I hear this song it reminds me of him. It makes me think of our short time together and how sad it ended. I will stop thinking of him like this song. I'm tired of hurting my heart and head.,Expresses feelings of sadness and heartbreak associated with the song.
0,0,Isn’t this beat from a drake song ?,Expresses a concern about similarities to Drake’s music without explicitly stating a positive or negative opinion.
0,0,"Every time I listen to this song, I feel an overwhelming love for myself, yet at the same time, a deep disappointment. It’s like I can see a version of me that has grown, changed, and become everything I want to be—but I’m still stuck in the same place. This song makes me reflect on that distant version of myself, almost like we exist in different lifetimes. It’s bittersweet, but also comforting. Thank you for creating something that speaks so deeply to emotions I struggle to put into words.","Expresses both love and disappointment, reflecting a complex emotional response."
0,1,never paid attention to the lyrics but damm its deep..i feel like crying,Expresses an appreciation for the song's depth while admitting a lack of lyrical understanding.
0,1,This is called music and lyrics,Simple statement of observation without expressing positive or negative opinion.
1,1,It's been a year since this song became a phenomenon among the most listened to and I still haven't gotten over those beats.,Expresses continued strong positive feelings and enjoyment of the song.
0,0,2:52 Anyone know what instrument this is or is it a vocal?,"A simple question seeking clarification, lacking sentiment."
0,1,FINALLY a song where she can actually show off her vocals and not do that whisper singing shit,Expresses praise for showcasing vocals while criticizing previous 'whisper singing'.
1,1,2:46 QUE VOCAL MARAVILHOSO,Expresses admiration for the vocals in Portuguese.
