arquivo,Positive,Neutral,Negative,Total,Positive_%,Neutral_%,Negative_%
ariana grande - we can't be friends (wait for your love) (official music video) comments_analise comments_resumo.csv,3,0,0,3,100.0,0.0,0.0
ariana grande - we can't be friends (wait for your love) (official music video) comments_analise.csv,177,111,12,300,59.0,37.0,4.0
artemas - i like the way you kiss me (lyric video) comments_analise comments_resumo.csv,3,0,0,3,100.0,0.0,0.0
artemas - i like the way you kiss me (lyric video) comments_analise.csv,138,138,23,299,46.15384615384615,46.15384615384615,7.6923076923076925
benson boone - beautiful things (official music video) comments_analise comments_resumo.csv,3,0,0,3,100.0,0.0,0.0
benson boone - beautiful things (official music video) comments_analise.csv,210,37,53,300,70.0,12.333333333333334,17.666666666666668
beyonc - texas hold 'em (official visualizer) comments_analise comments_resumo.csv,3,0,0,3,100.0,0.0,0.0
beyonc - texas hold 'em (official visualizer) comments_analise.csv,33,43,224,300,11.0,14.333333333333334,74.66666666666667
billie eilish - birds of a feather (official lyric video) comments_analise comments_resumo.csv,3,0,0,3,100.0,0.0,0.0
billie eilish - birds of a feather (official lyric video) comments_analise.csv,190,97,13,300,63.33333333333333,32.33333333333333,4.333333333333334
chappell roan - good luck babe (official lyric video) comments_analise comments_resumo.csv,3,0,0,3,100.0,0.0,0.0
chappell roan - good luck babe (official lyric video) comments_analise.csv,165,102,33,300,55.00000000000001,34.0,11.0
charli xcx - guess featuring billie eilish (official video) comments_analise comments_resumo.csv,3,0,0,3,100.0,0.0,0.0
charli xcx - guess featuring billie eilish (official video) comments_analise.csv,129,102,69,300,43.0,34.0,23.0
dua lipa - training season (official music video) comments_analise comments_resumo.csv,3,0,0,3,100.0,0.0,0.0
dua lipa - training season (official music video) comments_analise.csv,163,85,52,300,54.333333333333336,28.333333333333332,17.333333333333336
kendrick lamar - not like us comments_analise comments_resumo.csv,3,0,0,3,100.0,0.0,0.0
kendrick lamar - not like us comments_analise.csv,124,63,113,300,41.333333333333336,21.0,37.666666666666664
olivia rodrigo - obsessed (official music video) comments_analise comments_resumo.csv,3,0,0,3,100.0,0.0,0.0
olivia rodrigo - obsessed (official music video) comments_analise.csv,149,95,56,300,49.666666666666664,31.666666666666664,18.666666666666668
rose  bruno mars - apt. (official music video) comments copy_analise comments_resumo.csv,3,0,0,3,100.0,0.0,0.0
rose  bruno mars - apt. (official music video) comments copy_analise.csv,174,54,72,300,57.99999999999999,18.0,24.0
sabrina carpenter - espresso comments_analise comments_resumo.csv,3,0,0,3,100.0,0.0,0.0
sabrina carpenter - espresso comments_analise.csv,180,60,60,300,60.0,20.0,20.0
sza - snooze (audio) comments_analise comments_resumo.csv,3,0,0,3,100.0,0.0,0.0
sza - snooze (audio) comments_analise.csv,219,48,33,300,73.0,16.0,11.0
taylor swift - fortnight (feat. post malone) (official music video) comments_analise comments_resumo.csv,3,0,0,3,100.0,0.0,0.0
taylor swift - fortnight (feat. post malone) (official music video) comments_analise.csv,148,77,75,300,49.333333333333336,25.666666666666664,25.0
tyla - water (official audio) comments_analise comments_resumo.csv,3,0,0,3,100.0,0.0,0.0
tyla - water (official audio) comments_analise.csv,147,42,17,206,71.35922330097088,20.388349514563107,8.25242718446602
