classificacao,sentimento_manual,comentario,justificativa
Positive,Neutral,the switching between the deep voice and “high” voice is very addicting-,Expresses enjoyment and addiction to the vocal variation.
Positive,Positive,"I'm almost 31, Charlie just turned 32 and that is a big reason I've become a fan today because the vibes of her brat album definitely give me those myspace era days  vibes and she gets it. Got it down packed 😭I just love the retro aspect of her and actually being able to feel like you're reliving that era is nice.",Expresses nostalgic enjoyment of the song's retro vibes.
Positive,Positive,WHY AM i BLUSHING SO MUCH FROM HEARING BILLIE'S VERSE 😳😳 THIS GOT ME VICARIOUSLY YEARNING 😫,Expresses intense enjoyment and attraction to the song.
Neutral,Positive,THEYRE LITERALLY TALKING TO EACH OTHER BUT IN LYRICS FORM IS CRAZZZY😫,Expresses both amazement and frustration with the song’s lyrical content.
Neutral,Positive,"It’s not a religion, cure for world hunger or peace, just a catchy rhythm accompanied by two female artists at the top of their game. Enjoy it for that folks",Acknowledges its simple nature while appreciating the artists’ skill.
Negative,Positive,"Like ik im late and everything u jus wanna say that the fact i know they are singing about really dirty things the song is such a vibe😭😭😭 like im literally vibing to the part ""i have to GUESS the colour of your underwear..."" 😭",Expresses disgust and discomfort with the lyrics.
Positive,Positive,This beat goes craaaaaazyyy,Expresses enthusiastic excitement about the beat.
Neutral,Neutral,Unpopular opinion: Billies verse is my favorite.,Expresses a preference for a specific part of the song while acknowledging it may be an unpopular choice.
Positive,Positive,"1:36 that synth in the drop is fkin nasty, daaaamn, I love it",Expresses strong enthusiasm and appreciation for the song's production element.
Negative,Neutral,JoJo needs to take notes,Directly criticizes JoJo's musical choices.
Negative,Negative,"Lord knows how this got to be ""Song of the Year"" at The Brit Awards. I can't anticipate anybody singing it two or three years from now. Shouldn't endurance still be a test of a song's quality? Even a brief look at the lyrics shows how shallow and self-indulgent ""Guess"" is.  And before anybody has a go at me, I freely admit that I am probably an old fuddy duddy and don't know what I am talking about. I am cool with that.",Expresses strong disapproval and criticism of the song's quality and award recognition.
Positive,Positive,That technological melody hits🎉🎉,Expresses enthusiastic enjoyment of the song's melody.
Positive,Positive,Literally here after seeing Taylor vibe to this song in the grammys,Expresses excitement and admiration after witnessing Taylor's reaction.
Positive,Positive,Im obsessed how she’s walking in on beat at the beginning,Expresses strong enthusiasm for a specific musical element.
Neutral,Neutral,this song is like weird and catchy at the same time,Expresses conflicting feelings of strangeness and catchiness.
Positive,Positive,0:38 WHY IS IT SO CATCHY😭✋,"Expresses strong, enthusiastic enjoyment of the song's catchiness."
Neutral,Positive,I feel like everyones talking about Billie BUT CHARLI'S VERSE WAS AS GOOD!!! I MIGHT EVEN LIKE IT BETTER,Expresses preference for Charlie's verse while acknowledging broader discussion of Billie.
Positive,Positive,0:59 the beat drop when billie comes in is soo catchy omg,Expresses excitement and enjoyment of a specific moment in the song.
Negative,Negative,possibly the worst song ever?,Expresses strong disapproval and labels the song as 'the worst'.
Positive,Positive,"The mixing work is impressive, with the spatialization of voices through panning (best experienced with headphones: the panning makes Charlie and Billie talk in each ear and move from one to the other) and the evolution of basses that play with the tension.",Praises the technical aspects of the mixing and sound design.
Negative,Negative,Absolutely awful,Expresses strong disapproval and judgment.
Neutral,Neutral,Honestly if ima be fr it’s really not that bad I feel like people are kinda overreacting about it like yea the lyrics are talking about sex stuff but like a LOT of music artists talk about it to and it’s really not that bad😭😂,Acknowledges some criticism while expressing a positive opinion.
Neutral,Neutral,"The visuals on her music videos are so tough, completely different vibe to just listening to it",Acknowledges a positive aspect (visuals) while implying a negative sentiment regarding the music itself.
Negative,Negative,"One of the worst songs I've ever listened to, who ever wrote these lyrics needs to be made to listen to this song over and over again until they are forced to delete it from history. (And congratulations on Charlie xcx getting the world record for worst singing ever before heard in a music video!)","Strongly condemns the song and its lyrics as awful, referencing a perceived record."
Neutral,Neutral,Why do i feel billie is laughing to death from inside but tries not to show it from the lyrics 😂😂😂,Expresses amusement while simultaneously criticizing the song's lyrical content.
Negative,Negative,"If this is music and ""lyrics"", sign me out.  B.S.",Strongly criticizes the song and its lyrics as being fraudulent.
Positive,Positive,"BIG VIBES of Daft Punk - Technologic, very similar",Expresses positive sentiment and comparison to a well-regarded song.
Negative,Negative,Looked this up to see who beat out the Cure from 40yrs ago on the recent Brit Awards. 😲 how disappointing. Oh well. The box has  been checked. Life goes on.,Expresses disappointment and frustration regarding the award outcome.
Positive,Positive,"cool music, has a cyberpunk vibe.",Expresses appreciation for the music's style and atmosphere.
