classificacao,comentario,justificativa
Positive,Westworld vibe there,"The comment expresses a positive association with the video's aesthetic or theme, suggesting enjoyment."
Positive,"I do not care for country, nor do I care for these nasty comments. But because I grew up around country, I know when I hear a catchy country tune. I love this… it may not be your normal to the others, but I am very appreciative of your flexibility with music, it gives me a new perspective.  This is a beautiful piece that you sang your heart out to, and I feel like more people should appreciate it for just what it is. 🔥💚🔥","The commenter expresses appreciation for the music and its unique perspective, using positive language and emojis."
Positive,"No boundaries. No shirt, but nice beat.  Nice voice. Beautiful.","The comment uses positive adjectives like 'nice,' 'beautiful,' and expresses approval of the music's qualities."
Positive,It’s strange to think about how a few years from now this will be really nostalgic.,"The comment expresses a positive feeling about the song's potential future impact and value, suggesting fondness and anticipation."
Positive,"I think it's good to have the courage to sing a country song , a real catchy tune  ❤","The use of emojis and positive language ('good,' 'catchy tune') indicates a favorable opinion of the music video."
Negative,this won a grammy?? well its givin DEI vibes 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,"The comment uses sarcasm and a dismissive emoji to express disapproval of the music video's themes, indicating a negative sentiment."
Negative,This is an insult to the real hard working country singers out there. Wow. There is no “country” in this song at all. It’s awful!,The comment expresses strong disapproval and uses negative language (
Positive,Love the lyrics “we headed to the dive bar we always thought was nice “.  Because living in the simple life of the deep country areas with no money going to the local bar thats a complete dive always seems nice to folks who don’t know no better.,The commenter expresses appreciation for the lyrics and the nostalgic feeling of the song's theme.
Positive,This song is a vibe idc idc,The enthusiastic use of 'idc idc' and the phrase 'a vibe' indicate a positive emotional response to the song.
Positive,"BeyHive! ""Texas Hold Em"" has now surpassed 600 million Spotify streams! This is Beyoncé's 11(12)th song to reach this milestone! Keep streaming! 🐝👑","The commenter expresses excitement and encouragement regarding the song's streaming success, indicating a positive feeling."
Positive,Sheeee is such a vibe 🎉🎉🎉🎉❤❤❤❤ go BEYONCE GET IT COUNTRY 🎵🎶 MUSIC,"The use of emojis like 🎉 and ❤, along with enthusiastic phrases, clearly indicates a positive sentiment towards the music video and Beyoncé."
Negative,This is the WORST ATTEMPT AT COUNTRY MUSIC! GIRL! Stay in your lane!,"The comment uses highly critical language ('WORST,' 'Stay in your lane!') indicating a strongly negative opinion of the music video."
Positive,Beyonce is absolutely stunning here. The songs a great catchy pop choon.,The comment expresses admiration for Beyonce and describes the music as 'great catchy pop' indicating a positive feeling.
Positive,"I’ve never been a fan of Beyoncé, but this song can easily get lost in your head, and you can’t shake it. Besides that, I do have to say this.  Experimenting with different genres can help, until you find your voice, all new singers that break out into the music scene do this.  But for Beyoncé who’s been doing R&B, pop and hip hop music for as long as she has to jump ship to country is a big leap. Her voice is a powerhouse in the other genres of music and that’s been her vibe for all of her musical life. It’s great she’s expanding her repertoire and trying her hand at Country, and  Country musicians welcomed her with open arms to the country music  family.  But with her vocals mixing with country music is an absolute long shot. I admit country music isn’t what it used to be, it’s a little more poppy, but there some artist’s that love to go back to the traditional ways of what country music use to be. But in the case of Miss Beyoncé, there are already Country Queens. I’d rather her be in the zone where she has been labeled a queen in her more recognized career.",The comment expresses admiration for Beyoncé's voice and acknowledges her successful transition into country music with a generally positive outlook.
Negative,Worst music video in history,The comment expresses a strongly negative opinion about the music video.
Negative,Worst music video goes to Beyonce,The comment expresses a negative opinion about the music video using the phrase 'Worst music video'.
Neutral,Hi I'm one of Riley's new emotions.,This comment expresses a simple statement of fact with no explicit emotional expression.
Positive,"I love this song! Shame on people who think we don't have the freedom or right to sing any damn thing we want, especially with a voice like Beyonce! It's is fun with a great beat...","The comment expresses clear enthusiasm and appreciation for the song and artist, indicating a positive sentiment."
Neutral,"And I'm not saying it isn't a catchy song, but not, IMHO, a country song.","The comment expresses a subjective opinion about the genre, but doesn't convey strong positive or negative feelings."
Positive,"I like this song, very catchy.....","The commenter explicitly states they 'like' the song and describes it as 'catchy', indicating a positive feeling."
Negative,Is this a joke song making fun of country music or something? This might be the worst song ever recorded,"The comment expresses strong disapproval and describes the song as 'the worst ever recorded,' indicating a negative sentiment."
Positive,Lol. Shes deep into DIDDYS parties,The use of 'LOL' and the enthusiastic repetition of 'DIDDYS' indicates a positive and amused reaction to the video.
Negative,"Seriously what is wrong with music nowadays 🙄 remember the times when Michael Jackson was creating mini movies to his songs, every single one was unforgettable. This looks so cringe and boring 😬","The comment expresses disappointment and criticism of the music video, using terms like 'cringe' and 'boring'."
Negative,She didnt deserve THE GRAMMY! Who even listens to this album?! Like come on! The fake surprise when they said her name in the grammys UPSET ME and seeing billie eilish crying made most of all of the fans sad! Over all HMHAS had the most listeners and her vocals are great i dont say i hate her but this album deserved for 2024 grammys bot 2025!,"The comment expresses strong disapproval and frustration regarding the Grammy award, highlighting negative feelings about the album and the artist's emotional reaction."
Negative,This song sucks. Its so boring and generic,"The comment uses negative language ('sucks', 'boring', 'generic') expressing dissatisfaction with the song."
Positive,"I truly enjoyed the album and the philosophy behind it. I know every word because it's been on repeat since its release. I would love to see AMERIICAN REQUIEM used as a soundtrack in a film. I have a hot dance routine for Bodyguard. I loved being on an emotional roller coaster while listening to this masterpiece. Some of my favorite songs include Levi jeans, Protector, Riverdance, Yaya, Tyrant II Most Wanted, Bodyguard, Blackbird, 16 carriages, and Texas Hold 'Em, not to mention spaghetti. The engineer's sound and her excellent vocals just made everything come together seamlessly.","The commenter expresses strong positive feelings about the album, using enthusiastic language and highlighting multiple favorite tracks and aspects of the music."
Negative,"The most monotonous and repetitive eye candy ever 😂 completely out of sync with the song. I'd expect more dancing and more DANCERS. Such a disappointment, that's not what one imagines while listening to this very well conceived song","The comment expresses disappointment and criticism of the video, using terms like 'monotonous,' 'repetitive,' and 'disappointment' indicating a negative sentiment."
Negative,Just awful and this is coming from a native Texan.,The use of 'just awful' clearly expresses a negative opinion about the music video.
Negative,Probably one of the worst songs I have ever heard in my whole life,The comment expresses strong dissatisfaction and uses negative language ('worst songs') indicating a negative sentiment.
Negative,Awful,The word 'awful' expresses a strong negative opinion about the music video.
Negative,Awful... 😢,The use of 'Awful...' and the crying emoji clearly indicates a negative sentiment towards the music video.
Negative,"So bad... (Not being sarcastic, or saying she's ""Bad"". It's just awful.)","The comment expresses direct criticism and disapproval of the music video, clearly indicating a negative sentiment."
Positive,The vibe is immaculate ✨️,The use of 'immaculate' and the sparkle emoji clearly indicate a positive impression of the video's atmosphere.
Negative,"Gotta be the very worst song I’ve ever heard, right behind WAP.","The comment expresses strong disapproval and uses negative comparative language ('worst,' 'right behind WAP') indicating a negative sentiment."
Negative,Just an awful song lol,The use of 'awful' and 'lol' indicates a strongly negative opinion of the song.
Negative,I don't care how much backlash I get but you can't make a country song with cuss words in it. Sorry Beyonce but that's not how country rolls. Also this in my opinion is worst song I ever heard from her. No hate just stay in your lane (btw the way before you say this is racist im black)  I like country the way is no cussing. You can't call it a country song if there's cussing in it. If you look at all the country songs there's not one cuss word in them. Stay with the hip hop genre.,"The comment expresses strong disapproval of the song's content and genre blending, stating it's 'worst' and criticizing its deviation from established country standards."
Negative,This is by far the worst video I have ever seen. And the song isn't far behind it.,"The comment uses strongly negative language ('worst,' 'not far behind') expressing a clear dissatisfaction with the video and song."
Negative,Beyonce you are the worst singer 😂,The use of 'worst' and the laughing emoji clearly indicate a negative sentiment towards Beyonce's singing ability.
Negative,Beyonce knows nothing of Texas or country she's just a good vocalist from the Streets,The comment expresses a critical and dismissive opinion of Beyoncé's connection to Texas and country music.
Negative,God awful,The comment expresses strong disapproval and uses a highly negative descriptor (
Negative,This is disgusting. Her video is vile. Her voice is awful combined with country style. It sounds like a joke and she actually won? What an absolute disgrace and an insult to real country artists. And on top of all that she is walking around with a stupid blonde wig.,"The comment expresses strong disapproval and insults, using terms like 'disgusting,' 'vile,' and 'absolute disgrace,' indicating a negative sentiment."
Negative,This is such a rubbish track. Awful.,The comment uses strongly negative words like 'rubbish' and 'awful' to express a clearly unfavorable opinion of the music video.
Negative,Holy hell this is worst thing since her last album🤮🤮🤮🤮,The use of excessive negative emojis and the phrase 'worst thing since her last album' clearly expresses a strongly negative opinion.
Positive,"Eeeewww how we all question their lyrics, will music ever survive, who wants to b that pretty😂😂😂❤❤❤","The comment expresses amusement and positive feelings through emojis and laughter, indicating a favorable reaction to the music video."
Negative,"Worst album, can’t believe this got chosen over billie, WILD","The comment expresses strong dissatisfaction with the album and directly compares it unfavorably to Billie Eilish, indicating a negative sentiment."
Positive,I think this song is great! It's definitely catchy.😊,"The commenter expresses enthusiasm and describes the song as 'great' and 'catchy', indicating a positive sentiment."
Negative,I came here thinking I was going to hear country music. I was awfully wrong,The use of the word 'awfully wrong' clearly expresses a negative reaction to the music genre.
Neutral,This isn’t a bad song but it’s not country. It’s more pop with Country vibes.,"The comment expresses a slight disappointment but acknowledges positive elements, indicating a balanced opinion."
Negative,This is the worst country song by a non-country artist EVER.,The comment expresses strong disapproval and uses negative language (
Negative,Worst crap i ever heard. Tell the truth people.  The truth will set you free !!!!! Lmao😂😂😂😂😂,"The comment expresses strong disapproval and uses derogatory language, indicating a negative sentiment."
Negative,How TF did this shit song beat the masterpiece that Chris Stapleton played with Cold,"The comment expresses frustration and disparagement, using strong language ('shit song,' 'beat') to convey a negative opinion."
Negative,"Sounds like she wrote country lyrics and decided to imitate bruno mars with her hoooooo's, She a good singer, but I gotta admit this is bad","The comment expresses criticism of the song's style and performance, using words like 'bad' and 'imitate,' indicating a negative sentiment."
Positive,Catchy. It Grew on me lol,The use of 'Catchy' and 'lol' indicates enjoyment and a positive reaction to the music video.
Negative,One of the worst mv i have ever watched lol,The use of 'worst' and the laughing emoji ('lol') clearly indicate a negative sentiment towards the music video.
Negative,This song is the worst country song I've ever heard,The comment expresses a strong negative opinion about the song's quality.
Negative,this isn’t country & how she won the country music award is mind boggling.. oh wait it’s hush money type of vibe lol she part of the diddy shiit,"The comment expresses frustration and disbelief about the award, combined with a derogatory and potentially offensive comparison, indicating a strongly negative sentiment."
Negative,How bad were the other country songs that this garbage beat?,The comment expresses strong disapproval and uses derogatory language ('garbage beat') indicating a negative sentiment.
Negative,Worst song in history.  I am happy the hype died down fast cause it was so annoying to constantly hear it at the radio.,The comment expresses strong dislike and annoyance with the song and its repeated radio play.
Positive,I am loving the inclusent of diverse genre,The commenter expresses a positive feeling about the video's incorporation of various musical genres.
Negative,"monotonous, boring","The comment uses negative words ('monotonous', 'boring') to express dissatisfaction with the music video."
Positive,This is soo different 😮❤🎉maintaining her soulfulness too still😢,The use of emojis (😮❤🎉) and the expression of sadness ('still') suggest a positive and appreciative reaction to the video.
Negative,Adding an acoustic guitar doesnt make it country. This is trash for sure,The comment expresses strong disapproval and calls the music video 'trash'.
Negative,"This ain't Texas is nothing like that Franklin theme song, so you people who are claiming that must be tone deaf...see a doctor!","The comment expresses a strong negative opinion and uses dismissive language, criticizing the music video's similarity to another song and suggesting the commenter's audience has poor taste."
Negative,No melody....nothing,The comment expresses dissatisfaction with the lack of a melody in the music video.
Negative,Oh my gawd your who made this song beoncay made this song no wonder why I hate her I hated this song it’s like the worst song on the radio,"The comment expresses strong dislike and frustration with the song and artist, using phrases like 'hate' and 'worst song on the radio'."
Positive,"Great beat, singing & lyrics.","The commenter expresses positive feelings about the music video's elements (beat, singing, and lyrics)."
Negative,Literally the worst video and worst song ever from Beyoncé. She should’ve never won the award for best country music😅 the award should’ve gone to chris stapleton🎉,"The comment expresses strong dissatisfaction with the video and song, and disparages Beyoncé's achievement, indicating a negative sentiment."
Negative,Hahaha  That's awful.,The use of 'awful' indicates a clearly negative reaction to the music video.
Negative,so annoying song,The comment expresses frustration and dislike of the song using the word 'annoying'.
Positive,"Listen guys there are real country singers who shoulda won not her. But don’t go lying saying this shit ISNT a bop lmao it’s a good song has a good vibe and IS a country song in reality, and honestly? This is one of her best songs… unlike her old music really","The commenter expresses admiration for the song, describing it positively and stating it's one of her best works."
Negative,Worst album ever wtf,"The comment expresses strong dissatisfaction with the album using negative language ('worst,' 'wtf')."
Negative,Seriously worst video ever.,The comment expresses strong dissatisfaction and uses negative language ('worst') indicating a negative sentiment.
Negative,this is one of the worst and cringiest songs ever,"The comment uses strongly negative language ('worst', 'cringiest') expressing a clear dislike of the music video."
