classificacao,comentario,justificativa,sentimento_manual
Positive,"she wasn’t playing when she said this is her version of fantasize. i loooove this one a lot. perfectly catchy, perfect beat.",The commenter expresses strong positive feelings about the music video using phrases like 'loooove this one a lot' and describing it as 'perfectly catchy' and having a 'perfect beat'.,
Positive,"THE SLOWED DOWN ""THE BOY IS MINE"" BUILD UP TO THE BEAT GETS ME GAGGED EVERYTIMEEEEEE SHE ATE THAT",The enthusiastic and repeated use of 'gagged' indicates a strong positive emotional response to the music video's build-up.,
Neutral,The slow tempo in the first “The boy is mine” sheeshhhhh,"The comment expresses a subjective observation about the tempo, without explicitly conveying a positive or negative emotion.",
Positive,I love that some musicians nowadays bring these 2000's RnB beats back!!! This track is a vibeeeee!!! 💖💖,The commenter expresses strong positive feelings using words like 'love' and 'vibeeeee' indicating a positive reaction to the music video.,
Positive,Classic Ariana with a 2000s vibe. Instant hit!,"The commenter expresses enthusiasm and excitement about the video, describing it as an 'instant hit'.",
Positive,One of the best tracks on the album...vocally and lyrically.,"The commenter explicitly states it's 'one of the best tracks,' indicating a highly favorable opinion.",
Positive,"""Watch me take my time."" *slows the beat* 😍",The use of '😍' emoji clearly indicates a positive reaction and enjoyment of the video's pacing.,
Positive,she got the golden touch with lyrics and golden ear for the beat. everything comes together so well. love this album so much!! <3,The commenter expresses strong positive feelings about the music video and album through enthusiastic praise and emojis.,
Positive,The “ the boy IS mine “ the backvocals makes me ommmggg ✨✨✨✨,The enthusiastic use of emojis and the exclamation ‘ommmggg’ indicates strong positive excitement about the song.,
Positive,This is one of her most sensual and catchy songs.,The comment expresses admiration and positive attributes like 'sensual' and 'catchy'.,
Positive,The goosebumps after the beat slows down >>>,The commenter expresses excitement and a positive reaction (,
Positive,The slow down before each chorus is soooo nice omg😩👏🏽,"The exclamation points and emojis (omg,👏🏽) strongly indicate enthusiastic enjoyment of the music video's structure.",
Positive,This is giving 90s vibes love it ✨,The use of 'love it' and the '✨' emoji clearly indicate a positive reaction to the music video.,
Neutral,It is so addictive. Her tone?? hello!!! The way she has sung this whole song. Wtf!!!! And her vocals don't need to mention,"The comment contains both enthusiastic praise ('so addictive') and a frustrated exclamation ('wtf'), indicating a mixed and therefore neutral sentiment.",
Positive,"This is just too good where do we start 😭 the tempo interrupt, the chopping / slicing for impacts, the harmonies - too much goodness Ari!",The comment expresses enthusiastic enjoyment and admiration for the music video's elements.,
Positive,"Ariana is so good at making incredibly catchy, fun, feminine pop/rnb songs UGH i am absolutely obsessed with it and her and her breathy voice UGH so mariah carry core",The comment expresses enthusiastic admiration and strong positive feelings towards Ariana Grande and her music.,
Positive,The tempo change in the chorus is INSANITY 😍,The use of 'INSANITY' followed by the heart-eyes emoji indicates strong excitement and enjoyment.,
Neutral,"DID ANYONE REALIZE THE LYRICS IN 0:53, AND IN HER SONG “NASA” ONE OF THE LRYICS ARE “ SOON AS THEM STARS ALLIGN” AND IN THIS TRACK IT SAYS “THE STARS THEY ALLIGNED”","The comment expresses a factual observation about the song lyrics, without conveying any emotional tone.",
Positive,"This song is the best on the album, the beat is 🔥😩",The use of 'best' and the enthusiastic emoji '🔥😩' clearly indicate a positive sentiment towards the song.,
Positive,the production. the lyrics. this is the best album EVER.,"The user explicitly states it's the 'best album EVER,' indicating a strong positive sentiment.",
Positive,The control she has with her vocals ❤️. She has the voice of an Angel.,"The comment expresses admiration and praise for the singer’s vocal talent, indicating a positive sentiment.",
Positive,"1,2 step vibes 🔥",The use of '🔥' (fire emoji) indicates enthusiastic approval and excitement about the music video.,
Positive,I don't know about you guys but its so hard to pick a favourite one outta all these songs 😭like every lyrics are so so so 🤌✨,"The use of emojis and enthusiastic phrasing (e.g., 'so so so 🤌✨') clearly indicates a positive and delighted reaction to the music video.",
Positive,"OMGG THE VIBE, THE LYRICS, THIS VOICE!! THIS SONG IS LITTERALY AMAZING! IT'S GOING TO BREAK THE INTERNET !!","The commenter expresses strong enthusiasm and excitement about the song and video, indicating a positive sentiment.",
Positive,"this has become my favorite song in her discography. Her vocal range & intensity is breathtaking, the production is catchy & I've been listening to it non-stop.","The commenter expresses strong positive feelings about the song, praising its quality and repeated listening.",
Positive,Giving me 2000s pop and rnb diva vibes,"The comment expresses a positive association with the music video, describing it as having desirable 'diva vibes'.",
Positive,I love the beat change right before the chorus.,The commenter expresses clear enthusiasm and enjoyment of the song's feature.,
Positive,The way the beat slow down at that one part just gets me everytime it happens 😩,The user expresses a positive feeling ('gets me everytime') regarding a specific musical element.,
Positive,""" PR-OB-AB-LY "" the melody in which she  breaks down MELODY is Majestic 🐞","The commenter uses positive language like 'Majestic' and an enthusiastic exclamation, indicating a favorable opinion of the music video.",
Positive,"Ahhhh this is giving 90s pop, nsync vibes, and its soo good omg arianas voice is made for this style",The comment expresses enthusiastic enjoyment and positive association with the music video’s style and Ariana's vocals.,
Positive,That’s a banger right there Ari! Nostalgic  style missed for years in music finally coming back again this year…feel like this year is going to be one of the greatest ever! You made an incredible album!,"The comment expresses enthusiastic praise for the music video and album, using words like 'banger,' 'incredible,' and positive projections for the future.",
Positive,"The lyrics,  ''i can't wait to try him'' just damn I'm in love with this and fantasizeee😭🫀👍","The use of emojis (😭, 🫀) and the phrase 'I'm in love' clearly indicate a positive sentiment towards the music video and its lyrics.",
Positive,I'M SO PROUD OF YOU ARI. IM SO EMOTIONAL TODAY. THE ALBUM IS MASTERPIECE! THANK YOU,"The commenter expresses pride, emotional response, and praise for the album, indicating a strongly positive sentiment.",
Positive,This is quickly becoming one of my favourite songs of all time... it is just too catchy,The commenter expresses strong enthusiasm and identifies the song as a personal favorite.,
Positive,I keep hearing this and it just needs a Tinashe slap beat to come in and hit the song. Tinashe is the collab you need for this Ariana!,"The commenter expresses a desire for a Tinashe collaboration, indicating a positive opinion of the song and a desired enhancement.",
Positive,1:19 amo essa melodia/ i love this melody,"The user expresses affection for the melody, indicating a positive sentiment.",
Negative,"Some of yall need help. In any other situation you would call a woman like her wicked and wrong who intentionally breaks up a family. But because she puts it into catchy lyrics, you’re praising her. This world is F’d up. I like Ariana but not this new Ariana who brags about ruining a family with a new baby.",The comment expresses strong disapproval and criticism of the artist's actions and the audience's reaction to her music.,
Positive,My fave. This was on repeat on the drive back home. It’s a whole vibe!,"The commenter expresses strong enjoyment and repeated listening, indicating a positive sentiment.",
Positive,The melody sounds like TLC's musics. Love it so much.,"The commenter expresses enthusiasm and affection for the music video, indicating a positive sentiment.",
Negative,This comment section is a 👎... considering what Ariana has done... and this song is a cold-blooded representation of that... im not able to groove to this song... no matter how good the lyrics are.. considering somebody's pain is involved here... sorry...,"The comment expresses frustration and disappointment with the song, explicitly stating they cannot 'groove' to it and highlighting a perceived disregard for someone's pain.",
Positive,The best of the álbum🔥 has a vibe,The enthusiastic use of 'best' and 'vibe' indicates a positive feeling towards the music video.,
Positive,"Its giving ' break up with your girlfriend, I'm bored"" vibe ✨","The use of '✨' and the reference to a relatable, nostalgic feeling suggests a positive appreciation of the video's mood.",
Positive,This is her new album's best song!  RnB suits her showing her vocal ability and the arrangement of this song is also top-notch.,The commenter expresses strong positive opinions about the song's quality and the artist's vocal performance.,
Positive,the production the lyrics her voice is all imperfectly perfect and one of the best artists of our generation👏🏽💖,"The comment expresses enthusiastic praise for the artist and their work, using positive emojis and strong adjectives like 'imperfectly perfect'.",
Positive,"This song’s beat is perfect, it’s so catchy",The commenter expresses enthusiastic approval of the song's beat and catchiness.,
Positive,The boy is mine is too catchy especially when it slows down I’m obsessed!! Love it ❤,"The commenter expresses enthusiasm and adoration for the song, using positive language like 'catchy' and 'obsessed' coupled with a heart emoji.",
Positive,The most creative and addictive song on the album. Literally the best one❤☀️and yes😭that slowed down moment before the chorus is just diviiiiiine,"The comment expresses enthusiastic praise for the song, using terms like 'creative,' 'addictive,' and 'diviiiiiiine,' indicating a positive sentiment.",
Positive,Please give it an MV with a choreography having 90s-2000s vibes! Please please!,"The commenter expresses a strong desire and enthusiasm for a specific aesthetic (90s-2000s vibes), indicating a positive reaction to the music video.",
Negative,"Catchy song, but still pretty wrong of her","The comment expresses criticism ('wrong of her') alongside a positive element ('catchy song'), resulting in a generally negative sentiment.",
Negative,I love this song but it is just so awful releasing it right after what she's done 💀,"Despite expressing love for the song, the comment expresses concern and disapproval regarding the artist's recent actions.",
Positive,I love the old r&b vibe she's bringing back 💕 i don't think your voice has changed I think you're just choosing a different style and trying new things !! I'm a couple years younger and  I and my family have been supporting since day one no judgement we're all human ! . Always will support!!:) always sending healing energies your way!,"The commenter expresses strong positive feelings, using phrases like 'I love' and 'always will support', and wishes healing energies.",
Positive,"Love how it slows down when the chorus hits, Ariana is a true pop icon and legend. Her hit The Boy is mine reminds me of classic early 2000’s dance/ R&B. ♥️❤🤍🎵🎶🎙️👑⚜️💎🏆","The comment expresses enthusiastic admiration for Ariana Grande and her music, using positive language and emojis.",
Positive,"The vibes coming from this album are so fresh, ari never dissapoints✨","The commenter expresses enthusiasm and admiration for the music, using positive language like 'fresh vibes' and an emoji signifying delight.",
Positive,Omgg such vibeee song ✨️,The use of 'Omgg' and 'vibeee' clearly expresses enthusiastic enjoyment of the music video.,
Positive,As soon as the song started and I heard the beat and the vocals…. WOW !!❤,The use of 'WOW !!❤' clearly expresses enthusiastic excitement and positive feelings about the music video.,
Positive,that pre chorus is insane like ???????,The use of multiple question marks suggests excitement and approval of the music video's pre-chorus.,
Positive,"Love how ariana bring back 2000s R&b beat back this track is such vibes, and instant hit so iconic ✨️.","The commenter expresses enthusiastic appreciation for the song's style and predicts its success, indicating a positive sentiment.",
Positive,Man the beat the lyrics goes hard,The comment expresses enthusiastic approval of the music's rhythm and lyrics.,
Negative,I don’t know why she’s being praised for being a homewrecker but ok… at least the song is catchy 😂,"The comment expresses disapproval of the artist's actions and uses a sarcastic tone, indicating a negative sentiment.",
Positive,"I love this song Lyrics, beat, and a sensual vibe Ariana is literally giving 2024 energy she never disappoints ❤❤❤",The commenter expresses strong positive feelings through enthusiastic language and emojis.,
Positive,That old vibe is baaackkkkkkk🔥🔥🔥🔥🔥🔥🔥🔥🔥 love this track!!!!❤️❤️❤️❤️❤️,"The commenter expresses enthusiastic love and excitement for the track, indicated by excessive positive emojis and exclamation points.",
Negative,Pple hating on this song are so annoying,"The comment expresses frustration and annoyance towards those criticizing the song, indicating a negative sentiment.",
Positive,good and catchy song but girl he’s all yours 😭! please chill!,"The comment expresses approval and admiration for the song, indicated by 'good and catchy' and uses an emoji conveying enjoyment.",
Negative,"It’s embarrassing that you fight this hard for a man who could be easily swooped from his wife and child. He’d leave you for the next best in a heartbeat, too.","The comment expresses disdain and contempt for the male subject, indicating a strongly negative emotional response.",
Negative,"This is trash but it’s catchy. Ariana grande is a terrible person, she’s a witch.","Despite acknowledging a catchy element, the comment primarily expresses negative sentiment by labeling the music as 'trash' and making a disparaging personal attack.",
Negative,"I feel like I have to be in an affair to enjoy this song, so I'll pass. Can't relate to the lyrics.","The commenter expresses a negative feeling of disconnection and inability to enjoy the song, indicating a dislike.",
Negative,"The beat is good but hod damn you must have some serious mental issues about singing on stealing a man , gross, but that's me","The comment expresses strong disapproval with terms like 'gross' and criticism of the singer's actions, indicating a negative sentiment.",
Positive,"The beat, the slow down, the lyrics, the nostalgia FUCK 🔥🔥🔥🔥",The use of fire emojis and enthusiastic language indicates strong positive feelings towards the music video.,
Positive,"Idk, but give me yk2 vibes",The comment expresses a positive association with the song 'yk2' by referencing it favorably.,
Positive,"Ah, dang i was hoping the song was gonna be a cover of *The Boy Is Mine* sung by *Brandy/Monica* in the 90s. The beat is bangin’ tho 🤙🏼","The commenter expresses enthusiasm about the beat, indicating a positive reaction to the music video.",
Positive,İt gives me the vibe of her unreleased song 'Fantasize',"The comment expresses a positive association with the music video, comparing it favorably to an admired song.",
Positive,Please need a music video for this song. Cause it's so so deep. She's at soul mate level.,"The commenter expresses a positive feeling about the song and uses phrases like 'so so deep' and 'soul mate level', indicating enjoyment.",
Negative,"A song justifying her stealing another woman’s man? Not the vibe, sis!",The comment expresses strong disapproval and criticism of the song's theme and overall feeling.,
Negative,my clit fell off and ran away the moment she hit that first chorus,"The comment contains highly inappropriate and sexually explicit language, expressing a negative and disturbing reaction to the music video.",
Positive,she seriously ate with this album and like how this song is just so energetic and catchy is just MWHA!💋,"The commenter expresses enthusiasm with words like 'ate with' and 'energetic and catchy', indicating a positive reaction to the music video.",
Negative,"Ehhhhhh the stars didn't align so much as she has a pattern of purposely homewrecking and these lyrics try to make it seem like she was totally innocent before """"""this one time."""""""" This isn't the best look tbh.",The comment expresses disapproval and criticism of the artist's actions and the song's attempt to portray her in a positive light.,
Positive,Omg this 2000s vibes AHHHHHH!!!! L-O-V-I-N-G IT ❤,The exclamation points and heart emoji clearly express enthusiastic enjoyment of the music video.,
Positive,This song giving me Aliyaah vibes.,"The commenter is expressing a positive association with a particular artist (Aliyaah), indicating enjoyment of the music video.",
Positive,The chorus has me GAGGED,"The use of 'GAGGED' in this context suggests the commenter is experiencing a strong, positive emotional reaction to the song's chorus.",
Positive,The slow down before each chorus !!!🥺✨✨,The use of emojis and exclamation points indicates enthusiastic enjoyment of the song's structure.,
Positive,"THE CHANGE OF TEMPO CAUGHT ME OFF GUARD, I LOVE IT","The commenter expresses a positive reaction to the song's tempo change, explicitly stating they 'love it'.",
Negative,"It's explained why she gets involved with committed men just to look at her ex and say that the boy is hers. She must feel super powerful when ""taking"" men from others.","The comment expresses a cynical and critical interpretation of the music video's themes, suggesting a negative portrayal of the character's actions.",
Positive,She ate🤎 The beats🤤,The use of emojis (🤎 and 🤤) and enthusiastic language indicates a positive reaction to the music video.,
Neutral,"Why the first melody sounds like ""Luigi Mansion song""",The comment expresses a subjective observation (similarity to another song) without explicitly conveying a positive or negative emotion.,
Negative,Just awful. Something is wrong with how she sings,"The comment expresses strong dissatisfaction with the singer's performance, using the word 'awful' and indicating a perceived issue with her singing.",
Negative,"“The boy is mine” girl, the only person you have to fight with for him is Sandy Cheeks…and she’d beat the shit out of you","The comment expresses aggression and hostility towards another character, indicating a negative sentiment.",
Positive,2000s Mariah and Ciara vibes!,"The comment expresses a positive comparison to popular artists, indicating enjoyment.",
Positive,This song is giving ‘Fantasize’ vibes,"The comment expresses a positive association with the song, comparing it favorably to another popular track.",
Positive,It give 2000'S R&B vibes,"The comment expresses a positive association with the music video, describing it as having a desirable 2000's R&B feel.",
