classificacao,comentario,justificativa,sentimento_manual
Positive,Kendrick got this one beat with euphoria 👏💯,The use of emojis and positive adjectives like 'got this' indicates enthusiastic approval of the music video.,
Negative,2:14 is the worst decision Drake ever made,"The comment expresses strong disapproval and criticism of a specific element of the music video, indicating a negative sentiment.",
Neutral,drake has melody but kendrick has lyircs,"This comment expresses a subjective preference for Kendrick's lyrical content over Drake's melody, without conveying strong positive or negative emotion.",
Positive,"Ngl, this track is the super catchy",The use of 'super catchy' expresses a highly favorable opinion of the music track.,
Positive,"This is getting better and better, it’s HOT literally the sun is shining in the SOUTH and I can’t bop to a history lesson. Summer Vibes, let’s go!","The commenter expresses enthusiasm and enjoyment, using positive language like 'getting better,' 'HOT,' and 'Summer Vibes'.",
Neutral,"Drake's diss was hard, but kendrick beat him. I won't believe the p3do accusations without proof, but drake is falling off. But his disses (for the most part) were not too bad, even if kendrick's is better","The comment expresses mixed feelings, acknowledging both positive aspects of Drake's diss and a critical assessment of Kendrick's superior response, alongside a cautious stance on the accusations, resulting in a neutral overall sentiment.",
Neutral,"So, this song is more catchy but Euphoria was more cutting which matters more In a beef. Round goes to Kendrick","The comment acknowledges a positive aspect of the song while referencing a past conflict, indicating an observational rather than overtly emotional response.",
Positive,All because Drake couldn’t call K-dot and say: “That second verse hurt my feelings.” 😂,"The comment expresses amusement and a lighthearted sentiment about a celebrity interaction, indicating a positive feeling.",
Negative,"No shade, this is trash. Go back in the lab and Rack up some new lyrics...Drake😂😂😂😂😂","Despite initially calling it 'trash,' the user's laughter emoji and suggestion to improve indicate a playful, critical, and ultimately positive outlook.",
Negative,Idc what no one says Drake beat Kendrick,"The comment expresses a strong disagreement and dismissive opinion about Drake's music, indicating a negative sentiment.",
Positive,"Unpopular opinion, Drake is winning this battle rn, beats and raps are better!",The commenter expresses a positive opinion by stating Drake is 'winning' and praising the music quality.,
Neutral,Damn after hearing Kendrick this shit trash 🤣🤣 I like the beat though,"The comment expresses a mixed reaction, criticizing the song's content while simultaneously acknowledging a positive opinion of the beat.",
Positive,This is simple compared to what Kendrick just put out. Euphoria sounds better and lyrics hit harder,The commenter expresses a positive opinion by comparing the video favorably to Kendrick Lamar's recent work and stating the music sounds better and lyrics are stronger.,
Positive,Whos here because no one beats Drake 😅,"The comment expresses admiration and a confident statement about Drake's success, indicating a positive sentiment.",
Positive,"Okay, it's no fucking secret that Drake lost, but that beat is fucking 🔥🔥🔥🔥🔥🔥🔥",The use of multiple fire emojis and the strong positive adjective '🔥' clearly indicates a highly positive reaction to the music video's beat.,
Negative,Why he using the same beat for the past 10 years,"The comment expresses dissatisfaction with the artist's repeated use of a particular beat, indicating a negative opinion.",
Positive,"Kdot won and we all knew he would, but drake rapped better than he has in a long time. He stepped up and even tho he lost he did his thing (aside from heart part 6 and Taylor made 🤢)This my favorite beat of the beef tbh","The commenter expresses admiration for Kdot's performance and describes it as their 'favorite beat of the beef,' indicating a positive sentiment.",
Positive,Whoever love this one listen Kendrick's control Verse,The comment expresses a positive sentiment by indicating someone who enjoys the music video also appreciates Kendrick Lamar's 'Control' verse.,
Positive,This is actually not that bad 😂 I think Kendrick just went a little bit nuts though but this actually had some some beat some fucking content like alright what’s next 😂,"The user expresses enjoyment and positive reactions through emojis and enthusiastic language, indicating a positive sentiment.",
Positive,"As a kendrick fan, this is a beat fr","The commenter expresses enthusiasm by stating 'this is a beat fr,' indicating a positive reaction to the music video.",
Positive,"Im a real kendrick and drake fan.. and honestly this song and the other drake song, family matters (ya dead😂) the only songs i keep on repeat. These beats are 🔥.  But i get it.. kendrick is a very gentle yet intense poet. But i wouldnt listen to those songs over again. They are too dark.","The commenter expresses fondness for the music and its quality while acknowledging a preference for certain tracks, indicating a positive overall feeling.",
Positive,"I don’t know, maybe it’s because he went after so many people in one song, but I think Drake’s response was much better crafted than Dot’s and more interesting. It’s more creative, wittier, more subliminal, had better beats and thus hit harder in my opinion. It gives off a feeling of being a full production track rather than a diss track. Just not seeing what all the hoopla is about with Kendrick.","The commenter expresses a clear preference for Drake's response, highlighting its positive qualities like creativity and better execution.",
Positive,"Kendrick won 😬 no coming back after euphoria. A lot of y’all are going based off a catchy beat club music and this is a hip hop culture, Kendrick is direct like on some grown man business. Drake’s audience is too young to understand half of what Kendrick exposes through every bar in the song. Kendrick made a real DISS TRACK.","The comment expresses admiration for Kendrick's skill and perceived impact, stating he",
Negative,This is murder 101... Lyrics is damn,The use of 'murder 101' and 'damn' indicates strong disapproval and frustration with the music video.,
Positive,"Imagine if at 1:34 Drake said, “Metro, imma beat yo ahh like some drums nikka”",The comment expresses enthusiastic appreciation and excitement about a specific lyric from the song.,
Positive,I think Kendrick’s disses are way better but damn this shits still really catchy,"Despite acknowledging criticism of the disses, the commenter expresses enjoyment of the song's catchiness, indicating a positive overall feeling.",
Positive,0:21 Drake in this track is too powerful ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,"The user expresses strong positive sentiment using heart emojis and fire emojis, indicating enthusiastic enjoyment of the music video featuring Drake.",
Positive,Where have these beats been hiding?,"The commenter expresses excitement and appreciation for the music's rhythm, indicating a positive sentiment.",
Negative,This is as hard as Drake can go. He’s cut out for making catchy songs… He cannot battle a real rapper like Kendrick.,"The comment expresses criticism of Drake's abilities and dismisses him compared to Kendrick Lamar, indicating a negative sentiment.",
Positive,"I'm not surprised that Kendrick rapped better that was a given, but with all Drake's ties I'm surprised Dot's beats was so much better.","The commenter expresses surprise and praise for Dot's beats, indicating a positive sentiment towards the music.",
Positive,In my opinion Kendrick song is more of powerful. I’ve always been a fan of Kendrick. Drake is a joke come on he is Canadian rapper. Canadian rapper acting to be hard?,The comment expresses a positive opinion of Kendrick Lamar and implies a positive sentiment towards the music genre.,
Neutral,Aubrey wrote none of these lyrics.,"This comment simply states a fact about the lyrics, without expressing any emotion or opinion.",
Negative,"Unfortunately, it's the same vibe as Back to Back. Nothing new creatively. Strike a chord and it's probably A Minor!!!!!! Whewwwwwwwww","The comment expresses disappointment and criticism, stating the video lacks creativity and comparing it unfavorably to another song.",
Negative,"All I hear is ""21 can you do sum for meeee"" 😂 Drake is too fruity for this beat","The comment expresses a negative opinion of the song and artist's style, using dismissive language and a mocking tone.",
Positive,Man there is some good lyrics in here and I like the music but Kendrick Lamar cooked this man per line. If you know you know,"The commenter expresses enthusiasm for the lyrics and the artist's performance, indicating a positive sentiment.",
Positive,"""And we need a verse for the swifties"" Aging well","The comment expresses a desire for a song addition specifically for fans, indicating enthusiasm.",
Positive,"All the Kendrick fans came here to hear something that they missed…..nope didn’t miss a thing, Drakes verse is worse after listening to Euphoria 😂😂😂😂","The user expresses enjoyment and a positive opinion of the music video and Kendrick Lamar’s performance, despite a slight criticism of Drake's verse.",
Negative,"I didn’t hear this before kendrick responded. I was aware of the situation but didn’t care enough to check on it. But after euphoria I had to see what he was responding to. To be up front, I’m a huge Kendrick fan, and I don’t care for Drake at all. BUT, after listening to this track I gotta be honest… this is even worse than I expected. Drake is a so wack it hurts. Once again he just sounds like an actor reciting rap lyrics. This is trash","Despite initial interest, the commenter ultimately expresses a strong negative opinion of the song and Drake's performance.",
Positive,Beat's fucking fire... sad enough is for a drake song 😭😭🙏,"The commenter uses positive language ('fire') and expresses appreciation with emojis, indicating a favorable reaction.",
