classificacao,comentario,justificativa,sentimento_manual
Positive,"Her music is so catchy , fun , and relaxing at the same time , she turns everything to gold she touches","The comment expresses strong positive feelings about the artist and her music, using enthusiastic language like 'catchy', 'fun', and 'turns everything to gold'.",
Positive,"Hi, I just listened to your latest song and I must say it's absolutely fantastic. The manner you combine different aspects is truly striking. Each beat resonates strongly and brings forth such a stirring heartfelt response. 😍","The commenter expresses enthusiastic praise, using words like 'fantastic,' 'striking,' and 'heartfelt,' indicating a positive emotional response.",
Positive,Peso Pluma is so versatile. The man sounds good on all kinds of different beats and genres 😮‍💨,The use of the '😮‍💨' emoji and praise for his versatility indicate a positive sentiment towards the music video.,
Positive,Love the disco vibes! AND you <3,The use of 'love' and the heart emoji clearly indicate a positive sentiment towards the music video.,
Positive,Kali uchis volvió con su vibe de antes y AMOOOO 💕💕,The comment expresses strong affection and excitement (,
Positive,Que bonita canción como  de ángel !! Buena colaboración esto merece mucho !! Urge un VC felicidades por este gran arte .El lyrics me cautiva hermoso totalmente tan balanceado y te calma bonito las emociones !!,"The comment expresses enthusiastic praise for the song, collaboration, and artistic quality, using overwhelmingly positive language.",
Positive,I like the song. It has an 80’s vaporwave vibe to it.,The commenter expresses a positive opinion by stating they 'like the song' and identifies a desirable aesthetic.,
Positive,"Peso Pluma demostrando una vez más su versatilidad y creatividad, el flow, el sentimiento y la fusión vocal con Kali Uchis es otro nivel! Sencillamente Espectacular! Rompieron!! Peso Pluma iniciando el año con tremendo Hit! 🔥🔥🔝🌎🥷","The comment expresses enthusiastic admiration for Peso Pluma's performance and the music video, using strong positive language like 'espectacular' and 'tremendo Hit'.",
Positive,"Que buen trabajo de la producción en encajar la voz de Hassan en este ritmo, aun aplauso y mi admiración ! Apesar de tener autotune, reverb para una compresión ligera fueron una verga asi venudota en que tenga el tono exacto ! Neta que chingona rola 🔥","The commenter expresses enthusiastic praise and admiration for the production and vocal tone, using positive language like 'chingona' (awesome) and 'admiración'.",
Positive,"esta canción es igual de hermosa que todas las demás del álbum,por favor apoyen todos los demás tracks y dense una oportunidad a volverse fan de kali uchis aquellos que solo vienen por peso pluma,créanme que no se arrepentirán","The commenter expresses enthusiastic praise for the song and encourages others to give Kali Uchis' music a chance, indicating a positive sentiment.",
Positive,"No sé si es alt-pop, city pop o synth- pop, solo sé que me encanta!!!",The commenter expresses strong enthusiasm and enjoyment ('me encanta!!!').,
Positive,No soy fan de pp pero cumplió su rol y se adaptó al beat no se porque le tiran hate..al contrario apoyen la canción eso suma a Kali y sean agradecidos con los invitados…😊,"The commenter expresses support for the song and the artist, despite initial skepticism, highlighting positive aspects like the adaptation to the beat and appreciation for the collaborators.",
Positive,"Vengo a escuchar en el canal de Kali Uchis esta bonita cancion. Me gusto la combinacion, però Kali merece mas las visualizaciones que el acaparador de Peso Pluma, que se llevo todas las visualizaciones con ""Bellakeo"" y NO promovio nada el tema, solo Anitta se preocupo por promoverlo. Es la verdad No es hate, lo juro por Dios, però ultimamente Peso Pluma se ha dejado demasiado influenciar por la pitufina con la que anda, que es evidente que solo busca autopromoverse. Peso esta en otro planeta y no se preocupa por el trabajo, es muy facil tener las visualizaciones para el solo, però en este caso, hay que ser justos porque los fans no somos tontos, Las merece todas KALI  UCHIS. ❤Venganse aqui a escuchar esta cancion. A este canal Apoyemos a Kali, amigos. Si Peso Pluma quiere seguir de tontito promoviendo a esa nefasta que ni canta y solamente lo usa, alla el. Venga, Kali ❤ mas musica y exitos para ti 🎉🎉","The commenter expresses support for Kali Uchis and criticizes Peso Pluma’s actions, ultimately advocating for her success.",
Negative,La 2p tiene mas reproducciones en un par de dias que los regetoneros. Quien es quien en las mentiras jjajajaja,"The comment expresses a boastful and sarcastic comparison, implying superiority and mocking others, indicating a negative sentiment.",
Positive,I don't know what they're saying but it's catchy!,The commenter expresses a positive opinion by stating the music is 'catchy',
