classificacao,comentario,justificativa,sentimento_manual
Positive,"The fact the megan’s law line was originally about drake and ended up sending nicki into a spiral, outing herself in the process to anyone who was unaware is so fucking funny. Two birds one stone tbh.","The comment expresses amusement and approval of a situation, indicating a positive sentiment.",
Negative,"The fact that this was mainly a diss at Drake & Nicki went on a whole emotional breakdown about the Megan’s Law verse proved Megan right about “ask a ho why she don’t like me, bet she can’t give you a reason”","The comment expresses a critical and potentially hostile opinion towards Drake, Nicki, and Megan, indicating a negative sentiment.",
Positive,I dont get what Nicki means when she says Megan can't find the beat ? All her words land on the right spot.,"The commenter expresses admiration for Nicki's lyrics and flow, indicating a positive reception to the music video.",
Positive,HISS set the tone for rap in 2024 period,The commenter is expressing a positive assessment of the song's influence and impact on the genre.,
Positive,"Her rise to stardom represents a new wave of women in rap who are unapologetically confident and in control of their narratives. Megan is setting new standards, making her a powerful figure in modern rap music.",The comment expresses admiration and praise for Megan's success and influence in the music industry.,
Positive,“And mad that I’m not one of your baby mommas” is such a powerful line that has layers to it,The comment expresses admiration and acknowledges the song's impactful and complex lyrical content.,
Negative,How did two simple words make that 40something-year-old woman go into a drug-fuelled week-long sleepless downward spiral?   She is too grown and privileged to have such poor impulse control and emotional regulation.   Her kid deserves a mother who gets the psychotherapy that she very much needs.,"The comment expresses concern and criticism regarding the woman's behavior and mental health, indicating a negative sentiment.",
Positive,"This possibly might be her hardest song.. no chorus, no hook just bars after bars after bars seamlessly","The commenter expresses admiration for the song's complexity and flow, indicating a positive reaction.",
Positive,"I'm not a Meg stan but if she feels like having a tour, I'll have my outfit ready, her lyrics memorized, and floor seats purchased. This is 🔥","The commenter expresses enthusiastic support for the artist and her potential tour, using positive language like '🔥' (fire).",
Positive,"HOLY FUCK🫢🤯 This song is the BEST female rap song...in HISTORY IMO! She SLAUGHTERED the beef, everyone involved and the beat! She spoke rs, gave me chill bumps how she stood up for herself, and killed it. Every other rap bitch need to bow to THE REAL QUEEN! & she was on point, all these men ""i hit it"" they either hating b/c they wishin, or mad she never hit them back up! Go megan! Its YOUR BODY, your literally a grown ass woman, everyone need to mind they own business and just appreciate you or not for your raw talent.","The comment expresses overwhelming admiration and praise for the artist's talent and lyrics, using enthusiastic and positive language.",
Positive,"HISS set the bar and the tone for 2024 rap, who here after Kendrick demolished Drake","The comment expresses admiration and praise for HISS's influence and Kendrick's performance, indicating a positive sentiment.",
Positive,she’s just so pretty and powerful,The comment expresses admiration and appreciation for the artist’s appearance and strength.,
Positive,"Megan is the one who kick starting the rap beef. Hiss really set the tone! She said it first, don't play with her pen! Go Meg","The comment expresses admiration and support for Megan, highlighting her initiating role and asserting her dominance.",
