classificacao,comentario,justificativa,sentimento_manual
Positive,This entire video is so nostalgic. To be able to capture so much of the black community and our childhood in 2 minutes and 45 seconds is legendary.,The commenter expresses strong admiration and appreciation for the video's nostalgic portrayal of the Black community.,
Positive,"As someone who is mostly heavy metal and punk all day long, im a miami boy first and foremost that grew up listening to a lot of hip hop and freestyle classics in the 90s and he rep'd both Compton and Miami with this one. That beat goes so damn hard, love the appreciation for debbie deb on this",The commenter expresses enthusiastic appreciation for the song's beat and acknowledges a positive connection to the artist's representation of different genres.,
Positive,THIS SONG TAKES ME BACK TO A VIBE THAT I THOUGHT COULD NEVER BE REPEATED....,The commenter expresses a nostalgic and positive feeling about the song's impact.,
Positive,This song got the 80s rhythm😤,The use of '😤' (face-palming emoji) suggests excitement and enjoyment of the song's 80s style.,
Positive,Am I the only white middle aged woman here after the Super Bowl and love the vibes? 😂,The use of 'love the vibes' and the laughing emoji suggest a positive reaction to the music video.,
Positive,"Kendrick is the best rapper not only for his lyrics but for his impact on the industry. On top of that the humbleness and love he shows, he is truly one of a kind in his own lane. 💯","The comment expresses strong admiration and positive feelings about Kendrick Lamar, highlighting his talent and admirable qualities.",
Positive,"That first Woman set the tone for the whole video, hit that perfect","The comment expresses approval and admiration for the initial performance, using words like 'hit that perfect'.",
Neutral,Did they change the video n lyrics or am I tweaking?,"The comment expresses uncertainty and questioning, lacking clear positive or negative emotion.",
Positive,This guy is a genius from the beat to the bars to videos. Man we needed him. Much love Kendrick keep doing what u doing.,The comment expresses enthusiastic praise and admiration for the artist's talent and work.,
Positive,This beat is so damn 🔥🔥🔥,The use of fire emojis clearly indicates strong positive enthusiasm for the music video's beat.,
Positive,"Only kendrick could pump out a music video, thats visually super deep, of a cover to his own original song. Legend","The comment expresses strong admiration and praise for the music video, using terms like 'legend' and 'super deep' to indicate positive sentiment.",
Positive,The beat 🔥,The use of '🔥' emoji indicates enthusiastic approval of the music's beat.,
Positive,The new NATIONAL ANTHEM when the revolution is televised! I second that emotion!,The commenter expresses enthusiastic agreement and a strong positive emotion (,
