classificacao,comentario,justificativa
Positive,"she wasn’t playing when she said this is her version of fantasize. i loooove this one a lot. perfectly catchy, perfect beat.",Expresses strong enjoyment and positive attributes of the song.
Positive,"THE SLOWED DOWN ""THE BOY IS MINE"" BUILD UP TO THE BEAT GETS ME GAGGED EVERYTIMEEEEEE SHE ATE THAT",Expresses intense excitement and enjoyment of the song's build-up.
Neutral,The slow tempo in the first “The boy is mine” sheeshhhhh,Expresses a mild critique of the song's tempo.
Positive,I love that some musicians nowadays bring these 2000's RnB beats back!!! This track is a vibeeeee!!! 💖💖,Expresses strong enjoyment and positive feelings about the music.
Positive,Classic Ariana with a 2000s vibe. Instant hit!,Expresses enthusiasm and predicts a successful hit.
Positive,One of the best tracks on the album...vocally and lyrically.,Expresses strong positive opinions about the song's vocals and lyrics.
Positive,"""Watch me take my time."" *slows the beat* 😍",Expresses delight and appreciation for a deliberate artistic choice.
Positive,she got the golden touch with lyrics and golden ear for the beat. everything comes together so well. love this album so much!! <3,Expresses strong enthusiasm and appreciation for the album.
Positive,The “ the boy IS mine “ the backvocals makes me ommmggg ✨✨✨✨,Expresses enthusiastic delight with multiple sparkle emojis.
Positive,This is one of her most sensual and catchy songs.,"Describes the song as sensual and catchy, indicating enjoyment."
Positive,The goosebumps after the beat slows down >>>,Expresses intense positive emotion and enjoyment.
Positive,The slow down before each chorus is soooo nice omg😩👏🏽,Expresses strong positive feelings and excitement about a musical element.
Positive,This is giving 90s vibes love it ✨,Expresses enjoyment and association with a nostalgic era.
Positive,It is so addictive. Her tone?? hello!!! The way she has sung this whole song. Wtf!!!! And her vocals don't need to mention,Expresses strong enthusiasm and enjoyment of the singer's performance.
Positive,"This is just too good where do we start 😭 the tempo interrupt, the chopping / slicing for impacts, the harmonies - too much goodness Ari!",Expresses overwhelming excitement and appreciation for the song's elements.
Positive,"Ariana is so good at making incredibly catchy, fun, feminine pop/rnb songs UGH i am absolutely obsessed with it and her and her breathy voice UGH so mariah carry core",Expresses strong enthusiasm and affection for Ariana's music and voice.
Positive,The tempo change in the chorus is INSANITY 😍,Expresses strong excitement and positive reaction to the tempo change.
Positive,"DID ANYONE REALIZE THE LYRICS IN 0:53, AND IN HER SONG “NASA” ONE OF THE LRYICS ARE “ SOON AS THEM STARS ALLIGN” AND IN THIS TRACK IT SAYS “THE STARS THEY ALLIGNED”",Highlights a specific lyric as a significant and appreciated detail.
Positive,"This song is the best on the album, the beat is 🔥😩",Expresses strong enthusiasm and excitement for the song.
Positive,the production. the lyrics. this is the best album EVER.,Expresses strong enthusiasm and declares it the best album ever.
Positive,The control she has with her vocals ❤️. She has the voice of an Angel.,Expresses admiration and describes her voice as angelic.
