classificacao,comentario,justificativa
Positive,"1:46 She's isn't just talking about heartbreak, She's painting a whole picture of what it feels like to be abandoned and fighting back and not letting herself be completely destroyed, Deep as hell 🫶",Expresses deep appreciation for the song's emotional depth and resilience.
Positive,The deluxe songs has some savage lyrics which i haven't seen much from Gracie 😂 . Im loving this so much,Expresses enjoyment and highlights a specific lyric as noteworthy.
Positive,"ive never been in a relationship, but i’ll forever scream my heart out to songs like this as if i’ve been through the worst heartbreak known to man. just me? 😂",Expresses enthusiastic enjoyment and emotional connection to the music.
Positive,I’m a grown man and this song is great. The melody everything about it.,Expresses strong positive feelings about the song.
Positive,Absolutely loving the vibes from this music—it’s just what we need to energize our day! The visuals are also incredibly beautiful. Wishing everyone watching a day full of joy and overflowing happiness. Enjoy and let the good energy lift you up!,Expresses strong positive feelings and wishes for joy and happiness.
Positive,THE CHORUS IS SO CATCHY AAAAAHHHHHH,Expresses enthusiastic enjoyment of the chorus.
Positive,The rhythm is so catchy 😭🫶,Expresses strong enjoyment and emotion through the use of ‘catchy’ and ‘😭’ emojis.
Negative,.... Why is it just a mouth thats not even singing the lyrics?,Critiques the performance as lacking actual singing.
Neutral,This song gives off a vibe of the 2010th songs,Describes the song's similarity to music from a specific decade without expressing strong positive or negative feelings.
Positive,"This song is so lit!!!! So proud of Gracie!!!! ""made it out alive but I think I lost if""!!! the lyricssss!!!!!!!!!",Expresses enthusiastic praise and excitement for the song and artist.
Positive,"I went on a 4 hour bus ride for a school trip a few days ago. On the way there, the girls in the back of the bus played this on their speaker. When I say I screamed the lyrics, I'm not lying lol",Expresses enthusiastic enjoyment and vocal performance.
Positive,"This sounds like ""Risk"" from an alternate universe!!! I love it!!!",Expresses strong enthusiasm and comparison to a positive song.
Negative,"not to be mean, but the video is weird like why is their a close up mouth, not even singing the lyrics like help-",Expresses discomfort and criticism of the video's visual element.
Positive,"I agree with the 👄 mouth thing, yeah it is 😅 disturbing. But I don't know why but this gives me the 😢 ""nostalgia kick"" 🦶 . I don't know how to say it but it starts giving me 👀🧠 flashes of old ⌛ memories when I was in 🏫 kindergarten, alone in the garden in the 🌄 sunset, playing with actual 🪁🪀🧸 toys, hugging my 🐾 husky, staring at the 🌌 stars with my parents. It just gets me emotional, tears of 💎 happiness etc.❤❤❤","Evokes strong, positive nostalgic memories and emotional response."
Positive,The mess it up vibe is here💛🩵,Expresses enthusiasm and positive feeling with emojis.
Positive,The Vocalsss 🔛🔝,Uses emojis to express strong positive feelings about the vocals.
Negative,L song worst music video,Expresses strong disapproval and deems the song and video 'worst'.
Positive,LOVELY SONG IT GIVES VIBES 😊,Expresses strong positive feelings about the song.
Neutral,I love this song but this video is just awful.,Expresses positive sentiment towards the song while criticizing the video quality.
