classificacao,comentario,justificativa
Positive,This entire video is so nostalgic. To be able to capture so much of the black community and our childhood in 2 minutes and 45 seconds is legendary.,Expresses strong admiration and appreciation for the video's content and impact.
Positive,"As someone who is mostly heavy metal and punk all day long, im a miami boy first and foremost that grew up listening to a lot of hip hop and freestyle classics in the 90s and he rep'd both Compton and Miami with this one. That beat goes so damn hard, love the appreciation for debbie deb on this",Expresses strong enjoyment and appreciation for the music.
Positive,THIS SONG TAKES ME BACK TO A VIBE THAT I THOUGHT COULD NEVER BE REPEATED....,Expresses a nostalgic and positive emotional response to the song.
Positive,This song got the 80s rhythm😤,Expresses enjoyment of the song's 80s-inspired rhythm.
Positive,Am I the only white middle aged woman here after the Super Bowl and love the vibes? 😂,Expresses enjoyment and affirmation of liking the music.
Positive,"Kendrick is the best rapper not only for his lyrics but for his impact on the industry. On top of that the humbleness and love he shows, he is truly one of a kind in his own lane. 💯",Expresses strong admiration for Kendrick Lamar's talent and impact.
Positive,"That first Woman set the tone for the whole video, hit that perfect",Expresses enthusiastic approval of the initial performance.
Neutral,Did they change the video n lyrics or am I tweaking?,Expresses confusion and uncertainty about the changes.
Positive,This guy is a genius from the beat to the bars to videos. Man we needed him. Much love Kendrick keep doing what u doing.,Expresses strong admiration and support for the artist.
Positive,This beat is so damn 🔥🔥🔥,Expresses intense enthusiasm and excitement with the use of fire emoji.
Positive,"Only kendrick could pump out a music video, thats visually super deep, of a cover to his own original song. Legend",Expresses admiration and praise for Kendrick Lamar's artistry and the music video's depth.
Positive,The beat 🔥,Expresses enthusiastic appreciation for the song's beat.
Positive,The new NATIONAL ANTHEM when the revolution is televised! I second that emotion!,Expresses strong support and enthusiasm for the song.
Neutral,Ngl i feel like everyone in the back us dancing to their own vibe 😭 ♥️,"Expresses a relatable feeling with emojis, lacking strong positive or negative emotion."
Positive,These old beats go hard af.,Expresses strong approval and excitement about the music's quality.
Positive,"Listen to GNX in reverse, or from the bottom up. It's astounding just listening in order but it feels chronologically, almost complete listening from Gloria to Wacced out Murals.  KDot on some next level type mission.",Expresses admiration and appreciation for KDot's complex and impressive work.
Positive,"Finally HIP HOP is back and about time to clear out all the drakes and mumble rapping autotuners of the world.  this is real dope ass hip hop, true to the 90s",Expresses strong approval and nostalgia for classic hip-hop.
Positive,One of the hardest verses ever 🔥🔥🔥on some GOAT SHIT ! 🌷,Expresses enthusiastic admiration and superlatives.
Positive,wanna hear this piece of beat on Gta6 radios💯😉,Expresses enthusiastic approval and desire to hear the song.
Negative,It's awful he has zero talent!  Never heard such awful music in my life,Strongly condemns the music as lacking talent and being awful.
Positive,This beat got me in my feelings,Expresses a strong positive emotional response to the music.
Positive,"Even if you don't want to dance, it's inevitable to ignore with this rhythm and flow",Expresses enjoyment and a feeling of being compelled to listen.
Positive,The beat is crazy yow🔥🔥🔥🔥🔥🔥🔥🔥🔥🇯🇲🚀🚀🚀🚀🚀🚀🚀,Expresses enthusiastic excitement with multiple fire emojis.
Positive,The Vibe is Insane,Expresses strong positive feelings about the song's atmosphere.
Negative,Bro is basically moaning on a beat. Song sounds like shit.,Expresses strong disapproval and describes the song as poorly produced.
Negative,This beat is bouncier than my ex’s large silicone boobies.,Uses a crude and insulting comparison to express dislike.
Negative,"did anyone notice the diff lyrics in the second verse before ""thonk thonk"" compare to the actual song?","Points out a discrepancy in the lyrics, indicating a potential issue with the recording or production."
Positive,Real good vibe,Expresses a positive feeling about the song's atmosphere.
Negative,This has such a nigga vibe to it.,Contains a highly offensive and derogatory racial slur.
Positive,THE BEAT SICK AF❤,Expresses strong affection and enthusiasm.
Positive,He did too good on this damn beat I can't get it out my head,Expresses strong enjoyment and inability to remove the song from one's mind.
