classificacao,comentario,justificativa
Negative,this song was released literally this year and it already feels nostalgic af 😩,Expresses a feeling of sadness and longing for a recent release.
Positive,This song is a masterpiece! The video concept brings the whole vibe to life 💖❤,Expresses strong enthusiasm and appreciation for the song and video.
Positive,"Fortnight’ is pure magic. The storytelling and emotion in this track are unmatched. As a country and southern rock artist, I connect deeply with that vibe. 🌙🎶",Expresses strong admiration and connection to the song's style.
Negative,3:59 worst part,Expresses dissatisfaction with a specific point in the song.
Positive,Major Lana Del Rey vibes. I love it. Wasn't expecting this style from Taylor,Expresses enjoyment and comparison to a well-regarded artist.
Positive,"Tay’s fortnight is a profound exploration of temporal fragility, emotional inertia, and the haunting persistence of memory. It’s  an intimate narrative of heartbreak, a meditation on the nature of time, and an inquiry into the human capacity to endure unresolved emotional tension.❤",Expresses deep admiration and appreciation for the song's artistic depth and emotional resonance.
Positive,Already heard this twice on the radio in my car while out on a late night drive.The second it was raining slowly and I cranked up the volume and wow! This track just blew me away and made me think of my past both happy and sad memories I slightly had tears my eyes.Nothing like a late night drive out in the rain hearing this track with great 80s vibes!,Expresses strong enjoyment and nostalgic feelings evoked by the music.
Neutral,"This song reminds me of somebody else by the 1975 and also, the Drive soundtrack. Very nostalgic feeling",Evokes nostalgia but doesn't express strong positive or negative feelings.
Negative,Who's here after JoJo Siwa posted that she beat out this video for dislikes?! LOL,Expresses amusement and implies the video is unpopular compared to JoJo Siwa.
Positive,"I don't know why this song as a lead single polarized so many people and was deemed ""not as strong"". This is one of Taylor's most beautiful, mature songs and Post Malone harmonizes and fits in with it effortlessly. ""I love you, it's ruining my life"" is one of the most simplest yet heartbreaking lyrics I've ever heard. The sadness hits hard in this one with the rich melancholic vocal melodies. Post Malone's solo toward the end is beautiful.","Expresses strong praise for the song's beauty, maturity, and emotional impact."
Positive,"His ability to create something so unique and innovative, mixing elements of different styles, is admirable. It is rare to find such a striking sound signature.",Expresses admiration for the artist's unique and innovative style.
Positive,"I always comeback listening to this song, such an underrated gem with full of emotion and nostalgia feeling to it. This song will never get old, a classic masterpiece.",Expresses strong appreciation and labels the song a classic masterpiece.
Positive,"I just can't believe that it's been a year—TTPD has already been one year old! I remember going back home from school and listening to this song. I wasn't a Swiftie at that time; a Swiftie friend of mine showed me this song. I don't know what to say now. I'm just feeling somewhat emotional that time elapses so fast, and this masterpiece has already been a year old, while it feels like yesterday.","Expresses fondness and nostalgia for the song, portraying it as a cherished memory."
Positive,"I'm not a Swiftie but this is one of the top songs I like. He likes synthpop, especially the kind that almost touches downtempo or dreampop. Song is captivating.",Expresses strong enjoyment and describes the song as captivating.
Positive,she is always beatiful!!!,Expresses strong admiration and appreciation for the artist.
Positive,"Even if they weren't singing about something sad, their harmony is so beautiful I want to burst",Expresses admiration for the beauty of the song's harmony.
Positive,"Can't believe it's been a year. I can't get this song out of my head. It's like it's stuck on loop in my head. A tortured feeling I didn't even know how to express found its voice in this track. And that outro? I'm still not over it. Man, it didn't just end the song — it hit so deep, it carved out a whole space in my memory. Still gives me goosebumps every time...🤍","Expresses strong, lingering positive feelings and a profound emotional connection to the song."
Negative,This is the most forgettable song and music video I've ever seen win a VMA🥱,Expresses strong dislike and boredom with the song and video.
Positive,"I’m never emotional. Until I’m touched by Taylor’s voice, lyrics, visuals and music. It hurts to cry. But it makes me happy and sad all at the same time.",Expresses profound emotional connection and enjoyment of Taylor's work.
Positive,"This almost lulls you. It’s so almost peaceful. Such an amazing set of lyrics and beautiful voices with the delicate instrumentation. It’s like a prayer. Yes, I cried. 😢🎤🙏🏼🎶🏝️🎬💘🎼",Expresses deep appreciation and emotional connection to the song.
Positive,This song litteraly puts my 11 month old to sleep so fast. It’s so awesome. TAYLOR WHAT Kind of Vibes did you and  JACK PUT INTO THIS?!?,Expresses satisfaction and a positive effect on a child.
Positive,"Why ""Fortnight"" had hate train with masterpiece lyric, melody, vocal, story telling and visual of MV? I'm actually disappointed because many people in the world didn't know how incredible vibe this song had",Expresses strong admiration for the song's qualities despite initial criticism.
Positive,Absolute beauty and harmony,Expresses strong appreciation for the song's beauty and harmony.
Positive,"Excellent,i likes so much,with one sound 80's pure synthwave",Expresses strong positive feelings and identifies a specific stylistic element.
Positive,The way Post Malone mouthed the lyrics at about 1:28 makes me melt🫠,Expresses a feeling of fondness and delight at the artist's performance.
Positive,This song takes me to another world. So powerful!,Expresses a strong feeling of being transported and impressed by the song.
Positive,"I like this song because the mood and overall vibe feels sad and mundane, and sometimes life IS sad and mundane. I especially really like the ""all my mornings are monday's stuck in an endless february"" line. This song is great when you feel stuck in a rut but your yearning for something more.",Expresses appreciation for the song's relatable and evocative portrayal of feelings of stagnation and longing.
Negative,"""I love you. Its ruining my life."" Damn....that cuts deep.","Expresses pain and distress, indicating a negative emotional response."
Negative,"Worst music video ever, Taylor overrated",Expresses strong disapproval and claims Taylor is overrated.
Positive,"I've just discovered her music. Maybe it was the Universe that bought me here but her voice is something that speaks how I feel. Thank you, my voice is defeated but there you are. 😢",Expresses profound connection and gratitude for the artist's music.
Positive,I love Travis but Taylor and Post are such a vibe together.,Expresses enjoyment of Travis Scott and Taylor Swift's collaboration.
