classificacao,comentario,justificativa
Positive,"We must give juice to this girls writing , melody and delivery. Excited for a full project",Expresses enthusiasm and appreciation for the artist's skills.
Positive,"the lyrics, the voice control… omg she is incredible",Expresses overwhelming admiration for the artist's talent.
Positive,This song makes me feel so relaxed and in the mood for summer vibes! Tyla never disappoints! 🌊🎶,Expresses enjoyment and positive feelings about the song and artist.
Positive,"I love this. It's a whole vibe. I hope you keep making songs like this. Don't switch up, this is what we want to hear.",Expresses strong enjoyment and desire for continued musical style.
Positive,"The chorus was SO ADDICTING like LITERALLY!! And GOSH, her voice is like SO pretty💗",Expresses strong enthusiasm and admiration for the song.
Positive,I have never heard such immense vocals in such an up tempo track truely phenomenal especially they way the vocal agility is so consistent and controlled utter perfection👀,Expresses strong admiration for the vocal performance and describes it as 'utter perfection'.
Positive,"What a song! This has to be one of the best songs of this season . The harmony, melody, etc. I love this song.",Expresses strong enjoyment and positive evaluation of the song.
Positive,"Wow, this song is an absolute masterpiece! 🎵❤️ I can't get enough of it, and it's been on repeat since I discovered it. The lyrics, the melody, everything about it is just perfect. Who else can't stop listening to this gem? 🔥👏",Expresses overwhelming enthusiasm and enjoyment of the song.
Positive,"This song from the beat, melody, lyrics in the writing, the structure, the vibe is on point, it’s damn there perfect",Expresses enthusiastic approval of all aspects of the song.
Positive,"Having listened to this song for the first time reconnected me with my femininity, and now I am addicted to it. It made me feel like I could express myself without fear of judgement. The lyrics spoke to me in a way that no other song had, and I felt like I was being understood and accepted. This song has become my anthem.","Expresses a deep, personal connection and positive emotional impact from the song."
Positive,Absolutely LOVE the vibe with this song.This 62 year old is dancin round the house!👏🏻💃🏼🎶🎶🔥,Expresses strong enjoyment and enthusiastic dancing.
Positive,"💙🌊Everything about this song is perfect. The beat, that voice & those lyrics. TY🌊💙",Expresses strong positive feelings and appreciation for various aspects of the song.
Positive,I wanna sit on the beaches on my island of Puerto Rico and BLAST THIS! the vibe is so right for the beach. 😍🇵🇷,Expresses strong positive feelings and association with a desirable experience.
Positive,"I love this tune! Tyla has such a nice voice, plus I’m loving the Afro beats 😍👍🏽",Expresses strong enjoyment and appreciation for the song and Tyla’s vocals.
Positive,This song makes me feel so relaxed and in the mood for summer vibes! Tyla never disappoints! 🌊🎶,Expresses enjoyment and positive feelings about the music and artist.
Positive,Very refreshing and catchy song. Love it!!,Expresses strong enjoyment and appreciation for the song.
Positive,Her voice is perfect she approached the song with the right feels 🔥 and the beat is 🔥🔥,Expresses strong enthusiasm and positive feelings towards the song and its elements.
Positive,Amazing song she’s gorgeous her vocals are so soft 🔥🔥🔥🔥🔥🔥,Expresses strong positive feelings with enthusiastic emojis.
Positive,What a vibe... what a wonderful song! 🌴🌺🌊,Expresses enthusiastic enjoyment and positive feelings.
