comment,user_name,date,likes
Artemas's songs are always such a vibe. 10/10 again!!,@makaylasmith7429,2024-03-19T04:03:50Z,1961
'' The perfect girl '' vibes. I love it.,@smokenjazz-h9t,2024-04-02T14:48:17Z,702
Proof this genre of music and melody just can't die.,@markogavrilovic2583,2024-05-11T22:15:17Z,570
This song gives  80s vibe and I love it,@Ajiljogy,2024-04-03T11:39:51Z,566
"This is too good! It gives me that ""riding a bike at midnight"" melancholic vibe",@bluejellyfish_,2024-03-28T15:55:18Z,427
"For those who have been in relationships like the one described in the lyrics, they know the range of feelings it evokes, whether it's euphoria, anguish, melancholy, regret, and a series of others. Listening to this song from that perspective adds tremendous depth. It is quite heartless to listen from a first-person point of view, but the one who is in love, even if deluded, leaves a small door of hope for humanity.",@HermanoCavalcante-t7o,2024-06-19T19:42:05Z,194
"One year already, which makes this sound 10x more nostalgic.",@GhidorahYanXiang,2025-03-19T13:07:01Z,143
We want more songs with this rhythm now!!,@Hayatozin800,2024-06-13T16:08:38Z,84
this song nails a vibe so precisely i was convinced it was a cover of a song i already loved,@mcgoose258,2024-04-15T17:27:28Z,42
Felt the Bloc Party vibes all the way through. What a tune! Soundtrack material right here. Ciao!,@test-gb8ri,2024-04-02T18:38:57Z,41
Holy heck - I haven’t heart this kind of Dark/Upbeat EDM get big in a while.,@CaptainKingOrca,2024-04-09T17:14:46Z,30
I love this song. Gives me a dark wave synthesizer 80's beat. Your hair looks so healthy 🍀,@Dakota-Rose,2024-04-02T18:04:21Z,23
It gives an impeccable retro vibe.,@adityaprasad6693,2024-05-27T07:43:13Z,19
"it hits, hits, hits part of the song is the vibe!",@harshavardhan77,2024-04-16T02:29:57Z,13
"Lately i sleep with my tv on, on mtv and last night i saw this the first time, as a 80s kid i instantly loved it what a vibe.",@DeEnigeEchteFAUST,2024-04-30T09:55:43Z,12
"I broke down and made a video of the song, but with vibes 80’s",@NickHit,2024-05-03T12:06:06Z,10
This beat got me. Fantastic. Cant stop hearing it.,@Fassja,2024-04-05T19:42:24Z,10
The fact this song came a little less than four weeks ago shocked me…it’s so catchy!!,@jk22222sd,2024-04-15T04:00:57Z,9
0:30 The Weeknd vibes 😮😮😮,@domagojla9745,2024-03-31T20:19:47Z,9
"Today it all sounds the same, repetitive not bad, well produced but in the end not very interesting. Often the better songs go back to the past. This one does that all too and yet, it catches attention. The secret? Not a lack of repetitive elements for sure, on the contrary but somehow it sounds like those who make it were inspired, liked this song themselves. It's shorter than usual. I wonder if they had discussions about this. Why??",@jean-pierredevent970,2024-05-05T11:58:36Z,8
Those few days have been torture and now I can finally vibe to this song all day!!!,@SamantaLilaLou,2024-03-19T08:54:21Z,8
"This is the best songs I've heard in a while, such a vibe",@butidontwantone5149,2024-04-18T20:12:49Z,8
this songs a vibe,@bendrealitypurval,2024-05-01T16:43:48Z,7
The vibe is unreal ❤,@aerosmithasian7223,2024-04-11T12:56:37Z,7
absolute vibe tbf,@Alfyus-pd7wr,2024-03-27T09:17:38Z,7
This gives me some Slavic vibes🎉🎉🎉,@mu3076,2024-07-18T02:05:28Z,7
"This is perfect. Absolutely a vibe, amen for this .",@hermangaviria690,2024-04-02T16:02:25Z,6
