comment,user_name,date,likes
The story behind Billie’s experience hitting the high note is what makes this song so beautiful!!! Billie we are ALL so proud of your growth and strength  within your vocals this album ❤❤,@dejaadderley5265,2024-09-20T13:15:41Z,113
Oh the warmth and tone in her voice!   Dreamy!,@JayZoop,2024-09-12T19:27:19Z,82
"To my surprise, this song, unexpectedly, moved me deeply; a man nearing fifty, I found myself unexpectedly touched by its simple melody and heartfelt lyrics.",@samuelzhang777,2025-01-02T06:13:59Z,79
This goes deep into my heart.😢 Reminded me of my late father who passed away just 3 months ago after suffering from the horrible pancreatic cancer. Music heals and connecting me to him again spiritually.,@AC-kq6sp,2024-09-20T10:53:32Z,76
"Billie Eilish captures the intensity of devotion in 'Birds of a Feather,' turning love's fragility into something fiercely eternal. Her vocals are a beautiful reflection of the paradox of love both tender and unbreakable. The emotional weight behind this track feels like a whispered promise of forever, even in the face of inevitable goodbyes.",@LoversSymphony,2024-09-23T19:42:04Z,66
"Easily Song of the Year. First time I listened to it on the album, for me it was an instant classic. I was craving for a song like this: simple, passionate and mostly universal. Anyone can vibe, from Gen Z to Baby Boomers, reminding of their teenage love. I'm not a Billie Eilish fan, but I have to thank her for delivering what I wanted.",@org-prod,2024-09-21T01:50:32Z,34
"This song makes me teary-eyed, every time I hear it. Those are such powerful words. Beautiful! 🥲❤",@leannasimplylee,2024-09-10T15:11:00Z,26
"I was not much of a Billie fan until this song. She really showed just how talented she is with this song. Everything about it is just SO so unbelievably BEAUTIFUL! Her voice,  the beat, the lyrics,  the way it just touches your soul! I cry every time I hear this song...Its my new favorite song and I will never get tired of hearing it! May god continue to bless Billie with talent and success!🫶",@AdriielGee,2024-09-08T00:00:13Z,25
"""2025, a new year, a new vibe, but the love for this masterpiece remains timeless. Cheers to great music and unforgettable melodies!""",@IAmNot_Anu,2025-01-01T05:14:56Z,22
3:03 need yall hear the angelic vocal in the back it’s really low but ITS SO GOOD,@iznathan,2024-10-06T16:55:17Z,20
My favorite song of 2024 and possibly this decade. The beats feel like throwbacks to the mid 1980's the lyrics are relatable and her angelic voice really give the depth to an already fabulous track.,@Darren_Hood,2024-10-10T00:18:47Z,20
"I love this song, especially the vibes it gives",@JustineGailEcat,2024-10-22T05:30:31Z,19
Beautiful song. Never knew who she is still don't know her face but great song. Lovely lyrics and perfect voice for the melody...addictive. ❤️,@YG-oo2ph,2024-09-21T06:19:39Z,17
I’m balling my eyes out because I’m dedicating this song to my baby who will be turning 6 months old. Time flies so fast and as a first time mom here I am getting overly emotional.,@carolbarles.23,2024-09-15T14:17:00Z,16
2:40 I hear a little George Michael here in Last Christmas 😊 both beautiful songs and vocals ❤,@DivineDivineGirl,2024-11-10T01:28:45Z,13
"So emotional and sad. Beautiful lyrics, music, voice. I hope we see this on top of the Billboard Hot 100",@bojanstefanovic1906,2024-09-10T14:12:38Z,13
The layering and progression of this song is sublime. Not a big listener of Billie but I’ve had this on repeat,@samyakjain727,2024-10-10T07:31:46Z,11
this song is so nostalgic and beautiful~~,@vochelle92,2024-11-03T15:40:23Z,11
"This song is really making me like Billy Eilish, and I never listened to her before.  What a beautiful song... dope beat, vocals and lyrics.",@the.marinator,2024-12-12T07:07:38Z,11
2:07 *Birds of a Feather is the Anthem of my Emotions…*,@midknightmuze,2024-09-17T18:51:46Z,9
"I fall deeply in love with this song. This song must become the best pop ""Song of the year"" this year.",@meltaway520,2024-10-21T05:47:38Z,8
"definitely the best song of the year, it makes me hypnotized by the melody and feel like I'm back in the 2000s, but at the same time enjoying the present time",@carlosdt6208,2024-09-19T18:41:58Z,8
