comment,user_name,date,likes
One of the most emotion-filled songs i’ve ever heard,@rydogjkjr3325,2025-02-25T02:51:06Z,1760
"This sounds so good. Live players, analog synths, real emotion. Fantastic. Finally pop that isn't killing my ears with harshness.",@benjaminmiller9656,2025-05-26T10:05:08Z,344
"I found this randomly not knowing anything about Chappell and halfway through I realized, ""Wait, she's singing about another girl being disingenuous about her feelings for her and living with regret."" I thought the lyrics were incredibly clever, and as a straight guy dealing with the devastating effects of ending a situationship where she couldn't commit, but had strong feelings, this song encapsulates how this girl's life will turn out. She wrote this about her own experiences, but I'm devastated and this song brings such relief.",@michaelmacbeth7171,2024-12-05T07:03:26Z,241
I love how this song has these heavenly vocals and it is the lyric video is a goofy powerpoint😭,@Exterme123,2025-01-06T08:47:15Z,28
I’m a rocker.  I’m hard rock.  This is sweet notes.  Modern. Disco.  Definitely caught my attention.  80s sounds. Vintage this is solid.  So hot. I hope it makes so much money. I know nothing about her.  This bridge was. Killer.  Face to face.  I told you so🤯,@roborobert1,2025-04-27T22:18:26Z,21
Such a catchy song. Definitely one of the best songs of the 2020s.,@BrentBare-cw6gz,2025-02-13T04:09:37Z,19
"Her voice is so angelic, powerful, soulful, haunting, resonant, mesmerizing, expressive, silky, clear, velvety, and WHY THIS IS TOO SHORT 😫💖",@rikatochimomi2314,2025-01-22T11:06:25Z,16
"This song goes on my Mount Rushmore of pop songs. I've been playing it on repeat for months now, can't stop listening to it. It's so deep, so many layers, yet so catchy and such a bop. I listen to it and cry and I'm not even gay...everyone can relate to the feeling of unrequited love. It's just so beautiful.",@Kellygluckman,2025-01-14T23:37:00Z,11
I usually don't care for modern music. I know it sounds pretencious and all that yeah yeah. But I fucking love Chapelle Roan and her music. Girl knows how to sing and the mix of modern musical tropes and the eighties synth vibes to almost all her songs absolutely fucks. Also helps that she is a goddamn gay icon at this point and I hope she continues her rise. Good shit good shit.,@astaroththedaeva9717,2025-02-25T04:48:51Z,10
my deeply closeted dad finds this song uncomfortable for some reason,@WalterMellin-e1r,2025-05-28T23:04:03Z,9
0:53 I’m almost 16 and I can still hit these notes,@mgwrestling27,2025-03-14T16:39:19Z,9
"This is what a hit song sounds like, simple, catchy, good melody, up lifting, and the right sounds",@LouisTorres-ut4ks,2025-01-27T10:56:06Z,9
I really love the ending how the music slows down but entire song gives such nostalgic vibes its great,@katkit1479,2025-06-26T00:17:39Z,8
Kate bush vibes,@samb8744,2025-02-24T20:52:18Z,6
2024 is already nostalgic 😢,@OnlyGanzi,2025-04-22T12:16:36Z,6
Kidz Bop made a cover and changed the chorus to “You can show a hundred boys you’re smart”😭😭,@Jataynaurr,2025-03-06T05:04:19Z,5
"Chappell Roan's ""Good Luck, Babe!"" is such an empowering track! The lyrics hit hard, and the vibe is perfectly bold. Definitely a song that sticks with you. 🔥🎤",@pomas_official,2025-04-30T16:32:48Z,5
I ugly girl cried when the bridge dropped. I wonder how many gay guys in the same situation with “straight” men behind closed doors can also relate to the lyrics.,@pottspointer8449,2025-05-12T18:33:00Z,5
This how the weekend thinks he sounds. This girl has the 80’s vibe sound down to a T,@aggydreams,2025-01-26T04:25:44Z,5
"Waking up one morning to my mom humming this song with 0 knowledge of English and asking ""mom, who's the girl who hurt you?"" And not giving context on why do I ask is truly powerful",@Amenlimit,2025-03-17T19:34:34Z,5
This song is fucking awful lmao,@BortJT,2025-02-03T09:08:20Z,5
"Ever noticed the lyrics sound like ""Shutterstock""? 😂 Genius! 0:42",@jennybph,2024-11-20T00:50:32Z,5
the lyric video giving vibes of 2007 computers HAHAHAHA love it,@moniquelacsamana8013,2025-01-12T02:40:12Z,5
I absolutely love the style of the MV it’s so nostalgic,@Umamusume_ismylife,2024-12-23T00:16:06Z,5
Thank goodness my homophobic countrys radios don't see the sapphic meaning so I can vibe,@oliwiacisowska4043,2024-12-23T15:28:26Z,5
"As a gay man, I can relate to these lyrics so much.",@L1LP0E,2024-11-21T03:54:23Z,5
"I will never tire of this song. Lyrics, production, song, singer….ten out of ten!",@stephensmith7786,2024-12-05T00:25:46Z,5
"She’s got like 80s,90s,00s vibes all rolled into 1 somehow",@guanaco103,2025-05-27T22:31:41Z,4
"the tone, the lyrics, the video gives me nostalgic vibes. it's like I've been returning to the past where the world still good, but I had to stop these feelings because I don't live in the past :(",@JefferKimBayot-f6j,2024-11-17T10:55:04Z,4
No Doubt vibes,@nicholasdruce5346,2025-02-26T22:07:17Z,4
2:37 and 3:23 IS THE BEST PART OF THIS SONG. OMGGGG THE SONG IS GOOD ALREADY BUT THOSE TWO PARTS TOUCH ME EMOTIONALLY AND I GET CHILLS LOL.,@ItsurMusicboyJoe,2025-04-26T01:10:15Z,4
"This woman has single handedly mastered 80's, 90's, and 00's vibes. How.",@The_Soupiest_Spoon_7543,2025-01-09T18:30:13Z,4
She gives Marina Diamond vibes,@shonjahpollard6936,2025-02-23T15:31:40Z,4
Gwen Stefani vibe ❤,@CarmenElena.14,2025-02-24T21:10:18Z,4
I love the vintage youtube lyric video vibes it's so nostalgic,@MaxStar-ej5yw,2025-07-07T01:49:55Z,4
"imagine just. releasing one of the most influential songs of a generation. because of how good and nice and fun and catchy your vocalizations and wordplay are. like, oops! i did poetry and music and self expression so good that this song will become a cultural touchstone!! that's what it means to be queer btw",@Eve.v,2025-02-17T04:52:47Z,4
"""The energy, the melody, the vibe—everything is just chef’s kiss.""",@tunenest-504,2025-02-17T18:28:09Z,4
It gives the old Microsoft computers vibe,@DDDDDDDDDDDDDDDDDD-w2f,2025-01-05T18:28:45Z,4
