comment,user_name,date,likes
the switching between the deep voice and “high” voice is very addicting-,@bratzzp,2025-01-13T22:59:56Z,2131
"I'm almost 31, Charlie just turned 32 and that is a big reason I've become a fan today because the vibes of her brat album definitely give me those myspace era days  vibes and she gets it. Got it down packed 😭I just love the retro aspect of her and actually being able to feel like you're reliving that era is nice.",@ashhhx93,2024-08-31T00:07:54Z,612
WHY AM i BLUSHING SO MUCH FROM HEARING BILLIE'S VERSE 😳😳 THIS GOT ME VICARIOUSLY YEARNING 😫,@CorinnaScheper,2025-06-16T07:46:51Z,185
THEYRE LITERALLY TALKING TO EACH OTHER BUT IN LYRICS FORM IS CRAZZZY😫,@aaishayusra,2025-02-18T00:16:38Z,30
"It’s not a religion, cure for world hunger or peace, just a catchy rhythm accompanied by two female artists at the top of their game. Enjoy it for that folks",@InterpolArticle1,2025-03-01T23:44:11Z,24
"Like ik im late and everything u jus wanna say that the fact i know they are singing about really dirty things the song is such a vibe😭😭😭 like im literally vibing to the part ""i have to GUESS the colour of your underwear..."" 😭",@martinc_b1,2025-03-18T18:06:12Z,14
This beat goes craaaaaazyyy,@Ivithatgirl,2024-10-19T00:27:48Z,11
Unpopular opinion: Billies verse is my favorite.,@kirarankin4230,2024-09-04T02:29:15Z,8
"1:36 that synth in the drop is fkin nasty, daaaamn, I love it",@catalinpaul2617,2024-08-26T20:20:43Z,8
JoJo needs to take notes,@Eroc12,2024-09-11T03:28:47Z,7
"Lord knows how this got to be ""Song of the Year"" at The Brit Awards. I can't anticipate anybody singing it two or three years from now. Shouldn't endurance still be a test of a song's quality? Even a brief look at the lyrics shows how shallow and self-indulgent ""Guess"" is.  And before anybody has a go at me, I freely admit that I am probably an old fuddy duddy and don't know what I am talking about. I am cool with that.",@neiltheasby4431,2025-03-03T15:40:48Z,7
That technological melody hits🎉🎉,@MurasakiMurasaki-fo6qq,2024-10-26T04:07:06Z,7
Literally here after seeing Taylor vibe to this song in the grammys,@mahizakir3,2025-02-03T20:18:13Z,5
Im obsessed how she’s walking in on beat at the beginning,@Yeeeeeeeah,2024-10-10T13:19:51Z,5
this song is like weird and catchy at the same time,@vastsummers,2025-02-12T00:49:22Z,4
0:38 WHY IS IT SO CATCHY😭✋,@allhaitifamily1710,2024-08-24T05:58:13Z,4
I feel like everyones talking about Billie BUT CHARLI'S VERSE WAS AS GOOD!!! I MIGHT EVEN LIKE IT BETTER,@Ryujinie,2024-09-16T09:02:01Z,3
0:59 the beat drop when billie comes in is soo catchy omg,@glencoconut,2024-10-21T21:45:07Z,3
possibly the worst song ever?,@j0hnnychr0me,2025-02-11T08:38:45Z,3
"The mixing work is impressive, with the spatialization of voices through panning (best experienced with headphones: the panning makes Charlie and Billie talk in each ear and move from one to the other) and the evolution of basses that play with the tension.",@GSam-jh9sb,2024-09-02T13:26:37Z,3
Absolutely awful,@nkentable,2024-10-01T14:32:20Z,3
Honestly if ima be fr it’s really not that bad I feel like people are kinda overreacting about it like yea the lyrics are talking about sex stuff but like a LOT of music artists talk about it to and it’s really not that bad😭😂,@Paige.Mcquillen,2024-09-30T16:36:36Z,3
"The visuals on her music videos are so tough, completely different vibe to just listening to it",@Saoo100kSubsCommenterChallenge,2025-02-27T00:02:20Z,3
"One of the worst songs I've ever listened to, who ever wrote these lyrics needs to be made to listen to this song over and over again until they are forced to delete it from history. (And congratulations on Charlie xcx getting the world record for worst singing ever before heard in a music video!)",@JasonGreene-fz5gy,2024-08-25T09:17:09Z,3
Why do i feel billie is laughing to death from inside but tries not to show it from the lyrics 😂😂😂,@JumanaAhmed-td4es,2025-03-26T10:07:12Z,3
"If this is music and ""lyrics"", sign me out.  B.S.",@ShaggyDJ73,2024-09-21T05:09:51Z,2
"BIG VIBES of Daft Punk - Technologic, very similar",@sandrine29cravo,2024-10-23T23:26:03Z,2
Looked this up to see who beat out the Cure from 40yrs ago on the recent Brit Awards. 😲 how disappointing. Oh well. The box has  been checked. Life goes on.,@mikeoittinen5623,2025-03-03T13:32:05Z,2
"cool music, has a cyberpunk vibe.",@alysxns,2024-09-16T11:39:26Z,2
Im so glad Charli xcx is still making music! This might be a constraversial opinion but she shouldve blown up first before Iggy....As far as i know Charli is a lot less problematic than Iggy but Iggy did put out some good beats tho!,@Demonic.Faerie,2024-12-27T21:46:37Z,2
