comment,user_name,date,likes
This music video has got an unbelivable 2000s vibe. I love everything about it.,@zweie_ziehn,2024-03-18T21:47:18Z,514
"All of this is a master piece:the beat,the voice, and her. Just a master piece",@AnetaProrok,2024-04-15T07:12:22Z,363
"Dua Lipa has such a beautiful strong voice.  Love her richness on her low, high and falsetto notes",@LaughterandJesus,2024-02-19T03:20:49Z,227
"I am just loving the progression in just the instrumentals alone, the story being told in her acting and the lyrics is sooo goood",@jensterjen,2024-02-23T03:46:15Z,140
"This is April 2025 & this song of DUA LIPA continues to be exceedingly electrifying, enormously exciting, exceptionally elegant and exquisitely expressive. Her singing is singularly soulful, spellbinding, superb, sincere, sweet and simply spectacular. ❤❤❤❤❤❤",@kesharisuthar3268,2024-10-15T07:33:17Z,52
It's amazing how only she can beat herself everytime❤,@richarishu9818,2024-02-18T06:49:43Z,40
"I don’t listen to Dua Lipa typically, but after hearing Kevin Parker was producing this record I couldn’t help but listen. What a perfect match of vocals and production with so much depth! Can’t wait to hear the rest of the record!!!!",@lauren-alysgornall5017,2024-03-05T01:28:56Z,39
Truly amazing artist. Brought the vibes from 2000s to 2024 and mixed it  with new melodies .,@Jane349-s3b,2024-04-12T12:15:32Z,29
"I insist in the perfect production of the Dua Lipa sonsgs. Everything fits perfectly, either a piano, a synth, vocal harmonies....together with a catchy melody",@trastofer,2024-02-19T15:24:54Z,28
"I love Dua Lipa's music more than anyone else out there. Some tunes have a 70's vibe, which I love.",@davidlagrange403,2024-03-16T17:14:44Z,28
"So much 70s and 80s dance beats to this and most of her catalogue, and bringing back the disco era.",@CourtneyCornell-pd4py,2025-03-20T10:19:43Z,23
2:50min ABBA - Dancing Queen? Melody? 🎹🎹🎹🎹,@SilkeApel-f5h,2025-03-03T07:14:28Z,23
"I'm a metalhead, but I always love everything what Dua does. We, from the part of Europe that has always been slapped by history, somehow we have a special taste in common.These are special emotions😉",@hrcodrums,2024-04-11T21:48:58Z,22
"I'm 68 and I've been a music fan since the Beatles first appeared on Ed Sullivan in 1964. I've been Dua's fan since her first Graham Norton appearance in 2019?. People I'm telling you, if you never settle for just one genre of music, from any specific era, you'll never feel old. Great music is made every year and you have to just stay open to it. Dua is incredible and I'm so glad that I'm not missing out on her talent because of my age. Age bias is a terrible thing to give in to, don't let it happen to you.",@macbirt56,2024-04-11T18:10:38Z,18
