comment,user_name,date,likes
She's got a song for almost every situation I swear! I enjoy artists who're able to be diverse and multi-facet when it comes to them being able to express themselves in their art in different ways.,@oceanspotions4401,2024-03-22T17:09:43Z,1098
"The drums, the beat drop and the hype just makes you want to run through a wall, I never thought me, a grown straight man would have something in common with my niece",@tuiman5212,2024-05-17T19:09:21Z,898
This is giving me 2000s punk rock vibes. I love it,@MetalheadChristian,2024-06-08T19:42:25Z,793
this mv gives off 2000s-2010s vibes in the BEST way!!,@_muuni,2024-03-22T14:44:25Z,687
The lyrics to this perfectly illustrate a condition called Retroactive Jealousy which is something we help people with,@retroactivejealousy-worldl1805,2024-03-25T21:00:19Z,146
She’s such a good actress - she conveys emotion so well,@BronwynG,2024-05-03T03:20:07Z,118
She is the next POP Rock ICON!! What an amazing concept and catchy song for me.,@jcescolastico5299,2024-03-24T17:43:49Z,94
"1:00 im getting such strong ballad of monalisa vibes, love it🖤",@enny-vh6kq,2024-11-07T15:47:11Z,37
"This video is genius, this song is so unique and I’m obsessed with her emo vibe! She’s giving young Winona Ryder in this",@lnicolek012,2024-04-28T05:16:17Z,31
CAN YOU STOP MAKING RELATABLE SONG?????😭😭😭 I'M LITERALLY CRYING SO HARD ABOUT THE LYRICS OMG,@dyahrzvh7971,2024-03-22T21:07:01Z,27
"If there's one thing I love about Olivia's music videos it's the aesthetics. The costumes, ""rock"" songs, film filter etc that really sell these nostalgic, aesthetically appealing vibes I get. I don't know how to better explain it but just good job on everyone involved ❤",@victoria58,2024-03-27T05:00:45Z,24
I love these Rock vibes that Olivia gives with every song more and more. And i live that she tells different stories many people can relate. Love this craziness! Loved the video and song❤,@adelinekhasanshina5040,2024-03-25T22:41:57Z,19
This has such a 2000s music vibe,@cobeyss,2024-03-23T22:14:09Z,16
"This is just so damn good. I'm 40, and let me tell you, this is a strange emotion that only MOSTLY goes away after real, long term commitment 😂 It goes from obsession to awareness maybe? But the sashes are forever lmao",@Ashley-fj3hq,2024-06-09T02:04:18Z,10
Love her how she makes lyrics so relatable. ❤,@Paol-b6o,2024-03-26T00:55:51Z,7
"Insane 2003 MTV Pop-Punk vibes both the video and the song, absolutely fucking love it",@Fanc-E-Kitten,2024-06-24T23:47:33Z,6
Love these rock vibes,@elenac.1613,2024-03-25T13:41:44Z,5
She’s giving Wednesday vibes,@theatv1683,2024-03-25T03:49:05Z,5
Can you make another music like drivers licence and traitor vibes again?,@Neko-wz9yr,2024-03-26T01:45:44Z,5
this songs such a vibe,@leighris-bowen6785,2025-06-20T23:04:23Z,5
This song is a vibe,@Legend_ozzyosbourne,2024-06-06T22:32:43Z,4
"YOURE LITERALLY IN MY HEAD... THE LYRICS...THE ENERGY, THE CRAZE...THE INSANITY",@shawnfarrell9979,2024-04-16T23:18:39Z,4
This song is such a vibeee✨️✨️,@imgiaaaa,2024-05-21T11:43:03Z,4
Olivia is a vibe trust me,@Lomika7,2024-03-30T12:01:01Z,4
"coming back to this music video, #THATGIRL could never beat olivia rodrigo.",@livshopeurok,2024-06-07T00:48:50Z,3
Tryna listen for Chappell’s backing vocals!!!,@meghansullivan6812,2024-08-17T17:24:35Z,3
Olivia always beats it!!❤‍🔥,@minioex,2024-03-24T11:50:48Z,3
Olivia is giving gay vibes with this one,@Trumpetkweezer,2025-01-24T05:18:41Z,3
Omg Olivia so much emotions you are so talented and incredible❤,@Sharealotharms,2024-11-03T17:15:11Z,3
Good vibes!,@williambreeze2659,2024-04-01T00:22:09Z,3
The overflow of emotion that's always present in Rodrigo's song👍👍👍,@MosesLydia,2024-03-24T14:35:33Z,3
"I love Olivia and I love this fricking song,even if you don't relate to the lyrics,you can easily feel the frustation and the insecurity, It happens the same with most of Olivia's songs, that's why I love her music ❤",@lucky-bunnx,2024-03-22T21:20:54Z,3
"I can definitely relate to her lyrics and now i certaintly feel its ok to feel this, fck.",@kathydennings3090,2024-05-26T06:24:11Z,2
What a beautiful funny song. Every emotion is so clearly worded. Supppppeeeerrrrbbbb❤❤❤❤❤❤,@shishirshirole,2024-07-04T09:20:00Z,2
❤ love the relatability of her lyrics,@emina593,2024-04-07T18:37:38Z,2
Love the rock vibes!!,@lmcb8447,2024-06-20T03:05:00Z,2
The main chorus kinda sounds like telephone by Lady Gaga and Beyonce.... Just me???,@marnie6193,2024-04-23T14:08:37Z,2
I’m so obsessed with your exe so catchy right,@MauraGomez-vg9wd,2024-03-24T18:04:27Z,2
i love this music video!! like i wish “get him back” had a similar vibe,@kibumisnotamused,2024-03-26T12:26:06Z,2
This song is annoying,@leechgamingYT,2024-04-28T18:31:11Z,2
I’m only here for the Alt/Rock vibes.,@MrNashey1,2024-03-29T04:53:12Z,2
The moves makes me emotional,@FredrickEchengu,2024-06-11T09:50:19Z,2
God damn whatever guy has all these girls as his exes must be the most attractive dude in the universe,@cj5564,2024-03-30T01:00:06Z,2
She did it again. Olivia somehow managed to be more generic than Taylor Swift. She carefully handpicked another one of the most generic situations in life and is pretending she wrote and filmed a masterpiece. The delusion is beyond. And the people who likes her music are the most basic I ever witnessed in my lifetime. That's impressive. What a load of shit.,@cedricqw,2024-03-22T15:43:27Z,2
It's giving me Avril Lavigne vibes❤❤ love it❤️,@cha-2248,2024-03-27T07:32:30Z,2
This gives me 90’s Garbage and Courtney Love vibes. ❤,@juvdeguzman6388,2024-03-29T16:33:43Z,2
The classical rocker vibe we love ❤,@janellerod4865,2024-03-22T14:40:42Z,2
I feel this Lyrics so much (unfortunately) 🥲,@christinemeyer5470,2024-04-08T17:04:43Z,2
The most emotional yet beautiful song on Olivias channel,@transparentYT,2024-04-21T16:25:03Z,2
"When her music is good, it's really good but too bad when it's bad, it's some of the worst out there like this song. This song is so cringe in every way possible",@losbebeast8449,2024-05-24T22:37:24Z,2
"This is very Michelle Branch, the music video is giving me Whip IT (2009) vibes and I’m here for it",@queenb7013,2024-03-22T19:03:02Z,2
"..the life of every fucking party. I've got issues.....  Hahahaaaa!!!!😂❤🎉🎉 LUV this song & others. Esp. when idoL #oliviarodrigo cusses swears.. so real. Like most of us do. HahaHaaa!!!!! LUV this song, video, lyrics.. & many of her songs. Our #philippines' #princess ❤️ 😊 🥰 🎉💜 💜💜",@m.francisco7205,2024-12-08T02:35:13Z,2
Chaotic and emotionally raw. I love it.,@LentilSoupGirl,2024-03-22T17:39:56Z,2
Ewwwww the lyrics are soo cheap,@ms_jkieetessa,2024-03-24T10:40:27Z,2
"The best song I've ever heard in my entire life, nothing beats this song.",@Nxzxmii-vd5kd,2025-06-07T20:51:32Z,2
"Hi Olivia, not sure if youll see this but I heard Fefe Dobson's Shut up and Kiss me and I can hear you singing it. It has the same vibe with some of your songs.",@tripsome2153,2024-06-25T08:12:52Z,2
1:26 im obsessed with the way she blows the kiss so annoyingly but kindly at the same time ❤😘,@summerrrrr8399,2024-03-24T11:29:59Z,2
Finding this now has been a GIFT! This is a vibe. The vibe. 🔥🔥🔥,@ashb512,2024-08-28T15:40:09Z,2
"Catchy, witty, sexy, kinda heavy......I'm impressed",@jamknight,2025-06-02T14:12:50Z,2
i dont see how everyone else isnt cringing at the lyrics.,@__keys,2024-03-27T22:40:07Z,1
She reminds me of Em Behold and a 2000's favorite called Poe. She has the same style as EB but a lower tone in singing when doing serious lyrics just like Poe.,@azonak,2024-04-20T05:50:49Z,1
She is the next POP Rock ICON!! What an amazing concept and catchy song for me.,@CatherineRogers-t2i,2024-03-26T15:00:20Z,1
OMG I AM LOVE IT GIVES OFF BRUTAL VIBES!!!!!!!!!,@Lele_685,2024-03-23T17:06:43Z,1
"That first half of the chorus, what does it remind me of?",@SuperStarr817,2024-03-23T06:38:33Z,1
worst music in the world trash music,@HENRI_GAMEX,2024-10-14T12:55:16Z,1
"In addition to all of the other amazing qualities, performance, aesthetic, voice, look, smarts,  Imma jus gonna say that Livvy might be the greatest poprock songwriter of ALL TIME. These lyrics are profound poetry, every damn song. Especially this one!",@kevrmoore,2024-03-29T22:59:30Z,1
WHY IS THIS SO NOSTALGIC NOW..,@MarPostsAnything,2025-01-04T17:01:08Z,1
Olivia can you please please please🙏 make a song about me i love u so much my name is harmony love u olivia your the best and im so obsessed with u   i listen to your songs every day love u liv love u liv your the best,@SilvestreGalicia-rq8ro,2024-03-25T00:31:25Z,1
Cleaning up the mess the exes made with a vacuum in the end is such a vibe😂,@Amadeadraws,2024-03-25T17:40:25Z,1
