comment,user_name,date,likes
Her smooth vocals and heartfelt lyrics hit every time ❤,@soldeljazz,2024-11-25T01:49:16Z,816
Gives me that 90s Vibe 💯 THANK YOU SZA,@feboneguttagutta8210,2023-11-27T09:04:39Z,572
"I love SZA she is just a vibe period. Her voice is amazing!! I love her music, it is so giving.",@Akira14ification,2023-11-27T19:40:17Z,218
I literally listen to this song about 100x a day the lyrics her voice the beat it’s just the whole package I’m addicted to this song,@engelh8123,2023-10-19T04:46:53Z,217
"Her voice is absolutely gorgeous. Amazing control and delivery, not to mention the flow and rhythm 🧐🤩",@n4t3b85,2023-09-28T21:08:52Z,206
her songs are so catchy plus the lyrics are always fire 🔥 love sza,@starbucksmochafrap,2023-06-10T05:17:24Z,107
I love this song. I love the melody. SZA has a great voice.,@teresaavalos4804,2023-07-21T18:17:44Z,82
"This song is pure magic; it's like a warm hug and a confession of love all in one. SZA, you have a gift for capturing raw emotions. Definitely putting this on repeat!",@teófilo-p4c,2025-04-05T19:08:36Z,78
"1:48 I've been listening to this song every day lately, her voice is so amazing I can't get enough of it. ❤️Sometimes her high notes sound like an old Justin, am I the only one who thinks that?",@Soundhub098,2024-12-04T21:44:37Z,78
Driving thru Midtown Atlanta as it’s raining with the woman of my dreams listening to this. Good vibes!!,@a1smook558,2024-01-27T20:12:48Z,78
im a grown ass man but this song man… i just wanna blast it driving windows down screaming the lyrics. her voice is angelic,@darrenhdz,2023-08-01T19:25:23Z,76
"The slowed tempo, the dreamy riffs at the beginning & end, she turned emotions into melody, Snooze hits you right in the feels.",@theofficialgreenkane,2025-07-17T18:13:40Z,43
Every one of Sza's songs have the deepest lyrics. Even with few words.,@TheDisqualifiedPreacher,2023-12-11T18:57:13Z,37
This song show me how strong her vocals really are everything about this song is amazing,@aviswhite2949,2023-08-22T02:47:40Z,37
How she moves her notes is hypnotic ❤️‍🔥,@OfficialVillaNoize,2023-11-17T09:45:53Z,34
