comment,user_name,date,likes
"We must give juice to this girls writing , melody and delivery. Excited for a full project",@akamun3061,2023-07-28T04:14:20Z,8898
"the lyrics, the voice control… omg she is incredible",@Duda_carvalho011,2023-09-04T16:36:25Z,3492
This song makes me feel so relaxed and in the mood for summer vibes! Tyla never disappoints! 🌊🎶,@Prinz_gassama,2023-09-08T20:15:06Z,2938
"I love this. It's a whole vibe. I hope you keep making songs like this. Don't switch up, this is what we want to hear.",@yoshismith6988,2023-10-12T13:25:27Z,469
"The chorus was SO ADDICTING like LITERALLY!! And GOSH, her voice is like SO pretty💗",@tanshikarelangi939,2023-12-16T07:48:21Z,304
I have never heard such immense vocals in such an up tempo track truely phenomenal especially they way the vocal agility is so consistent and controlled utter perfection👀,@ayab3306,2023-09-19T21:38:02Z,185
"What a song! This has to be one of the best songs of this season . The harmony, melody, etc. I love this song.",@seunige9112,2023-09-07T20:19:07Z,182
"Wow, this song is an absolute masterpiece! 🎵❤️ I can't get enough of it, and it's been on repeat since I discovered it. The lyrics, the melody, everything about it is just perfect. Who else can't stop listening to this gem? 🔥👏",@CintiaMendesT,2023-09-27T18:50:25Z,165
"This song from the beat, melody, lyrics in the writing, the structure, the vibe is on point, it’s damn there perfect",@kajuanrollins111,2023-09-25T12:06:16Z,153
"Having listened to this song for the first time reconnected me with my femininity, and now I am addicted to it. It made me feel like I could express myself without fear of judgement. The lyrics spoke to me in a way that no other song had, and I felt like I was being understood and accepted. This song has become my anthem.",@Silversiren-d1b,2023-11-15T00:17:43Z,134
Absolutely LOVE the vibe with this song.This 62 year old is dancin round the house!👏🏻💃🏼🎶🎶🔥,@terigiese1322,2023-07-28T04:37:15Z,98
"💙🌊Everything about this song is perfect. The beat, that voice & those lyrics. TY🌊💙",@Daja1st,2023-09-30T23:48:41Z,73
I wanna sit on the beaches on my island of Puerto Rico and BLAST THIS! the vibe is so right for the beach. 😍🇵🇷,@daho4317,2023-09-27T22:11:37Z,71
"I love this tune! Tyla has such a nice voice, plus I’m loving the Afro beats 😍👍🏽",@pinkdiamonte5300,2023-11-19T00:32:14Z,67
This song makes me feel so relaxed and in the mood for summer vibes! Tyla never disappoints! 🌊🎶,@xselectronicmix,2023-09-26T05:24:52Z,62
Very refreshing and catchy song. Love it!!,@Icandoit36058,2023-10-20T04:33:02Z,61
Her voice is perfect she approached the song with the right feels 🔥 and the beat is 🔥🔥,@vonamel_music,2023-10-10T05:18:43Z,55
