classificacao,sentimento_manual,comentario,justificativa
0,0,am i the only one who feels like since her return she has been singing about her reality? Like its not just lyrics?,Expresses a critical observation about the artist's lyrical content.
1,1,Best shot is her sitting on the couch with her dog while everything changes around her. Reminds you just how deeply one person can change your life.,Expresses a heartwarming and positive reflection on the song's impact.
0,0,"This is such a beautiful song. This used to be my wife’s favorite song. We played this at her funeral as her last request before she passed away.  Every time I listen to this, it gets too emotional.",Combines positive sentiment regarding the song's beauty with deeply emotional and sorrowful context.
1,1,"this song perfectly captures what it’s like to miss someone you know is bad for you. the longing and the need for their presence is still there, but deep inside you know that they will never change their ways and will never treat you right. thank you ariana, for reminding me how i deserve to be treated & for creating this beautiful piece of music. ❤️",Expresses strong appreciation for the song's ability to capture a difficult emotion and acknowledges its positive impact.
1,1,"Eternal Sunshine of the Sportless Mind is one of my fave movies and this had me emotional. Reliving the emotions of Joel and Clementine through this movie had me bawling. Gosh, thank you, Ariana!",Expresses strong positive feelings and emotional connection to the song.
0,0,"The meaning behind this video is deep.. clearly an ode to Eternal Sunshine of the Spotless Mind, which was one of Mac’s all time favorite movies… Ariana clutching the necklace he got her as she wakes up panicking from the procedure removing her memories with him 😢 brutal",Expresses both appreciation and sadness related to the video's themes and imagery.
1,1,The beat at the beginning is her heartbeat 🥺 she literally put her whole heart into this song and project 😭❤,Expresses deep admiration and emotional connection to the song.
1,1,"We Can’t Be Friends’ hits deep with emotion. The raw energy in this track is unreal. As a country and southern rock artist, I feel that same heart in my music. 💔🎶",Expresses strong emotional connection and resonates with the artist's own style.
1,1,Gotta be careful because that scene at 3:27 will have me crying fr. Her acting is so great and I could feel her emotions and anxiety when she was looking around gripping the necklace. 😭,Expresses strong admiration and emotional connection to the video's scene.
1,1,2:58 is just so deep ' so for now its only me and maybe thats all i need. ',Expresses a peaceful and self-accepting sentiment.
1,1,This is such a beautiful depiction of the grief of losing someone you loved so deeply and needing to heal from that loss. Thank you mama. 🦋,Expresses deep appreciation and acknowledges the song's emotional impact.
1,1,I swear I watched it over 50 times now and there wasn't a time when I didn't cry at the scene she wakes up. Ari is amazingly talented and choosing Peter to play the guy was also excellent idea. They look so good together and they conveyed the emotions like Oskar winners. I love this song and video to bits.,Expresses deep emotional connection and strong praise for the song and video.
1,1,"“So for now it’s only me, and maybes that’s all I need” that touched me deeply 🥹",Expresses a feeling of profound connection and emotional resonance.
-1,0,"The fact that she was walking with someone else and saw the guy walk with someone else also shows so much. You think y'all are made for one another, but deep down, they're just a lesson.",Expresses cynical and judgmental views about the relationship.
1,1,"this captures the essence of missing someone to the deepest extent. it is how i have been feeling for almost half a year now. this video spoke so much to me that i had to cry lol. thank you ariana, again, for this beautiful masterpeice. i love you.",Expresses deep emotional connection and appreciation for the song.
1,1,3:27 that was great acting omg!!!! she really captured the emotions! I feel like she would make a great actress!,Expresses admiration for the performance and suggests potential as an actress.
0,1,"This song reminds me that some people come into our lives to leave a deep mark, but they can't always stay. The pain of not being able to be friends with someone we still love is indescribable... Ariana managed to transform this feeling into art.","Expresses both nostalgic fondness and sadness about a lost friendship, alongside appreciation for Ariana's artistic interpretation."
-1,1,"The concept of this video hits me so hard. I was sooo in love with my son’s father but he was so clearly wrong for me, the relationship was extremely toxic and abusive in every way, but he was always so good at the claw machines 😭 it hits so deep 😭😭he always won us gifts, and he’d win them for any girl he was seeing behind my back 😔",Expresses painful memories of a toxic and abusive relationship.
1,1,we can’t be friends era is an unforgettable era 👑,Expresses strong positive sentiment and admiration for the 'We Can't Be Friends Era'.
1,1,"Regardless of genre, opera, operetta, Jazz, she has one of the greatest vocal instruments of all time.  Ella Fitzgerald, Diane Shore, name the greatest opera singers, Ariana Grande is on the list of all time greats.",Extensive praise for Ella Fitzgerald’s vocal talent.
0,0,"In another universe, he cleaned up and got better, they stayed together and they were happy.",Expresses a wistful yearning for a different outcome while acknowledging a present reality.
-1,1,"How is this song not nominated for a Grammy?? But Fortnight by TS is?? This song vocally, lyrically, musically is so moving and deep and heartfelt. Not a pop song made just for the sake of being made.",Expresses frustration and disbelief about the song's lack of Grammy nomination while praising another song.
1,1,She can just do absolutely everything with her voice and this is indeed the most emotional song she's ever written and singed.😢😢😢😢😢,Expresses deep emotional appreciation for the song and the artist's vocal performance.
1,1,"Ariana's lyrics are always like a diary, that's what I love them so muchhhh",Expresses fondness for Ariana's lyrical style as personal and relatable.
0,0,team conrad received this nostalgic song for heartbreak...,"Expresses a nostalgic feeling linked to heartbreak, with an implied appreciation for the song."
0,0,am i the only one who feels like since her return she has been singing about her reality? Like its not just lyrics?,Expresses a critical observation about the artist's lyrical content and its perceived connection to her personal life.
1,1,In all Ariana's songs actually this is my best. So emotional . I listen to it continuously without getting bored it even creates feelings in you,Expresses deep enjoyment and emotional connection to the song.
0,1,"I love this song but it’s so bittersweet. Particularly the ending where the “I’ll wait for your love” lines repeat , and fade in that orchestral music. Somehow it hits a pretty specific button in my nostalgic heart. And I just Love it 😢😅",Expresses love and nostalgia with a slightly melancholic tone.
-1,1,"Every time I watch the video to this song I cry. Being in love with someone after it has ended is the worst feeling, you Mourn a living person. 😣just left with all the good memories. So I’d like to check in to that place!",Expresses profound sadness and pain associated with a past relationship.
0,0,"idk if y’all have seen Eternal Sunshine of the Spotless Mind but that film is what the album (esp this music video) is drawing from thematically. I highly recommend watching it to understand the full extent of the pain she’s been going through, it changes the album’s tone completely","Connects the music video to a film, offering a critical interpretation while acknowledging the album's overall theme."
1,1,It's not a song it's emotion 😭,Expresses deep feeling and appreciation.
1,1,This song actually give real November n December vibe❤️😭😭,Expresses fondness and evokes feelings of warmth associated with the specified seasons.
1,1,"“Ariana’s vocals are like a warm hug for the soul so effortless, so powerful! Every song she sings feels like a masterpiece. Who else is completely enchanted? 💖🎶”",Expresses overwhelming praise and adoration for Ariana’s vocals and music.
1,1,her best bridge for me. That counter melody is stunning.,Expresses admiration for a specific element of the song's composition.
0,0,Song lyrics Me and you🎧 ?,Simple expression of interest without strong sentiment.
1,1,This video has the vibe of the film eternal sunshine of the spotless mind which was a masterpiece,"Compares the video to a critically acclaimed film, expressing a positive association."
-1,1,"me and my best friend don’t talk anymore, we aren’t friends anymore, i can’t accept the fact. i just pretend we are friends :( this song really hits deep thankyou ari for your incredible art.❤ ily",Expresses sadness and inability to accept the loss of friendship.
1,1,"Lord I love this song and her voice is everything. The beat also reminds me of Robyn's ""Dancing On My Own"".","Expresses strong affection for the song and artist, comparing it favorably to Robyn."
1,0,"Somewhere in the multiverse, Mac got sober and they're married and she's finally happy. You can't convince me that he wasn't her soulmate. RIP Mac Miller.",Expresses a hopeful and affectionate tribute to Mac Miller.
1,0,give the ramadhan vibes😂,"{""sentiment"":""Positive"",""justification"":""Expresses a positive association with the song evoking a specific feeling.”}"
-1,0,So sad+emotional,Expresses feelings of sadness and emotion.
1,1,So deep. Listened 4xs.,Repeated listening indicates strong enjoyment and appreciation.
1,1,"Here before 500 million views! Great job Ariana Grande, will always support you no matter what kind of drama is going on involving you because I know deep down you don't mean harm. Keep going girl!",Expresses support and encouragement for Ariana despite potential drama.
0,0,"Anyone else think this is about Mac Miller? Her acting is SO good. It doesn’t feel like acting, but real and raw emotion.",Expresses admiration for the acting while subtly suggesting a connection to the late Mac Miller.
0,1,In a parallel universe this would win the grammy for song of the year❤❤🥰🥺,Expresses a desire for a different outcome while conveying positive emotion.
1,1,This video makes me so emotional.,"Expresses a strong, positive emotional response."
-1,0,"I am sorry that I am crying while listening to this song. You just remind me of him again that I have kept deep down inside of me for along time. Ariana, you must be responsible for my tears. 😭😭😭",Expresses distress and blames the song and artist for causing sadness.
1,1,"It's been a year since the clip came out, and emotions and feelings are the same as when watching this clip like the first time❤️",Expresses continued strong positive feelings and nostalgia.
1,1,"Everything about this song and feeling has been perfectly projected, well done very powerful ❤❤❤",Expresses strong positive feelings and admiration.
0,1,Holy shit man😮 this video is deep,Expresses strong surprise and implies a complex or profound message.
1,1,After the eternal sunshine deluxe - it's beautiful. It's art. We never experienced this powerful of an album and eternal sunshine is the healing album we all need - the deluxe is AMAZING,"{""sentiment"":""Positive"",""justification"":""Expresses strong praise and considers the album a ‘healing’ masterpiece.”}"
1,1,"One of the most beautiful songs of this year, with an impeccable video that causes enormous emotion. The song that made trending in Tik Tok... millions people share that feeling that is ""We can't be friends"". It doesn't have a GRAMMYs but it has its loyal fans, because for us it is the Single of the Year ✨",Expresses strong positive feelings and popularity of the song.
1,1,Eternal Sunshine of a Sportless Mind vibes all the way,Evokes a nostalgic and positive association with a well-regarded film.
-1,0,"Say what we will about her, she knows how to capture emotions accurately cause this whole video hurt my soul. And I may be late to the party but dang. Painful.",Expresses deep sadness and distress caused by the music video.
-1,1,This song is like grief wrapped in clarity..	When you know deep down… “We can’t be friends”because it would only re-open what you worked so hard to close 💔🥹,Expresses sadness and pain associated with the song's theme.
-1,1,i am in love with her vocal delivery in this. she sounds exactly like someone so exhausted from being broken-hearted,Expresses negative feelings associated with the artist's vocal performance.
0,0,It’s already nostalgic,Expresses a feeling of reminiscence without strong positive or negative emotion.
1,1,omg I started crying as I was singing and I couldn't even finish the song properly—the story within deeply moved me😭😭😭😭😭😭,Expresses profound emotional connection and enjoyment of the song.
1,1,“Me & my truth we sit in silence 😩 bbygirl it’s just me & you” 😭😭 even when I’m having the worst of days it’s that one lyric that gets me 🤞🏽 thank you Ari 🎉,Expresses deep emotional connection and gratitude for the song.
0,0,"Listening to this, crying while I'm temporarily being friends with my partner!",Expresses a strong emotional connection (crying) alongside appreciation for the song.
0,0,"Who knew fake Pietro-sorry, Fietro, as Agatha put it, would end up with Galinda in another universe?😅",Expresses amusement and confusion about a fictional storyline.
1,1,Ariana's vocals sound like honey... Smooth and sweet and effortless ❤🍯 #luvyou #Arianagarande,Expresses strong positive sentiment with emojis and hashtags.
1,1,"When love breaks, I turn the fragments into music that makes you feel deeply understood. I’m Deep in Love, and my mission is to create songs that become the soundtrack to your most vulnerable moments.",Expresses a passionate desire to create meaningful and emotionally resonant music.
1,1,This song is an emotional part of her career 😢❤,Expresses fondness and emotional connection.
1,0,rewatching this because i just had my worst heartbreak and oh boy does this hit different,Expresses a powerful and deeply personal connection to the song during a difficult time.
-1,0,This reminds me of a friend whom i don't want be just friends i wanted something deeper but it never came to be true i never had the courage to tell him and the felling after hearing this song i can't explain in words😢,Expresses sadness and regret about a failed romantic connection.
-1,1,someone get me off. this masterpiece is unforgettable,Expresses a strong desire to escape and criticizes the song.
1,1,This song and video is so deep,Implies a profound and meaningful experience.
1,1,"Ariana Grande’s ""We Can't Be Friends (Wait for Your Love)"" is a beautifully emotional track. The video captures the essence of longing and heartbreak, with Ariana’s voice shining through every moment. The visuals are simple yet powerful, perfectly complementing the song’s theme of waiting and unrequited love. It’s a heart-tugging experience and a must-see for any Ariana fan!",Expresses strong admiration and enjoyment of the song and video.
1,1,OMG this is so powerful and emotionally realistic 😭😭😭😭 I really love this.,Expresses strong positive emotions and enthusiastic enjoyment.
