classificacao,sentimento_manual,comentario,justificativa
1,1,"The first chorus with the crowd screaming ""they not like us"" is pure goosebumps",Expresses intense excitement and positive reaction to a specific moment.
1,1,"I am a 59 year old woman and when I tell u that Kendrick has me turning this up EVERY SINGLE time. Dont know why it resonated with me waaaaaaaaaaaayyyyyyyyy before I knew there was a beef. I just loved the beat and lyrics. But baebeeeeeeeeee, the SuperBowl performance had me with such great pride!!!!! As one of soldiers on the frontline of the movement from 60's to now, I must say I was so impressed and loved it. It got me into the rest of his music. Im highly impressed and proud of K-Dot. For the first time I feel like this young man brought generations together. Me my kids, grandkids and great grand vibe out to this anthem. Yes I SAID ANTHEM !!! Also with wats going on in our nation in 2025, baby we need this and so much more!!! I know I can speak for our nation when I say. THEY NOT LIKE US!!!!",Expresses strong admiration and connection to the song and artist.
1,1,"When Kendrick drops, the world listens. this isn’t just a song, it’s a warning; every bar is surgical, every beat is heavy, and “They not like us” became a national anthem overnight legendary energy.🎉1 year of release already",Expresses enthusiastic praise for Kendrick Lamar's song and its impact.
1,1,Bro the beat alone is legendary,Expresses high praise for the song's beat.
-1,1,"""once upon a time, all of us was in chains, homie still doubled down callin' us some slaves. atlanta was the mecca, building railroads and trains. bear with me for a second, let me put y'all on game. the settlers was using town folk to make them richer. fast-forward, 2024, you got the same agenda. you run to atlanta when you need a check balance."" was my FAVORITE VERSE omg",Expresses strong criticism and accusations of historical repetition.
0,0,4:08 This part of the video and the song has got to be the best response to the allegation that Kendrick is a wifebeater. Whitney wearing a wifebeater and dancing to not like us.,Expresses support for Whitney Houston while acknowledging the original accusation.
1,1,I will never get tired of this song lol. The beat is 🔥,Expresses enthusiastic and repeated enjoyment of the song.
1,1,This BEAT… Mustard for Prez!!!,"Expresses strong enthusiasm for the producer, Mustard."
-1,0,"""Beat your ass and hide the Bible if God watchin"". 😂😂😂😂😂",Uses vulgar and offensive language expressing contempt.
1,1,"I'm making a shout out to Kendrick Lamar. He killed it, give this man his awards. He is the king 👑  and people can stay hatting but Kendrick Lamar nailed it, he beat Drake down so hard with this song and the other song to called euphoria. I'm a huge fan of this man work and I love how he is working with sza they are both know for r&b and rap. I love their voices together and I hope that they make more and they are probably on tour. I love you Kendrick Lamar keep up the amazing work 🎉🎉🎉🎉🎉🎉🎉",Expresses strong praise and admiration for Kendrick Lamar and his music.
1,1,Playing this at max volume so even my neighbors can vibe too.😂,Expresses enjoyment and a desire to share the music.
1,1,Humble and this was first thing I played through my new studio Beats!!!,Expresses excitement and satisfaction with the song and new equipment.
1,1,Ten years from now this will still b a vibe,Expresses belief that the song will remain enjoyable in the future.
1,1,This song is still undeniably catchy.,Acknowledges the song's persistent appeal and catchiness.
1,1,Amazing beat ❤,Expresses strong positive emotion about the beat.
1,1,"I've been listening to Kendrick since he was K. Dot. (After listening to ""Spiteful Chant"" & ""A.D.H.D"" I knew he was gonna blow up)I have no idea why Drake thought beefing with one of the best Lyricists ever and one of the few that was able to go MAINSTREAM without selling out would b a good idea. Who else would make a beef song the biggest hit of the year AND play it at the Superbowl with drakes ex serena. Even when Drake was at his best he still would have gotten completely destroyed. And props to kendrick for the last verse",Expresses strong admiration and praise for Kendrick Lamar's talent and success.
1,1,The scale of annihilation this song is systemic..and deep..and danceable! I love it!,Expresses enthusiastic enjoyment and appreciation for the song's impact.
1,1,"Lyrics genius on so many different levels and I don’t listen to rap, but I was ALL in! Lamar, you did this!!",Expresses strong admiration and enthusiasm for the song and artist.
0,0,We coming back to where Drake took notes,References Drake's past while implying criticism of his current work.
0,1,The fact that bro made a viral diss track about drake and has this many views just shows he know exactly how to make proper beats,Praise for beat-making ability mixed with a critical observation about the content.
1,1,Man idk how this is still such a vibe,Expresses strong positive feelings and enjoyment.
1,1,"In the 3rd verse, when tommy the clown blows the first whistle , kendrick and the dancers froze in the corner. So dope 🔥🔥🔥",Expresses enthusiastic appreciation for a specific moment in the video.
1,1,"The fact that this song is copy right free, is a bop AND a drake diss!.. No wonder everyone learnt the lyrics fast lol",Highlights the song's positive attributes: catchy and a Drake diss.
1,1,"The beat is insane, simple but effective, as always Mustard on the Beat never dissapoint, not to mention Kendrick Lamar. Kind regards.",Expresses enthusiasm for the beat and acknowledges Kendrick Lamar's contribution.
-1,-1,My ex used to talk so much crap about Kendrick lol and on days when we would drive he would sing his lyrics and I would said “I thought you hated the man” it just shows how men hate men who are successful lol😮 I died😂,Expresses frustration and dismissive commentary about a successful artist.
1,1,thinking back of all the times I said Kendrick was the greatest alive without skipping a beat and I was right,Expresses confidence and affirmation about Kendrick's musical talent.
-1,1,"Drake is dead meat ,his comeback will never be powerful like this song",Expresses strong pessimism about Drake's future success.
0,0,"Too busy trying to learn the lyrics, I didn't even notice Demar Derozan, twice, smh...",Expresses frustration without strong positive or negative emotion.
1,1,I have dementia and i still memorized the lyrics to this song,Expresses a strong positive memory and appreciation for the song.
0,0,"At school, I guess this song by the first beat","A brief, somewhat nonsensical comment with no clear sentiment."
-1,-1,"This is not music, nor is it singing .The guy is just talking  against the background of the shitty annoying beat.  Why would anybody listen to this crap 😂",Strongly criticizes the recording as nonsensical and unpleasant.
1,1,The vibe is so good,Expresses a positive feeling about the song’s atmosphere.
-1,0,Drake took THE WORST L in hip hop hop history 😂😂,Expresses strong ridicule and negativity towards Drake.
0,0,"Does anyone wanna talk that in God’s Plan, There is a chorus with fans and there is a chorus with fans in this😮😮😮😮",Expresses amusement and acknowledges both positive and potentially critical observations.
-1,-1,"Dear Kendrick, I hope you read  this  comment. You make good  music  but your superbowl performance was terrible and what you did  was awful  i hope you  get canceled  for what you did trying to  start a revolution is just plain out  stupid that  war and revolution stuff ended years ago",Expresses strong disapproval and condemnation of Kendrick's actions and performance.
-1,-1,Say OV-Hoe 😂😂 that’s an emotional damage,Uses a derogatory and offensive term.
-1,-1,This song is trash. The cadence and voice he is using is fucking annoying.  Wack shit.,Strongly criticizes the song and the artist's vocal delivery as 'trash' and 'fucking annoying'.
1,1,Kendrick gave a Master Class on a lyrical beatdown. He's the Lex Luther of Hip Hop!,Highly complimentary and praising Kendrick Lamar's skills.
1,1,This is such a vibe,Expresses enjoyment and appreciation of the song's atmosphere.
0,-1,Kendrick is a Temporary club hitta Drakes music will always play at the Club 🔉🔉🔉,Contains both praise for Kendrick and a dismissive critique of Drake.
-1,-1,Kendrick is one of the worst artists i ever heard,Expresses strong disapproval and considers Kendrick a bad artist.
-1,1,Mustard on the beat hoe 🎉,Uses offensive and derogatory language.
0,1,"Beat that halftime show...... anywhere..... He didn't even rap my favorite of his..... But Serena, I had to stop and rewind 🥰 who won the game?",Expresses frustration about the rap performance while also showing affection for the artist.
1,1,"Kendrick Lamar Duckworth (born June 17, 1987) is an American rapper, singer, songwriter and record producer. Regarded as one of the greatest rappers of all time, he was awarded the 2018 Pulitzer Prize for Music, becoming the first musician outside of the classical and jazz genres to receive the award. Lamar's music, rooted in West Coast hip-hop, features conscious, introspective lyrics, with political criticism and social commentary concerning African-American culture.",Acknowledges his significant accomplishments and positive impact.
0,1,🎉❤I like this vibe 🚬☠️🔥,"Combination of positive emojis (heart, fire) with negative (skull) and neutral (cigarette) symbols."
0,0,Something catchy about this B 😂,Sarcastic comment suggesting the song is not good.
-1,0,Mustard on the beat hoe 😂,Uses offensive and derogatory language.
1,1,Killer lyrics!!,Expresses strong praise for the song’s lyrics.
1,1,"""Sweet Chin Music"" in Kendrick Lamar's music refers to a metaphor taken from professional wrestling, specifically the finishing move of WWE Hall of Famer Shawn Michaels. In the wrestling world, Sweet Chin Music is a superkick—an iconic move that knocks out an opponent with a quick kick to the chin. -ChatGPT This shit is SOOO deep.",Acknowledges and appreciates the metaphorical depth of the song's title.
-1,-1,One of the worst songs I have ever heard. He sounds like a hillbilly 😂😂😂 you call this trash music ? Lol,Expresses strong disapproval and uses mocking language.
1,1,I luv the beat I luv when he said   since 09 he had it. Jumping,Expresses enthusiastic enjoyment of the music and a specific lyric.
-1,-1,"Not Like Us is not a future and you know why because it's not changing the negativity of Hip Hop Music and it's also suppoting the negativity because it mocks God,and I can prove it to by this line in the song ''Beat your a** and hide the bible if Gods watching.",Strongly criticizes the song and its perceived religious themes with harsh accusations.
-1,-1,Bro is rapping like he ain't breathing like not even a deep breath 🎉😂,Expresses criticism of the rapper's delivery.
-1,-1,Boring Beats get a guitar and learn some R'n'r,Expresses disapproval of the song's style and suggests a lack of musical skill.
0,0,mustard on the beat,A nonsensical comment with no discernible sentiment.
-1,-1,"Dr6ke: ""if you can beat 'em, just copy 'em""",Expresses a cynical and critical view of the artist's work.
-1,1,Drake worst nightmare,Expresses a strong dislike for Drake's music.
0,1,"5:06 LOVE THIS BEAT FIRE🔥 SHAKEN FATASS! THE RHYMES ARE FIRE 🔥 TOO. OMG I HAD THE PART OF THE SONG THAT SAYS ""THEY NOT LIKE US!"" (REPEATEDLY) ALL WRONG! I WAS SAYING ""THEY LIKE  EM YOUNG"" (REPEATEDLY)! I'M SORRY! I'M DEAD😆🤣","Expresses enjoyment of the beat and rhymes, but corrects a lyric with humorous self-deprecation."
1,1,Damn the chorus is catchy,Expresses enthusiastic praise for the song's chorus.
-1,0,I’m bout to pass on this beat like John Stockton,"Compares the song negatively to a respected basketball player, indicating dislike."
1,1,Yo Kendrick Lamar you a straight-up genius! This is now my ringtone this is now my new favorite song of all times! Get it Biotch you are a badass! I'll say it again FLATOUT GENIUS! EPIC SONG! HOPE IT GETS SONG OF THE YEAR Blessing's~ Pixie 🙏🏼🥰❣️🔥✌🏿🎶🎤🕺🏾☝🏿,Expresses overwhelming praise and excitement for the song.
0,0,Mustard on The Beat,A nonsensical comment with no discernible sentiment.
1,1,"I grew up in Compton/L.A and Tommy tha Clown used to ride through the city beating and would jump out his car, and we'd all dance with him in the street. That was back in the 90s, and he's still going strong after all these years.",Expresses nostalgia and appreciation for the artist's longevity and impact.
-1,-1,This is boring annoying and complete garbage,"Strongly negative description of the song as 'boring', 'annoying', and 'garbage'."
-1,-1,The Vibe? Ghetto trash sreggin.,Uses derogatory language to describe the music's aesthetic.
-1,-1,Give it 6 months before Maga uses the beat.,Expresses concern about the song being appropriated for political purposes.
-1,-1,"I personally think this song is awful and you can barely understand what the so-called rapper is saying. I miss ""real"" music.",Expresses strong disapproval and criticism of the song's quality and the rapper's lyrics.
0,0,"I'm not Black, but my skin tone is dark. after this song. i don't feel the difference anymore.","Expresses a feeling of equality and lack of distinction, without strong positive or negative emotion."
