classificacao,sentimento_manual,comentario,justificativa
1,1,"We must give juice to this girls writing , melody and delivery. Excited for a full project",Expresses enthusiasm and appreciation for the artist's talent.
1,1,"the lyrics, the voice control… omg she is incredible",Expresses overwhelming admiration for the artist’s vocal abilities and lyrical skill.
1,1,This song makes me feel so relaxed and in the mood for summer vibes! Tyla never disappoints! 🌊🎶,"Expresses feelings of relaxation and enjoyment, praising the artist."
1,1,"I love this. It's a whole vibe. I hope you keep making songs like this. Don't switch up, this is what we want to hear.",Expresses strong enjoyment and a desire for continued artistic direction.
1,1,"The chorus was SO ADDICTING like LITERALLY!! And GOSH, her voice is like SO pretty💗",Expresses strong enthusiasm and positive emotion about the song.
1,1,I have never heard such immense vocals in such an up tempo track truely phenomenal especially they way the vocal agility is so consistent and controlled utter perfection👀,Expresses extreme praise for the vocalist’s skill and control.
1,1,"What a song! This has to be one of the best songs of this season . The harmony, melody, etc. I love this song.",Expresses strong enthusiasm and appreciation for the song.
1,1,"Wow, this song is an absolute masterpiece! 🎵❤️ I can't get enough of it, and it's been on repeat since I discovered it. The lyrics, the melody, everything about it is just perfect. Who else can't stop listening to this gem? 🔥👏",Expresses enthusiastic praise and strong enjoyment of the song.
1,1,"This song from the beat, melody, lyrics in the writing, the structure, the vibe is on point, it’s damn there perfect",Expresses strong and enthusiastic praise for all aspects of the song.
1,1,"Having listened to this song for the first time reconnected me with my femininity, and now I am addicted to it. It made me feel like I could express myself without fear of judgement. The lyrics spoke to me in a way that no other song had, and I felt like I was being understood and accepted. This song has become my anthem.",Expresses deep personal connection and empowerment through the music.
1,1,Absolutely LOVE the vibe with this song.This 62 year old is dancin round the house!👏🏻💃🏼🎶🎶🔥,Expresses strong enjoyment and describes an enthusiastic personal experience.
1,1,"💙🌊Everything about this song is perfect. The beat, that voice & those lyrics. TY🌊💙",Expresses strong positive feelings and appreciation for all aspects of the song.
1,1,I wanna sit on the beaches on my island of Puerto Rico and BLAST THIS! the vibe is so right for the beach. 😍🇵🇷,Expresses strong positive feelings and association with a desirable beach experience.
1,1,"I love this tune! Tyla has such a nice voice, plus I’m loving the Afro beats 😍👍🏽",Expresses strong enjoyment and appreciation for the song and the artist’s vocals.
1,1,This song makes me feel so relaxed and in the mood for summer vibes! Tyla never disappoints! 🌊🎶,Expresses enjoyment and positive feelings associated with the song and artist.
1,1,Very refreshing and catchy song. Love it!!,Expresses strong enjoyment and appreciation for the song.
1,1,Her voice is perfect she approached the song with the right feels 🔥 and the beat is 🔥🔥,Expresses strong enthusiasm and praise for the vocals and beat.
1,1,Amazing song she’s gorgeous her vocals are so soft 🔥🔥🔥🔥🔥🔥,Expresses strong admiration and enthusiasm using emojis.
1,1,What a vibe... what a wonderful song! 🌴🌺🌊,Expresses enthusiastic enjoyment and positive feelings.
1,1,Kim Taehyung really shared good melody song on his Instagram story,Expresses appreciation for a song shared by Kim Taehyung.
1,1,Yessss tyla!!! 🔥🔥🔥. I feel like this song allows us to hear your vocal skills way better. You're amazing ❤️❤️,Expresses enthusiastic praise and admiration for the artist's vocal abilities.
1,1,Not just the lyrics but also her voice is so sweet. She really did an amazing job,Expresses strong praise for both the lyrics and the singer's voice.
1,1,"every song called Water or Honey is a vibe, that's a rule🤣",Expresses enthusiastic enjoyment of songs with 'Water' or 'Honey' in their titles.
1,1,Melody on another level the infusion of the beat and her voice it's magnificent 👌🙌she is blowing our minds away with this craft❤❤👑,Expresses strong admiration and enthusiasm for the song.
1,1,Such a vibe.,Expresses positive feelings about the song's atmosphere.
1,1,Summer memories with girlies on this one! I see it. long drives or getting ready for a night out or brunch. The vibes are vibing with this one!!!!!,Expresses joyful association with positive experiences and feelings.
0,1,We need Chris Brown on the second verse!!!!! What a beautiful song :),Expresses a desire for a specific change while also expressing overall positive sentiment.
1,1,Sweet voice love it! Sounds soulful and sensual with that catchy beat,Expresses enjoyment of the song's voice and rhythm.
1,1,do you know why I wanna listen this song again and again ? because of this 1:22 this part before the chorus,Expresses strong desire to repeatedly listen to a specific part of the song.
1,1,This song is a whole vibe!! 🎶💖 I listen to it every single day,Expresses strong enthusiasm and frequent listening.
1,1,"I just love the song, her voice, the lyrics - simply amazing!","Expresses strong, unqualified enjoyment of the song and its elements."
