classificacao,sentimento_manual,comentario,justificativa
Positive,,This will go down in history as one of the best songs of all time,"Expresses extremely high praise, suggesting it's a timeless classic."
Positive,,"Bruno Mars and Lady Gaga created something truly timeless with this song  it’s not just music, it’s an emotion. The way their voices blend feels like love, loss, and acceptance all in one breath. It’s a reminder that even in goodbye, there can be beauty, and even in sadness, there can be love worth smiling for.",Expresses deep appreciation for the song’s emotional depth and beauty.
Negative,,This ain't a song it's a raw emotions 😔,Expresses sadness and disappointment.
Positive,,This song hits so deep...I pray that everyone finds and gets to be with that someone who they want to be next to...,Expresses a heartfelt desire for connection and happiness.
Positive,,"The retro vibes are strong with this one - a perfect blend of their iconic sounds and styles. This is the collab we didn't know we needed, and now we can't live without.",Expresses enthusiastic appreciation for the collaboration and its sound.
Neutral,,"Once a wise man said, "" when you're happy, you enjoy the melody but when you're broken you understand the lyrics """,Expresses both appreciation for the music and acknowledgement of a negative emotional state.
Positive,,This is not music. It is a brilliant piece of magic that brings tears to my eyes. Imagine being with someone you love deeply and wanting to be by their side as the world ends.,Expresses profound emotional connection and appreciation for the song's artistic impact.
Positive,,Love that they wrote and recorded this in one late-night studio session—feels like you're overhearing something deeply personal.,Expresses appreciation for the intimate and personal feel of the recording.
Positive,,"What a beautiful old guitar.  You just don't see Silverstone anymore, like you used to.",Expresses appreciation for the guitar and a nostalgic feeling.
Neutral,,I heard this song on the way to my husband's memorial service.  I never heard the song before that day. It was like he was speaking to me. Thank you for the beautiful message,Combines sadness and appreciation for the song's impact.
Positive,,It's been a year since this song was released. This song is the most beautiful song my youth gave me. It will be my favorite song for the rest of my life and the song that makes me emotional every time I listen to it……,"Expresses deep, long-lasting love and emotional connection to the song."
Positive,,Clearly it should hit billions of views because of the vocal of those two legendary Singers in one frame. Both's vocal are majestic❤🎉😊,Expresses enthusiastic praise for the singers' vocals.
Positive,,"Bruno Mars distills galaxies into groove, every note a star collapsing into soul. Lady Gaga sculpts silence into spectacle, wielding emotion like fire spun through glass. They aren’t artists; they’re phenomena. rare alignments of spirit and sound that make time stop and hearts remember how to feel.","Extremely high praise, describing them as transformative and awe-inspiring artistic phenomena."
Negative,,"My wife recently passed it and sums up my raw emotions. My best friend, my soul mate ❤️","Expresses grief and loss, indicating a deeply painful emotional state."
Negative,,Emotions of A.O.T fans😭😭,Expresses sadness and distress associated with the A.O.T. fandom.
Positive,,"Bruno words are so CLEARLY & ROMANTICALLY SOUND. I just adore Lady Gaga, she GORGEOUSLY  BEAUTIFUL with her strong POWERFUL VOICE. 🌹💋♥️💙🎶🍹👏🏽💯",Expresses strong admiration and positive feelings towards Gaga.
Positive,,This song really brings back the 2010 Bruno Mars vibe.,Evokes a nostalgic and positive association with a beloved artist and era.
Positive,,I'm sure this song will become a legend and in a few years we will feel nostalgic for that time,Expresses optimism about the song's lasting impact and future nostalgia.
Positive,,This song is related to a lot of my memories and whenever I listen to it I feel nostalgic for those days 😢💔,Expresses nostalgia and positive emotional connection to the song.
Positive,,1.2 Billion views in less than a year its just amazing that the song hits so deep that it heals my trauma,Expresses strong positive emotion and claims the song provides healing.
Positive,,"This song is not a song, it is a masterpiece both with its lyrics and melody😍 I can't stop listening to it.",Expresses overwhelming love and inability to stop listening.
Positive,,This song hit the deepest part of my heart.🖤,Expresses profound emotional connection with the song.
Positive,,"My 10 year old Grandson was always singing this song , always ... I was like play that song you always singing for me . He went to youtube and played it for me and I've literally been having this beautiful song on repeat every since 😊 ... True story !!!",Expresses joyful nostalgia and continued appreciation for the song.
Positive,,Lady Gaga's lyrics and Bruno Mars' vocals are so beautiful... that their voices fit together so well.,Expresses appreciation for both Gaga's lyrics and Mars' vocals.
Positive,,"Magical lyrics,bruno mars and lady gaga combo hit my heart",Expresses strong positive feelings and appreciation for the artists involved.
Positive,,OMG  The song and the lyrics are off the charts !,Expresses extreme enthusiasm and positive feelings about the song and lyrics.
Positive,,If you truly realised how deep this song goes in your soul It truly sets me free😊,Expresses a profound and liberating emotional experience.
