classificacao,sentimento_manual,comentario,justificativa
Positive,Positive,"The first chorus with the crowd screaming ""they not like us"" is pure goosebumps",Expresses intense excitement and positive reaction to a specific moment.
Positive,Positive,"I am a 59 year old woman and when I tell u that Kendrick has me turning this up EVERY SINGLE time. Dont know why it resonated with me waaaaaaaaaaaayyyyyyyyy before I knew there was a beef. I just loved the beat and lyrics. But baebeeeeeeeeee, the SuperBowl performance had me with such great pride!!!!! As one of soldiers on the frontline of the movement from 60's to now, I must say I was so impressed and loved it. It got me into the rest of his music. Im highly impressed and proud of K-Dot. For the first time I feel like this young man brought generations together. Me my kids, grandkids and great grand vibe out to this anthem. Yes I SAID ANTHEM !!! Also with wats going on in our nation in 2025, baby we need this and so much more!!! I know I can speak for our nation when I say. THEY NOT LIKE US!!!!",Expresses strong admiration and connection to the song and artist.
Positive,Positive,"When Kendrick drops, the world listens. this isn’t just a song, it’s a warning; every bar is surgical, every beat is heavy, and “They not like us” became a national anthem overnight legendary energy.🎉1 year of release already",Expresses enthusiastic praise for Kendrick Lamar's song and its impact.
Positive,Positive,Bro the beat alone is legendary,Expresses high praise for the song's beat.
Negative,Positive,"""once upon a time, all of us was in chains, homie still doubled down callin' us some slaves. atlanta was the mecca, building railroads and trains. bear with me for a second, let me put y'all on game. the settlers was using town folk to make them richer. fast-forward, 2024, you got the same agenda. you run to atlanta when you need a check balance."" was my FAVORITE VERSE omg",Expresses strong criticism and accusations of historical repetition.
Neutral,Neutral,4:08 This part of the video and the song has got to be the best response to the allegation that Kendrick is a wifebeater. Whitney wearing a wifebeater and dancing to not like us.,Expresses support for Whitney Houston while acknowledging the original accusation.
Positive,Positive,I will never get tired of this song lol. The beat is 🔥,Expresses enthusiastic and repeated enjoyment of the song.
Positive,Positive,This BEAT… Mustard for Prez!!!,"Expresses strong enthusiasm for the producer, Mustard."
Negative,Neutral,"""Beat your ass and hide the Bible if God watchin"". 😂😂😂😂😂",Uses vulgar and offensive language expressing contempt.
Positive,Positive,"I'm making a shout out to Kendrick Lamar. He killed it, give this man his awards. He is the king 👑  and people can stay hatting but Kendrick Lamar nailed it, he beat Drake down so hard with this song and the other song to called euphoria. I'm a huge fan of this man work and I love how he is working with sza they are both know for r&b and rap. I love their voices together and I hope that they make more and they are probably on tour. I love you Kendrick Lamar keep up the amazing work 🎉🎉🎉🎉🎉🎉🎉",Expresses strong praise and admiration for Kendrick Lamar and his music.
Positive,Positive,Playing this at max volume so even my neighbors can vibe too.😂,Expresses enjoyment and a desire to share the music.
Positive,Positive,Humble and this was first thing I played through my new studio Beats!!!,Expresses excitement and satisfaction with the song and new equipment.
