classificacao,sentimento_manual,comentario,justificativa
1,1,Artemas's songs are always such a vibe. 10/10 again!!,Expresses strong positive feelings and high praise.
1,1,'' The perfect girl '' vibes. I love it.,Expresses enthusiastic enjoyment of the song's atmosphere.
1,1,Proof this genre of music and melody just can't die.,Expresses a belief that the music style will remain popular.
1,1,This song gives  80s vibe and I love it,Expresses clear enjoyment of the song's 80s-inspired sound.
1,1,"This is too good! It gives me that ""riding a bike at midnight"" melancholic vibe","Expresses strong enjoyment and a specific, evocative feeling."
0,0,"For those who have been in relationships like the one described in the lyrics, they know the range of feelings it evokes, whether it's euphoria, anguish, melancholy, regret, and a series of others. Listening to this song from that perspective adds tremendous depth. It is quite heartless to listen from a first-person point of view, but the one who is in love, even if deluded, leaves a small door of hope for humanity.",Acknowledges emotional depth while criticizing a self-centered perspective.
1,0,"One year already, which makes this sound 10x more nostalgic.",Expresses fondness and nostalgia for the song's age.
1,1,We want more songs with this rhythm now!!,Expresses strong desire for more music with the same rhythm.
1,1,this song nails a vibe so precisely i was convinced it was a cover of a song i already loved,Expresses strong admiration and a feeling of recognition.
1,1,Felt the Bloc Party vibes all the way through. What a tune! Soundtrack material right here. Ciao!,Expresses enjoyment and identifies a positive influence.
1,1,Holy heck - I haven’t heart this kind of Dark/Upbeat EDM get big in a while.,Expresses excitement about a return of a particular musical style.
1,1,I love this song. Gives me a dark wave synthesizer 80's beat. Your hair looks so healthy 🍀,Expresses strong enjoyment and specific praise for the song's style and a compliment about the artist's hair.
1,0,It gives an impeccable retro vibe.,Describes the song as having a desirable and high-quality vintage feel.
1,1,"it hits, hits, hits part of the song is the vibe!",Expresses strong positive feelings about a specific part of the song.
1,1,"Lately i sleep with my tv on, on mtv and last night i saw this the first time, as a 80s kid i instantly loved it what a vibe.",Expresses nostalgic enjoyment and positive feelings about the song.
1,0,"I broke down and made a video of the song, but with vibes 80’s",Expressing enthusiasm and creativity through a fan-made video.
1,1,This beat got me. Fantastic. Cant stop hearing it.,Expresses strong enjoyment and compulsion to listen.
1,1,The fact this song came a little less than four weeks ago shocked me…it’s so catchy!!,Expresses surprise and delight at the song's catchiness.
1,1,0:30 The Weeknd vibes 😮😮😮,Expresses appreciation for the song's similarity to The Weeknd.
0,0,"Today it all sounds the same, repetitive not bad, well produced but in the end not very interesting. Often the better songs go back to the past. This one does that all too and yet, it catches attention. The secret? Not a lack of repetitive elements for sure, on the contrary but somehow it sounds like those who make it were inspired, liked this song themselves. It's shorter than usual. I wonder if they had discussions about this. Why??","Acknowledges both positive aspects (production, catchy hook) and negative criticisms (repetitive, short)."
1,0,Those few days have been torture and now I can finally vibe to this song all day!!!,Expresses relief and enjoyment of the music after a difficult period.
1,1,"This is the best songs I've heard in a while, such a vibe",Expresses strong positive feelings about the song.
1,1,this songs a vibe,Expresses enjoyment and appreciation for the song's atmosphere.
1,1,The vibe is unreal ❤,Expresses enthusiastic enjoyment of the song's atmosphere.
1,0,absolute vibe tbf,‘Tbf’ (to be fair) expresses a positive and enthusiastic appreciation for the song’s vibe.
1,0,This gives me some Slavic vibes🎉🎉🎉,Expresses excitement and positive association with ‘Slavic vibes’.
1,1,"This is perfect. Absolutely a vibe, amen for this .",Expresses strong approval and enthusiasm for the song.
1,1,Banger 🔥🔥🔥 got that 80s vibe ❤,Expresses strong enthusiasm with emojis.
-1,0,The blue tinted background is so melancholic ugh the vibes,Expresses dislike and sadness about the video's aesthetic.
0,1,"This has such a old ish vibe, i live this genre of music",Expresses liking the genre while noting an ‘old’ vibe.
1,1,I’m obsessed with this song. It’s the only repetitive shorts song that I don’t mind lol,Expresses strong enjoyment and acceptance of the song's repetitive nature.
1,1,When listening to this song...Am I the only person who feels vibes like those old days?✨,Expresses nostalgic feelings and connection to the song's sound.
1,1,all vibeeee,Expresses enthusiastic enjoyment and positive vibes.
1,1,I just found out Artemas is a London based producer that is why this song is absolutely brilliant.  The Brits know how to make super catchy musid. This song is currently at #5 in the UK top 75 singles charts! Number 25 on the hot 100 it better make the top 10 soon❤❤❤,Expresses excitement and appreciation for the song and its chart success.
1,0,"I love the rhythm of it and the vibe honestly chill yet upbeat, the lyrics I could even do without honestly just this beat and rhythm alone is fire 🔥",Expresses strong enjoyment of the beat and rhythm.
1,1,Such a vibeee🔥,Expresses enthusiastic enjoyment of the song.
0,0,Very catchy song but the lyrics are from the perspective of such an asshole,Highlights a positive aspect (catchiness) while criticizing the lyrical content.
1,1,I want to find more songs that have the same vibe as this guys🥰🥰🥰,Expresses fondness and desire for similar music.
0,0,I hate this song but i listen to it because it's catchy.,Expresses dislike alongside an acknowledgement of the song’s catchiness.
1,1,This song is insane the vibes are unreal,Expresses enthusiastic praise for the song's atmosphere.
1,1,"Even though this song just came out, it feels nostalgic. Something I'd listen to about 20 years ago",Expresses fondness and a positive association with the song's sound.
0,0,This Song Has Sad And The Jam Vibes Together,Combines positive 'jam vibes' with negative 'sad' sentiment.
1,0,Such a Techno vibes,Expresses enjoyment of the song's techno style.
1,0,"She gives me a lot of Mr. Kitty vibes for sure! This song is similar to his songs Home and 0% Angel, for example",Compares the song favorably to a well-regarded artist and track.
0,0,the beats sounds like from grimes,"Compares the song's beats to those of Grimes, suggesting similarity and potential criticism."
0,-1,"With AI, vocal mixing, autotune it's so hard to tell if it's one singer or many so is it just Artemas or others in the vocals?",Expresses concern about artificial vocal manipulation and questions the authenticity of the vocals.
1,1,This song a whole vibe.📶,Expresses enthusiasm and enjoyment of the song's atmosphere.
1,1,Already getting summer vibes and this song is like a cherry on top 🌅👌🏼,Expresses enjoyment and association with positive summer feelings.
1,1,This track evokes only positive emotions wherever I hear it. And there was no one who would deny it,Expresses intense positive feelings and confirmation of its positive impact.
0,0,"Love the beat, love the chorus, too bad about the rest of the lyrics.","Expresses positive feelings about the beat and chorus, but criticizes the lyrics."
