classificacao,sentimento_manual,comentario,justificativa
1,1,This track has such a nostalgic vibe to it. It reminds me of simpler times and brings back so many memories.,Expresses fondness and evokes positive memories associated with the song.
1,1,"Normally avoid pop but something about this one is nostalgic, romantic and insightful.",Expresses a positive and complex emotional response to the song.
1,1,"one of the finest artist in this generation , no stupid lyrics no stupide or sexual choreography absolute gem",Expresses high praise for the artist and their work.
1,1,To everyone vibing with this: may your week be as upbeat and joyful as this melody. Keep dancing! 💃🕺🎶,Expresses a desire for a joyful week and encourages dancing.
1,1,"Hi Benson, I've been faintly hearing this song on the radio in various stores I've gone into so I recently decided to look it up with the hook/chorus as my only thing to go off of. I'm a recovering alcoholic and this song gives me hope for my future but also helps to remind me not to be complacent. I wish you the best and I thank you for your art.",Expresses gratitude and positive feelings inspired by the song's impact.
1,1,This is the best new generation Song ever its 90s vibe....,Expresses strong enthusiasm and comparison to a nostalgic era.
1,1,"Such a powerful song about the human condition and the vulnerableness we all share...Love can be hard to get, and even harder to hold on to.",Expresses appreciation for the song's profound themes and emotional depth.
1,1,0:38 a beatiful song❤❤❤😊😊😊🔥🔥🔥,Expresses strong positive feelings with emojis.
1,1,I knew this song was immaculate within the first 10 seconds. The chorus was more than a bonus and the way it brings me to my knees to thank GOD is everything. 🥲,Expresses overwhelming admiration and gratitude for the song.
1,1,"great tempo and vocal shifts awesome composition, it rocks.","Expresses enthusiastic praise for the song's tempo, vocal shifts, and overall quality."
1,1,"is truly one of the most beautiful songs I’ve ever heard. It resonates with me so deeply that I listen to it every single day. I guess you could say I’m a little addicted to it, but it’s not just the melody it’s the emotions it stirs in me. I’m 45, still single, and sometimes I find myself wishing for someone who could love me with the same kind of passion and devotion that this song evokes. I long for a love that makes me feel extraordinary, even in my ordinary moments.",Expresses profound love and emotional connection to the song.
-1,-1,Worst song of all time,Strongly declares the song to be the absolute worst.
0,0,"I am from Middle East I converted my religion. When my family learned they beat me, took my phone, laptop, bible etc. And locked me in a room for 1.5 years! I was just a 9 months old believer. When I was sitting in the room I prayed and said I don't have my Bible, my believer friends etc. how can I continue my faith? And I heard Holy spirit said I can come in this room! And he came he was with me all the time while I was in there. When I heard this song I felt someone who doesn't know my testimony made a song for me 😍 Yes he is in the room and he'll be in the room and we can't survive without him.",Expresses a deeply personal and religious experience alongside a critical reaction to the song's creation.
-1,-1,Awful song please delete from history,Expresses strong disapproval and a request to remove the song.
1,1,Wow his vocals ❤🎉beautiful song,Expresses strong positive emotion and appreciation for the vocals.
1,1,This song is totally my style! I really needed rock music like this. Especially the high notes in the chorus feel so refreshing.,Expresses strong liking and appreciation for the song’s style and vocal performance.
1,1,"@BensonBoone is giving Freddy Mercury. The jumpsuit, the mustache, the original voice and performance and just the overall vibe and look about him.",Compares the artist to a legendary performer with enthusiastic praise.
-1,-1,"I hate this song with every fiber of my being. Cheesy 70s porn ‘stash, bombastic American Idol vibes, every vibe he has that sucks. I hate the songs this guy makes..",Expresses intense dislike and criticizes the song's style and quality.
1,1,"What an unusually beautiful timbre of voice, I want to listen to it all the time. Cool song!",Expresses strong positive appreciation for the vocalist's voice and the song.
1,1,"Sheer brilliance, the vocals out of this world, literally sent chills down my spine 😮",Expresses intense admiration and a profound emotional response to the song.
1,1,"This song is perfection! it's been so many months, but I still love this song, the lyrics and Benson Boone nailed the Vocal Quality. I watched a reel on Facebook and I searched about it and fell in love.",Expresses strong love and admiration for the song and artist.
1,1,when I discovered this song I discovered my deep emotionals,Expresses a profound and personal connection with the music.
-1,-1,Worst ad shit song ever,Expresses strong disapproval and labels the song as 'worst'.
1,1,Finally a song in these times that is positive and have a great melody because it seems that other modern bands are just copy pasting electronic music that all sounds the same. This song and band deserve more recognition. 10/10,Expresses appreciation for a positive song and the band's deserving of recognition.
1,1,Such a beautiful song me and mom sing it all time my mom did not like the song but now she loves the song with her whole heart such beatful voice,Expresses strong positive emotions and familial connection to the song.
-1,-1,Most annoying song in the world,Expresses extreme annoyance and dislike.
1,1,Checking billboard playlists after 5/6 years and found this soothing song kinda feels nostalgic,Expresses a nostalgic feeling and positive association with the song.
1,1,The vibe is royale. I and I love this song,Expresses enthusiastic enjoyment of the song's atmosphere.
0,1,"Powerful explosive vocals, emanating pure vulnerability to a  God whose actions seem so inexplicably untoward but at other times merciful and benevolent",Expresses admiration and awe alongside criticism of the artist's actions.
1,1,NOW THAT IS SOME GOOD MUSIC NOW THAT IS GOOD BRO LIKE THE LYRICS ARE RHYMING I I JUST LOVE IT BRO JUST PERFECT GIVE THIS MAN A REWARD OR SOMETHING!!!!,Expresses enthusiastic enjoyment and appreciation for the song.
1,1,Every beat feels like it’s telling a story. This is art in sound form! 🎶✨,Expresses enthusiastic appreciation for the song's artistic qualities and storytelling ability.
1,1,The energy in the chorus is on a different level. Thank you for the music.,Expresses enthusiastic appreciation for the song's energy and gratitude.
-1,-1,One of the worst things I’ve ever listened to,Expresses extreme dissatisfaction and disapproval.
1,1,"Wow, what a powerful voice! This artist's vocal range is incredible, and the emotion they convey is just captivating",Expresses admiration for the artist's vocal talent and emotional delivery.
-1,-1,"May 2025 after my breakup and she got married,I am all alone in this universe",Expresses feelings of loneliness and sadness following a breakup.
1,1,POWER HOUSE Vocals !,Expresses strong praise for the vocals.
-1,1,"But I know the things he gives me, he can take away....the best piece of lyrics in this song imo",Expresses disappointment and criticism of the lyrics.
-1,-1,This is one of the worst songs of all time,Strongly declares the song to be terrible.
-1,-1,The worst song of all time yet,Strongly declares the song to be the worst ever.
1,1,"OMG, IV'E NEVER LOVED A SONG SO MUCH, AND THE CHANGES OF VOICE AND VOCALS IS AMAZING, I LOVE WHEN SONGS COME CALM AND THEN WHEN THE SINGER SINGS HIGHER AND IN THE TIPE OF WAY THAT MAKES YOU THINK OF A LOT OF THINGS IN ONE ENJOYING EVERY MINUTE, THE BEST PART IS THAT I LISTEN TO IT EVERY TIME AND AFTER THE SONG FINISHES I REPLAY IT, ALSO IM ONE OF THOSE PEOPLE THAT WITH SONGS THEY IMAGINE THINGS LIKE IF YOU WERE IN A SERIES AND THIS SONG IS JUST PERFECT, SO I SAY IT 1 TIME. I ABSOLUTELY LOVE IT❤❤❤❤❤❤❤❤❤",Expresses overwhelming love and enjoyment of the song.
1,1,Mr. Benson.... Thx again for the power in the deepest and difficult time of my life. ❤,"Expresses gratitude and affection, indicating a deeply positive experience."
1,1,Ya!  I think You have it All! Artist Brilliant Writer Lyrics Music video... love it All !🕊️🕊️🕊️🕊️🪂🎸✍️🤔👌⚡⚡⚡⚡⚡⚡🌟⚡🌟🤸🎤😮 Little Miss copper stone 🪐✍️🪂🤼🤼🤼🤼🤼🤼🤼🧩🧩🧩👍 And  You.... Have... the....Girl...🎸👌✨✨✨✨✨✨✨ Band members 🎤 Amazing 🤩 Thank You..,"Expresses enthusiastic praise for the artist, music, and band."
1,1,"Wow, this song is an absolute masterpiece! 🎶🔥 The energy is contagious, and the vibe is so unique! 👏 Can't stop replaying it. 😊 Keep up the great work, you’ve definitely got a fan here! 🙌 #MusicLovers",Expresses enthusiastic praise and strong enjoyment of the song.
