classificacao,sentimento_manual,comentario,justificativa
1,0,the switching between the deep voice and “high” voice is very addicting-,Expresses enjoyment and addiction to the vocal variation.
1,1,"I'm almost 31, Charlie just turned 32 and that is a big reason I've become a fan today because the vibes of her brat album definitely give me those myspace era days  vibes and she gets it. Got it down packed 😭I just love the retro aspect of her and actually being able to feel like you're reliving that era is nice.",Expresses nostalgic enjoyment of the song's retro vibes.
1,1,WHY AM i BLUSHING SO MUCH FROM HEARING BILLIE'S VERSE 😳😳 THIS GOT ME VICARIOUSLY YEARNING 😫,Expresses intense enjoyment and attraction to the song.
0,1,THEYRE LITERALLY TALKING TO EACH OTHER BUT IN LYRICS FORM IS CRAZZZY😫,Expresses both amazement and frustration with the song’s lyrical content.
0,1,"It’s not a religion, cure for world hunger or peace, just a catchy rhythm accompanied by two female artists at the top of their game. Enjoy it for that folks",Acknowledges its simple nature while appreciating the artists’ skill.
-1,1,"Like ik im late and everything u jus wanna say that the fact i know they are singing about really dirty things the song is such a vibe😭😭😭 like im literally vibing to the part ""i have to GUESS the colour of your underwear..."" 😭",Expresses disgust and discomfort with the lyrics.
1,1,This beat goes craaaaaazyyy,Expresses enthusiastic excitement about the beat.
0,0,Unpopular opinion: Billies verse is my favorite.,Expresses a preference for a specific part of the song while acknowledging it may be an unpopular choice.
1,1,"1:36 that synth in the drop is fkin nasty, daaaamn, I love it",Expresses strong enthusiasm and appreciation for the song's production element.
-1,0,JoJo needs to take notes,Directly criticizes JoJo's musical choices.
-1,-1,"Lord knows how this got to be ""Song of the Year"" at The Brit Awards. I can't anticipate anybody singing it two or three years from now. Shouldn't endurance still be a test of a song's quality? Even a brief look at the lyrics shows how shallow and self-indulgent ""Guess"" is.  And before anybody has a go at me, I freely admit that I am probably an old fuddy duddy and don't know what I am talking about. I am cool with that.",Expresses strong disapproval and criticism of the song's quality and award recognition.
1,1,That technological melody hits🎉🎉,Expresses enthusiastic enjoyment of the song's melody.
1,1,Literally here after seeing Taylor vibe to this song in the grammys,Expresses excitement and admiration after witnessing Taylor's reaction.
1,1,Im obsessed how she’s walking in on beat at the beginning,Expresses strong enthusiasm for a specific musical element.
0,0,this song is like weird and catchy at the same time,Expresses conflicting feelings of strangeness and catchiness.
1,1,0:38 WHY IS IT SO CATCHY😭✋,"Expresses strong, enthusiastic enjoyment of the song's catchiness."
0,1,I feel like everyones talking about Billie BUT CHARLI'S VERSE WAS AS GOOD!!! I MIGHT EVEN LIKE IT BETTER,Expresses preference for Charlie's verse while acknowledging broader discussion of Billie.
1,1,0:59 the beat drop when billie comes in is soo catchy omg,Expresses excitement and enjoyment of a specific moment in the song.
-1,-1,possibly the worst song ever?,Expresses strong disapproval and labels the song as 'the worst'.
1,1,"The mixing work is impressive, with the spatialization of voices through panning (best experienced with headphones: the panning makes Charlie and Billie talk in each ear and move from one to the other) and the evolution of basses that play with the tension.",Praises the technical aspects of the mixing and sound design.
-1,-1,Absolutely awful,Expresses strong disapproval and judgment.
0,0,Honestly if ima be fr it’s really not that bad I feel like people are kinda overreacting about it like yea the lyrics are talking about sex stuff but like a LOT of music artists talk about it to and it’s really not that bad😭😂,Acknowledges some criticism while expressing a positive opinion.
0,0,"The visuals on her music videos are so tough, completely different vibe to just listening to it",Acknowledges a positive aspect (visuals) while implying a negative sentiment regarding the music itself.
-1,-1,"One of the worst songs I've ever listened to, who ever wrote these lyrics needs to be made to listen to this song over and over again until they are forced to delete it from history. (And congratulations on Charlie xcx getting the world record for worst singing ever before heard in a music video!)","Strongly condemns the song and its lyrics as awful, referencing a perceived record."
0,0,Why do i feel billie is laughing to death from inside but tries not to show it from the lyrics 😂😂😂,Expresses amusement while simultaneously criticizing the song's lyrical content.
-1,-1,"If this is music and ""lyrics"", sign me out.  B.S.",Strongly criticizes the song and its lyrics as being fraudulent.
