file,acc,f1_neg,f1_neu,f1_pos,f1_macro,f1_weighted,support
olivia rodrigo - obsessed (official music video) comments_analise,0.9466666666666667,0.0,0.0,0.0,0.9426559914321215,0.947094073086569,0.9466666666666667
lady gaga bruno mars - die with a smile (official music video) comments_analise,0.96,0.0,0.0,0.0,0.9380805098995305,0.9603965393990287,0.96
rose  bruno mars - apt. (official music video) comments copy_analise,0.9533333333333334,0.0,0.0,0.0,0.9336216579157194,0.9528818585086608,0.9533333333333334
sabrina carpenter - espresso comments_analise,0.9333333333333333,0.0,0.0,0.0,0.9181529207665688,0.9359061616818434,0.9333333333333333
dua lipa - training season (official music video) comments_analise,0.9033333333333333,0.0,0.0,0.0,0.8971109040074557,0.904129853991923,0.9033333333333333
taylor swift - fortnight (feat. post malone) (official music video) comments_analise,0.8733333333333333,0.0,0.0,0.0,0.8536527772210915,0.8689391044625453,0.8733333333333333
tyla - water (official audio) comments_analise,0.8883495145631068,0.0,0.0,0.0,0.8418650793650794,0.889623786407767,0.8883495145631068
kendrick lamar - not like us comments_analise,0.8466666666666667,0.0,0.0,0.0,0.8281972610034919,0.8475772892043837,0.8466666666666667
charli xcx - guess featuring billie eilish (official video) comments_analise,0.8333333333333334,0.0,0.0,0.0,0.825912201493597,0.8291630036630037,0.8333333333333334
sza - snooze (audio) comments_analise,0.85,0.0,0.0,0.0,0.7958749852059476,0.8618139153578139,0.85
benson boone - beautiful things (official music video) comments_analise,0.8733333333333333,0.0,0.0,0.0,0.7950062651723134,0.8795395622541173,0.8733333333333333
chappell roan - good luck babe (official lyric video) comments_analise,0.82,0.0,0.0,0.0,0.7897487245151172,0.822723296706569,0.82
billie eilish - birds of a feather (official lyric video) comments_analise,0.81,0.0,0.0,0.0,0.703549819948111,0.8212117408239656,0.81
artemas - i like the way you kiss me (lyric video) comments_analise,0.6956521739130435,0.0,0.0,0.0,0.6685796849302635,0.6873725214960746,0.6956521739130435
beyonc - texas hold 'em (official visualizer) comments_analise,0.7533333333333333,0.0,0.0,0.0,0.6130369956201659,0.7593593327742055,0.7533333333333333
ariana grande - we can't be friends (wait for your love) (official music video) comments_analise,0.65,0.0,0.0,0.0,0.5376099868362212,0.6771194376736013,0.65
