classificacao,sentimento_manual,comentario,justificativa
1,1,This will go down in history as one of the best songs of all time,"Expresses extremely high praise, suggesting it's a timeless classic."
1,1,"Bruno Mars and Lady Gaga created something truly timeless with this song  it’s not just music, it’s an emotion. The way their voices blend feels like love, loss, and acceptance all in one breath. It’s a reminder that even in goodbye, there can be beauty, and even in sadness, there can be love worth smiling for.",Expresses deep appreciation for the song’s emotional depth and beauty.
-1,-1,This ain't a song it's a raw emotions 😔,Expresses sadness and disappointment.
1,1,This song hits so deep...I pray that everyone finds and gets to be with that someone who they want to be next to...,Expresses a heartfelt desire for connection and happiness.
1,1,"The retro vibes are strong with this one - a perfect blend of their iconic sounds and styles. This is the collab we didn't know we needed, and now we can't live without.",Expresses enthusiastic appreciation for the collaboration and its sound.
0,0,"Once a wise man said, "" when you're happy, you enjoy the melody but when you're broken you understand the lyrics """,Expresses both appreciation for the music and acknowledgement of a negative emotional state.
1,1,This is not music. It is a brilliant piece of magic that brings tears to my eyes. Imagine being with someone you love deeply and wanting to be by their side as the world ends.,Expresses profound emotional connection and appreciation for the song's artistic impact.
1,1,Love that they wrote and recorded this in one late-night studio session—feels like you're overhearing something deeply personal.,Expresses appreciation for the intimate and personal feel of the recording.
1,1,"What a beautiful old guitar.  You just don't see Silverstone anymore, like you used to.",Expresses appreciation for the guitar and a nostalgic feeling.
0,0,I heard this song on the way to my husband's memorial service.  I never heard the song before that day. It was like he was speaking to me. Thank you for the beautiful message,Combines sadness and appreciation for the song's impact.
1,1,It's been a year since this song was released. This song is the most beautiful song my youth gave me. It will be my favorite song for the rest of my life and the song that makes me emotional every time I listen to it……,"Expresses deep, long-lasting love and emotional connection to the song."
1,1,Clearly it should hit billions of views because of the vocal of those two legendary Singers in one frame. Both's vocal are majestic❤🎉😊,Expresses enthusiastic praise for the singers' vocals.
1,1,"Bruno Mars distills galaxies into groove, every note a star collapsing into soul. Lady Gaga sculpts silence into spectacle, wielding emotion like fire spun through glass. They aren’t artists; they’re phenomena. rare alignments of spirit and sound that make time stop and hearts remember how to feel.","Extremely high praise, describing them as transformative and awe-inspiring artistic phenomena."
-1,-1,"My wife recently passed it and sums up my raw emotions. My best friend, my soul mate ❤️","Expresses grief and loss, indicating a deeply painful emotional state."
-1,-1,Emotions of A.O.T fans😭😭,Expresses sadness and distress associated with the A.O.T. fandom.
