classificacao,sentimento_manual,comentario,justificativa
1,1,Let’s be honest. This vibe never gets boring ❤,Expresses strong fondness and enthusiasm for the song's atmosphere.
1,1,"Sabrina’s energy is unmatched in this track! The catchy beat, her vocals, and the fun visuals make Espresso a total vibe. I can’t stop dancing! ☕🎶✨",Expresses enthusiastic enjoyment and excitement about the song.
1,1,"The retro vibes, the catchy beat, and that *Please Please Please* teaser—she's building a whole universe! This era is already iconic, and I can't wait to see what's next.",Expresses enthusiasm and anticipation for the new era.
1,1,I love this! When I watch this video! Reminds me of myself living in Los Angeles and running around from one boy to another. Love this song and video. This girl is the cutest thing I have seen in a long time. Good vibes 😎,Expresses strong enjoyment and positive associations with the song and video.
1,1,I LOVE feel good music! The kind that makes you feel like you’re in the 1960’s floating on a cloud sipping lemonade in the summer with a nice breeze!!! “Say So” by Doja Cat gives me same vibe! Love this! ❤,Expresses strong positive feelings and enjoyment of the music.
0,0,1:18 chorus,Simple reference to a specific point in the song without expressing an opinion.
1,1,"Sabrina knows a lot, she released the song a year ago and it's still catchy ❤️‍🔥",Expresses fondness and enthusiasm for the song.
1,1,"Cant believe it has been a year since espresso was released. Time flies by fast. This song has always been great, it really gives good spring and summer vibes🔥🔥🔥",Expresses nostalgic enjoyment and positive feelings associated with the song.
1,1,Today this song turned 1 year old... This song literally gives summer vibes and I'm here for it. Thanks Sabrina.,Expresses enthusiasm and enjoyment of the song's summery vibe.
1,1,The vibe of this song is lethal. Love it!,Expresses strong positive feelings about the song's atmosphere.
1,1,"This whole video is pure sunshine and good vibes, and that ""Please Please Please"" teaser has me counting down the seconds until the album drops! Sabrina understood the assignment.",Expresses enthusiasm and excitement for the video and upcoming album.
1,1,"Sabrina Carpenter sings and dances with such a sincere, flirty and lively music that I quickly fell in love with this woman, losing myself in the rhythm of the music.🔥😍😘",Expresses strong positive feelings and enthusiasm for the artist and song.
1,1,"""Was on vacation in Thailand '24 — and this song gave me all the vibes. Thanks, Sabrinaaaaaa!"" 🌴🎶💖",Expresses positive feelings and association with a specific experience.
1,1,"Today was the 1st anniversary of espresso. Espresso was published on April 11, 2024 at 20:00. Today is a truly special day. The emotions it evokes and the meanings it carries, the hope it gives to people and a little bit of Sabrina's strong coffees.💋👄☕🩱☕",Expresses fondness for the song and associates it with positive feelings and a specific beverage.
-1,0,Scott Cramer and his video about the wrong lyrics brought me here,Expresses frustration and criticism regarding a specific video and its content.
1,1,The quiet house put this song so nice vibes,Expresses a positive feeling about the song and its effect.
0,0,"Happy 1st Anniversary. I can't believe it's been a year already, I remember when this said 1 hour ago. Spring and Summer 2024 was peak, but Summer 2023 was better. The summer vibe and chorus goes so hard, as a guy, I'm not too crazy with this song, but the vibe goes hard. 1 year since this went off the charts along with They Not Like Us by Kendrick Lamar during Summer 2024. I'm already nostalgic for 2024, so much good happened. This year really sucks horribly with the plane crashes, the stock markets, everything, basically. I know I shouldn't be getting nostalgic for 2024, but that was my year getting out depression from Late Summer 2023 and Fall 2023, so I do miss 2022 - 2024 a lot. This year hasn't been hitting in this crazy country and world we live in. Too many bad things are happening! I wanna go back so bad! April 12, 2024 - April 12, 2025.",Expresses both positive nostalgia and negative commentary on current events.
1,1,i love the lyrics,Expresses clear and enthusiastic enjoyment of the song's lyrics.
1,1,Its literally giving summer vibes its giving vintage it’s giving beach vibes its giving perfect summer day ✌️,Expresses enthusiastic enjoyment and association with positive summer imagery.
0,0,"Looking forward to this song becoming nostalgic, except for it already is ☕",Expresses hope for nostalgia while acknowledging current familiarity.
1,1,Yo the summer vibes feel it from here.,Expresses enthusiastic enjoyment and connection to the song's atmosphere.
1,1,Such a beautiful beat and voice ❤,Expresses strong positive feelings using emojis and descriptive terms.
0,0,Wow it's 1 year already 😭✌️✌️ I used to vibe this til June ..,Expresses fondness alongside a recognition of time passing.
-1,-1,Wow is this awful.,Expresses strong disapproval and criticism.
-1,-1,"Cannot understand her lyrics, no talent, just a stripper.",Strongly criticizes the artist’s talent and profession.
1,1,"i remember this song being every in 2024, so nostalgic 😭 ❤",Expresses fondness and nostalgia for the song's popularity.
1,1,It's giving me Summer vibes I love it😊😊😊😊😊❤❤❤❤❤,Expresses enthusiastic enjoyment and positive feelings.
1,1,This song makes you feel so alive right from when the beat drops..,Expresses exhilaration and energy from the song's beginning.
1,1,This song is such a VIBE,Uses slang to express strong positive feelings.
1,1,"is funny usually I am a hook go crazy guy, this is one of the most amazing hooks written in music history, and I see the video is not even in the 1 billions views, so I know some songs do it for some people and others not, the last songs that amazed me this much was heat waves and record player and I am  a hip hop mostly artist but I appreciate when music is catchy and well written. hands down!!",Expresses strong enthusiasm and appreciation for the song's catchiness and quality.
1,1,"The vintage vibes are strong, and the song is incredibly catchy—can't wait to see where this era takes her! The ""Please Please Please"" teaser at the end was genius.",Expresses enthusiasm and positive reactions to the song and teaser.
1,1,I love this song! Such a summer vibe!!,Expresses strong positive feelings and association with a ‘summer vibe’.
0,0,"What made this song so interesting is not the lyrics, the lyrics are unrealistic nonsense that portrays an unreal world that does not exist, everyone ends up distancing themselves from a short woman who is a hassle, but what made this song cool is the relaxed mood it conveys, of a costly little girl who gets up to mischief with men, it has a hint of the negative aspect of Feminism that most of the time provides a tragic end for women who go around getting up to mischief with men and people, and it is a backward concept, in fact, nowadays people want good relationships of trust, the planet has evolved to the fifth dimension, Spirits that insist on the old world, which promotes injustice as Feminist laws defend, are being removed from the planet, in the Exile of Kiron, but anyway, what made the instrumental of this song cool, were the mixing and mastering resources, very well combined, and a great producer. who worked on mixing and mastering, turned a song with silly lyrics into a great song due to the resources used",Criticizes the lyrics while praising the instrumental production and mixing/mastering.
1,1,Such a catchy disco song.,Expresses enjoyment of the song's catchy disco style.
-1,-1,just monotonous,Describes the song as boring and lacking variation.
1,1,Strong Donna Summer vibes,Expresses admiration for the song's similarity to Donna Summer’s music.
1,1,Bro this song is catchy ❤,Expresses enthusiasm and affection for the song.
0,0,She gives more Barbie vibes than Margot Robbie,Acknowledges positive aspects but criticizes the song's similarity to another artist.
1,1,I’m more of a rock guy but damn is this catchy,Expresses enjoyment and finds the song catchy despite a preference for rock music.
1,1,1:14  this song is giving beach vibes🌊🏖️🏝️🐚,Expresses a positive association with the song and evokes imagery of a relaxing beach environment.
0,0,Anyone come here to listen to the lyrics after Scott Cramers videos? Lol,"Seeking clarification about the lyrics, without expressing strong opinion."
-1,-1,"What a horribly annoying song, glad I know who recorded it now so that I can actively avoid them.",Expresses strong dislike and intention to avoid the artist.
-1,-1,es linda como uma batoneira,Uses a derogatory and sexually suggestive term.
0,0,"I dont like pop. I dont like the narcissism. I dont even like the lyrics. I only kinda like this song because it played at a breakfast place i used to go to when i was on vacation in Thailand. Ah, those were good times. I gotta go back this year.","Expresses dislike of pop music and lyrics, but recalls positive memories associated with the song."
1,1,That’s giving me REALLY summer vibes ❤❤❤ :),Expresses enthusiastic enjoyment and warmth associated with summer.
-1,-1,Is she just all autotune or knows singing too?,Expresses doubt and criticism regarding the singer's vocal abilities.
0,0,Old money vibes,Expresses a nostalgic appreciation while acknowledging a potentially negative association with wealth.
-1,0,"I don't understand why this song is so popular, I mean yeah it is generic and basic to the bone thats why, but like this album has so much better other songs",Expresses dislike for the song's generic nature and criticizes its popularity.
