classificacao,comentario,justificativa,sentimento_manual
Positive,Artemas's songs are always such a vibe. 10/10 again!!,"The commenter expresses enthusiastic enjoyment and gives a high rating, indicating a positive sentiment.",
Positive,'' The perfect girl '' vibes. I love it.,The commenter expresses clear positive feelings and enthusiasm for the music video using the phrase 'I love it'.,
Positive,Proof this genre of music and melody just can't die.,The comment expresses enthusiasm and appreciation for the music's enduring quality.,
Positive,This song gives  80s vibe and I love it,The commenter expresses a positive feeling (,
Positive,"This is too good! It gives me that ""riding a bike at midnight"" melancholic vibe","The commenter expresses enthusiasm with 'too good!' and associates the video with a pleasant, nostalgic feeling.",
Positive,"For those who have been in relationships like the one described in the lyrics, they know the range of feelings it evokes, whether it's euphoria, anguish, melancholy, regret, and a series of others. Listening to this song from that perspective adds tremendous depth. It is quite heartless to listen from a first-person point of view, but the one who is in love, even if deluded, leaves a small door of hope for humanity.","The comment expresses appreciation for the song's depth and offers a hopeful interpretation, indicating a positive reaction.",
Positive,"One year already, which makes this sound 10x more nostalgic.","The commenter expresses a feeling of increased nostalgia, indicating a positive reaction to the video's longevity.",
Positive,We want more songs with this rhythm now!!,"The commenter expresses a clear desire for more music with the same rhythm, indicating a positive reaction.",
Positive,this song nails a vibe so precisely i was convinced it was a cover of a song i already loved,The commenter expresses strong positive feelings about the song's atmosphere and connection to their existing musical preferences.,
Positive,Felt the Bloc Party vibes all the way through. What a tune! Soundtrack material right here. Ciao!,The commenter expresses enthusiastic enjoyment with phrases like 'felt the Bloc Party vibes' and 'What a tune!',
Positive,Holy heck - I haven’t heart this kind of Dark/Upbeat EDM get big in a while.,The commenter expresses enthusiasm and a positive feeling about the music style.,
Positive,I love this song. Gives me a dark wave synthesizer 80's beat. Your hair looks so healthy 🍀,The commenter expresses enthusiastic enjoyment of the song and compliments the visual aspect.,
Positive,It gives an impeccable retro vibe.,The comment expresses a positive opinion about the video's aesthetic appeal.,
Positive,"it hits, hits, hits part of the song is the vibe!",The repeated use of 'hits' and the statement about 'vibe' clearly indicates a positive reaction to the music video.,
Positive,"Lately i sleep with my tv on, on mtv and last night i saw this the first time, as a 80s kid i instantly loved it what a vibe.","The commenter expresses immediate and strong positive feelings about the music video, using enthusiastic language like 'instantly loved it' and 'what a vibe'.",
Positive,"I broke down and made a video of the song, but with vibes 80’s",The commenter expresses a positive reaction by creating a video inspired by the song's 80s vibes.,
Positive,This beat got me. Fantastic. Cant stop hearing it.,"The commenter expresses strong enjoyment and repetition of the song, indicating a positive sentiment.",
Positive,The fact this song came a little less than four weeks ago shocked me…it’s so catchy!!,The commenter expresses excitement and a positive opinion about the song's catchiness.,
Positive,0:30 The Weeknd vibes 😮😮😮,The use of emojis and the reference to 'The Weeknd vibes' indicates a positive reaction to the music video.,
Positive,"Today it all sounds the same, repetitive not bad, well produced but in the end not very interesting. Often the better songs go back to the past. This one does that all too and yet, it catches attention. The secret? Not a lack of repetitive elements for sure, on the contrary but somehow it sounds like those who make it were inspired, liked this song themselves. It's shorter than usual. I wonder if they had discussions about this. Why??","Despite criticisms of repetition, the comment expresses a positive feeling about the song's ability to capture attention and suggests inspiration and thoughtful creation.",
Positive,Those few days have been torture and now I can finally vibe to this song all day!!!,The exclamation points and phrase 'finally vibe' clearly indicate a positive emotional response to the music video.,
Positive,"This is the best songs I've heard in a while, such a vibe",The comment expresses enthusiastic approval and describes the music as having a positive 'vibe'.,
Positive,this songs a vibe,The phrase 'this songs a vibe' expresses a positive feeling and enjoyment of the music.,
Positive,The vibe is unreal ❤,The use of the heart emoji and the word 'unreal' indicates a strong positive feeling about the video's atmosphere.,
Positive,absolute vibe tbf,The phrase 'absolute vibe' expresses strong positive enthusiasm for the music video.,
Positive,This gives me some Slavic vibes🎉🎉🎉,The use of celebratory emojis and the mention of 'Slavic vibes' indicates a positive reaction to the music video.,
Positive,"This is perfect. Absolutely a vibe, amen for this .",The comment expresses strong positive feelings using phrases like 'perfect' and 'absolutely a vibe',
Positive,Banger 🔥🔥🔥 got that 80s vibe ❤,The use of emojis like 🔥🔥🔥 and ❤ clearly expresses enthusiastic enjoyment of the music video.,
Negative,The blue tinted background is so melancholic ugh the vibes,The use of 'ugh' and 'melancholic' suggests a negative emotional response to the video's aesthetic.,
Positive,"This has such a old ish vibe, i live this genre of music","The commenter expresses enjoyment ('i live this genre') despite noting a nostalgic aesthetic, indicating a positive overall feeling.",
Positive,I’m obsessed with this song. It’s the only repetitive shorts song that I don’t mind lol,"The commenter expresses a strong positive feeling ('obsessed') and uses a lighthearted, approving tone ('lol').",
Positive,When listening to this song...Am I the only person who feels vibes like those old days?✨,The commenter expresses nostalgia and a positive feeling (,
Positive,all vibeeee,The use of 'vibes' indicates a positive and enthusiastic reaction to the music video.,
Positive,I just found out Artemas is a London based producer that is why this song is absolutely brilliant.  The Brits know how to make super catchy musid. This song is currently at #5 in the UK top 75 singles charts! Number 25 on the hot 100 it better make the top 10 soon❤❤❤,"The commenter expresses enthusiastic praise for the song and its success, using terms like 'absolutely brilliant' and emojis.",
