classificacao,comentario,justificativa,sentimento_manual
Positive,Westworld vibe there,"The comment expresses a positive association with the video's aesthetic, referencing a well-regarded and generally liked series.",
Positive,"I do not care for country, nor do I care for these nasty comments. But because I grew up around country, I know when I hear a catchy country tune. I love this… it may not be your normal to the others, but I am very appreciative of your flexibility with music, it gives me a new perspective.  This is a beautiful piece that you sang your heart out to, and I feel like more people should appreciate it for just what it is. 🔥💚🔥","The commenter expresses clear appreciation for the music video and its heartfelt performance, using positive language and emojis.",
Positive,"No boundaries. No shirt, but nice beat.  Nice voice. Beautiful.","The commenter uses overwhelmingly positive adjectives like 'nice,' 'beautiful,' and 'nice beat,' indicating a favorable opinion.",
Positive,It’s strange to think about how a few years from now this will be really nostalgic.,The commenter expresses a hopeful and positive feeling about the video becoming a source of nostalgia in the future.,
Positive,"I think it's good to have the courage to sing a country song , a real catchy tune  ❤","The use of the heart emoji and positive language ('good,' 'catchy') indicates a favorable opinion of the music video.",
Negative,this won a grammy?? well its givin DEI vibes 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,"The comment uses sarcasm and the acronym 'DEI vibes,' implying a negative opinion about the video's content and potential motivations.",
Negative,This is an insult to the real hard working country singers out there. Wow. There is no “country” in this song at all. It’s awful!,"The comment expresses strong disapproval and describes the song as 'awful,' indicating a negative sentiment.",
Positive,Love the lyrics “we headed to the dive bar we always thought was nice “.  Because living in the simple life of the deep country areas with no money going to the local bar thats a complete dive always seems nice to folks who don’t know no better.,"The commenter expresses fondness for the lyrics and the song's theme, indicating a positive sentiment.",
Positive,This song is a vibe idc idc,The enthusiastic use of 'idc idc' conveys excitement and enjoyment of the music video.,
Positive,"BeyHive! ""Texas Hold Em"" has now surpassed 600 million Spotify streams! This is Beyoncé's 11(12)th song to reach this milestone! Keep streaming! 🐝👑","The comment expresses excitement and encouragement regarding Beyoncé's streaming success, indicating a positive sentiment.",
Positive,Sheeee is such a vibe 🎉🎉🎉🎉❤❤❤❤ go BEYONCE GET IT COUNTRY 🎵🎶 MUSIC,The comment expresses enthusiastic support and excitement for the music video using emojis and positive phrases.,
