classificacao,comentario,justificativa,sentimento_manual
Positive,This will go down in history as one of the best songs of all time,The comment expresses enthusiastic praise and declares the song to be among the 'best of all time'.,Positive
Positive,"Bruno Mars and Lady Gaga created something truly timeless with this song  it’s not just music, it’s an emotion. The way their voices blend feels like love, loss, and acceptance all in one breath. It’s a reminder that even in goodbye, there can be beauty, and even in sadness, there can be love worth smiling for.","The comment expresses admiration and a profound emotional connection to the song, indicating a highly positive sentiment.",Positive
Positive,This ain't a song it's a raw emotions 😔,The use of the sad emoji and description of 'raw emotions' indicates a positive appreciation for the video's emotional impact.,Negative
Positive,This song hits so deep...I pray that everyone finds and gets to be with that someone who they want to be next to...,The commenter expresses a hopeful and positive sentiment about the song's message and its potential impact.,Positive
Positive,"The retro vibes are strong with this one - a perfect blend of their iconic sounds and styles. This is the collab we didn't know we needed, and now we can't live without.",The commenter expresses enthusiastic delight and a strong desire to continue listening to the music.,Positive
Positive,"Once a wise man said, "" when you're happy, you enjoy the melody but when you're broken you understand the lyrics """,The comment expresses a positive sentiment about music's ability to evoke emotion and understanding through its lyrics.,Neutral
Positive,This is not music. It is a brilliant piece of magic that brings tears to my eyes. Imagine being with someone you love deeply and wanting to be by their side as the world ends.,"The comment expresses strong positive emotions, describing the video as 'brilliant' and evoking feelings of love and connection.",Positive
Positive,Love that they wrote and recorded this in one late-night studio session—feels like you're overhearing something deeply personal.,The comment expresses a positive feeling about the intimacy and personal nature of the music video's creation.,Positive
Positive,"What a beautiful old guitar.  You just don't see Silverstone anymore, like you used to.",The comment expresses admiration for the guitar and a nostalgic fondness for the artist's style.,Positive
Positive,I heard this song on the way to my husband's memorial service.  I never heard the song before that day. It was like he was speaking to me. Thank you for the beautiful message,"The commenter expresses gratitude and feels a profound connection with the song, indicating a positive emotional response to the music and its message.",Neutral
Positive,It's been a year since this song was released. This song is the most beautiful song my youth gave me. It will be my favorite song for the rest of my life and the song that makes me emotional every time I listen to it……,"The commenter expresses strong positive feelings about the song, describing it as 'most beautiful' and a source of emotion.",Positive
