classificacao,comentario,justificativa
Positive,Westworld vibe there,"The comment expresses a positive association with the music video, referencing a well-regarded and aesthetically pleasing show."
Positive,"I do not care for country, nor do I care for these nasty comments. But because I grew up around country, I know when I hear a catchy country tune. I love this… it may not be your normal to the others, but I am very appreciative of your flexibility with music, it gives me a new perspective.  This is a beautiful piece that you sang your heart out to, and I feel like more people should appreciate it for just what it is. 🔥💚🔥","The commenter expresses appreciation for the music and its unique perspective, using positive language and emojis."
Positive,"No boundaries. No shirt, but nice beat.  Nice voice. Beautiful.","The comment expresses positive opinions about the beat, voice, and overall quality of the music video."
Positive,It’s strange to think about how a few years from now this will be really nostalgic.,The comment expresses a positive feeling about the video's potential to become a future source of nostalgia.
Positive,"I think it's good to have the courage to sing a country song , a real catchy tune  ❤",The user expresses positive feelings about the song and describes it as ‘catchy’ with an accompanying heart emoji.
Negative,this won a grammy?? well its givin DEI vibes 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,"The comment uses sarcasm and the phrase 'givin DEI vibes,' suggesting disapproval and a negative reaction to the music video's themes."
Negative,This is an insult to the real hard working country singers out there. Wow. There is no “country” in this song at all. It’s awful!,The comment expresses strong disapproval and uses negative language (
Positive,Love the lyrics “we headed to the dive bar we always thought was nice “.  Because living in the simple life of the deep country areas with no money going to the local bar thats a complete dive always seems nice to folks who don’t know no better.,The commenter expresses fondness for the lyrics and the sentiment of the song's theme.
Positive,This song is a vibe idc idc,The use of 'vibe' and the dismissive 'idc' indicate a positive enjoyment of the song.
Positive,"BeyHive! ""Texas Hold Em"" has now surpassed 600 million Spotify streams! This is Beyoncé's 11(12)th song to reach this milestone! Keep streaming! 🐝👑","The comment expresses excitement and encouragement regarding Beyoncé's streaming success, indicating a positive sentiment."
Positive,Sheeee is such a vibe 🎉🎉🎉🎉❤❤❤❤ go BEYONCE GET IT COUNTRY 🎵🎶 MUSIC,The comment expresses enthusiastic support and excitement for the artist and music using emojis and positive language.
Negative,This is the WORST ATTEMPT AT COUNTRY MUSIC! GIRL! Stay in your lane!,"The comment expresses strong disapproval and criticism of the music video, indicating a negative sentiment."
Positive,Beyonce is absolutely stunning here. The songs a great catchy pop choon.,The comment expresses admiration for Beyonce and describes the music as 'great catchy' indicating a positive emotional response.
Positive,"I’ve never been a fan of Beyoncé, but this song can easily get lost in your head, and you can’t shake it. Besides that, I do have to say this.  Experimenting with different genres can help, until you find your voice, all new singers that break out into the music scene do this.  But for Beyoncé who’s been doing R&B, pop and hip hop music for as long as she has to jump ship to country is a big leap. Her voice is a powerhouse in the other genres of music and that’s been her vibe for all of her musical life. It’s great she’s expanding her repertoire and trying her hand at Country, and  Country musicians welcomed her with open arms to the country music  family.  But with her vocals mixing with country music is an absolute long shot. I admit country music isn’t what it used to be, it’s a little more poppy, but there some artist’s that love to go back to the traditional ways of what country music use to be. But in the case of Miss Beyoncé, there are already Country Queens. I’d rather her be in the zone where she has been labeled a queen in her more recognized career.","The commenter expresses enthusiasm for Beyoncé's experimentation and welcomes her entry into the country music genre, highlighting her vocal strength and positive reception."
Negative,Worst music video in history,The comment expresses strong disapproval and criticism of the music video.
Negative,Worst music video goes to Beyonce,The comment expresses a negative opinion by declaring it the
Neutral,Hi I'm one of Riley's new emotions.,This comment expresses a simple introduction and lacks any explicit emotional expression or opinion.
Positive,"I love this song! Shame on people who think we don't have the freedom or right to sing any damn thing we want, especially with a voice like Beyonce! It's is fun with a great beat...",The commenter expresses clear enthusiasm and positive feelings towards the song and artist.
Neutral,"And I'm not saying it isn't a catchy song, but not, IMHO, a country song.","The comment expresses a subjective opinion about the genre, but doesn't convey strong positive or negative feelings."
Positive,"I like this song, very catchy.....","The commenter explicitly states they 'like this song' and describes it as 'catchy', indicating a positive feeling."
Negative,Is this a joke song making fun of country music or something? This might be the worst song ever recorded,The comment expresses strong disapproval and uses negative language ('worst song ever recorded') indicating a negative sentiment.
Positive,Lol. Shes deep into DIDDYS parties,The use of 'LOL' and the enthusiastic repetition of 'DIDDYS' suggests amusement and positive engagement with the music video.
Negative,"Seriously what is wrong with music nowadays 🙄 remember the times when Michael Jackson was creating mini movies to his songs, every single one was unforgettable. This looks so cringe and boring 😬","The comment expresses disappointment and criticism of the music video, using terms like 'cringe' and 'boring' to indicate a negative sentiment."
Negative,She didnt deserve THE GRAMMY! Who even listens to this album?! Like come on! The fake surprise when they said her name in the grammys UPSET ME and seeing billie eilish crying made most of all of the fans sad! Over all HMHAS had the most listeners and her vocals are great i dont say i hate her but this album deserved for 2024 grammys bot 2025!,"The comment expresses frustration and disappointment regarding the Grammy award and suggests the album was undeserving, indicating a negative sentiment."
Negative,This song sucks. Its so boring and generic,"The comment uses overtly negative language ('sucks,' 'boring,' 'generic') expressing a clear dissatisfaction with the music video."
