classificacao,comentario,justificativa
Positive,"This gave the vibe of ""Death Becomes Her"" 1992 movie ❤",The use of a heart emoji and referencing a well-regarded film indicates a positive reaction to the video's mood and aesthetic.
Positive,"idk how many times i've watched this, yall dont understand how badly i need a full movie of this vibe","The commenter expresses a strong desire for more content of this type, indicating a positive emotional response."
Positive,It’s giving  “Death Becomes Her” vibes and I LOVE IT!!! Please explain if I missed anything else,"The commenter expresses enthusiastic approval and uses a positive comparison, indicating a favorable sentiment."
Positive,I love the “Death Becomes Her” vibes 🫶💜,"The user expresses love and uses positive emojis, indicating a favorable opinion of the video."
Positive,"The subtle details of this video like the callbacks to other videos, her heart beating to the music, or her banging the dolls head on the hedges to the timing of the song. I can't get enough.","The commenter expresses enthusiasm and a strong desire to watch the video again, indicating a positive reaction."
Positive,"This track really hits the spot! The beat is so infectious, and the lyrics speak to my soul. Definitely adding this to my playlist!","The commenter expresses strong positive feelings about the music video, using enthusiastic language like 'hits the spot' and 'speaks to my soul'."
Positive,"I'm having a 90's flashback, as this music video has some Death becomes her vibes.",The commenter expresses a nostalgic and positive feeling by referencing a positive artist and song associated with the video's style.
Positive,This is giving me “Death Becomes of Her” vibes. I love it!,The commenter expresses clear enjoyment and explicitly states ‘I love it’.
Positive,"An interesting song with  and surprising for me, Sabrina keeps serving confidence, charm, and iconic vibes. Taste is cheeky, clever, and absolutely addictive. She really said you’ll just have to taste me’ and made it sound like pure pop gold. Queen behavior.","The comment expresses admiration and enthusiasm for the song and artist, using positive adjectives and praising her 'Queen behavior'."
Positive,"This video was inspired by and pays homage to the movie ""Death Becomes Her"" a fun 80's classic you'll love which stars Goldie Hawn, Meryl Streep, & Bruce Willis. This video is basically a short version remake of the film that uses all the same gags, storyline, setups/pay offs, and digital effects. ""Death Becomes Her"" is one of my absolute favorite movies from the 80's which I've seen hundreds of times thru years, and Sabrina did such an amazing job recreating it here in this masterpiece! The only difference between the two is Goldie and Meryl don't have a kissing scene.  You guys have to now see ""Death Becomes Her."" Trust me, you'll love it and you'll thank Sabrina Carpenter for showing it some love, because it's such an underrated romance horror classic.","The comment expresses enthusiastic praise for the video as a remake of a beloved classic, highlighting its quality and recommending it to others."
Positive,This is death becomes her vibes.  For anyone not old enough to understand that it's a movie.,"The commenter uses enthusiastic language ('vibes') and positive descriptors, indicating enjoyment of the music video."
Positive,"There are songs whose meaning is better left unexplored. I thought this song was about a romantic story, but Sabrina's voice is so sweet. I don't know English, so I appreciate the sound of the guitars, the pauses of each chord, the rhythm, and the drums. However, the meaning of the lyrics was not what I imagined.","The commenter expresses appreciation for the musical elements and Sabrina's voice, indicating a positive overall impression despite disagreeing with the lyrical interpretation."
Positive,"This music video gives me a lot of ""Death becomes her"" vibes lol especially the ending.","The commenter expresses a positive association with the video, referencing a well-regarded film and enjoying the ending."
Positive,This track = serotonin boost! Wishing everyone here peace and good vibes today. 💛🎵,"The commenter expresses a positive feeling ('serotonin boost') and wishes for 'good vibes', indicating a favorable opinion of the music video."
