classificacao,comentario,justificativa
Positive,"1:46 She's isn't just talking about heartbreak, She's painting a whole picture of what it feels like to be abandoned and fighting back and not letting herself be completely destroyed, Deep as hell 🫶",The commenter expresses admiration and appreciation for the video's powerful portrayal of emotional struggle.
Positive,The deluxe songs has some savage lyrics which i haven't seen much from Gracie 😂 . Im loving this so much,"The commenter expresses clear enjoyment and appreciation for the song's lyrics, indicating a positive sentiment."
Positive,"ive never been in a relationship, but i’ll forever scream my heart out to songs like this as if i’ve been through the worst heartbreak known to man. just me? 😂","The commenter expresses a strong emotional connection to the music, indicating a positive sentiment despite lacking personal experience in relationships."
Positive,I’m a grown man and this song is great. The melody everything about it.,The commenter expresses strong positive feelings about the song and its elements.
Positive,Absolutely loving the vibes from this music—it’s just what we need to energize our day! The visuals are also incredibly beautiful. Wishing everyone watching a day full of joy and overflowing happiness. Enjoy and let the good energy lift you up!,"The comment expresses enthusiastic enjoyment and positive wishes, indicating a strongly positive sentiment."
Positive,THE CHORUS IS SO CATCHY AAAAAHHHHHH,The exclamation and enthusiastic description of the chorus indicates a positive feeling about the music video.
Positive,The rhythm is so catchy 😭🫶,The use of emojis (😭🫶) indicates strong positive emotion and enjoyment of the music video.
Negative,.... Why is it just a mouth thats not even singing the lyrics?,The comment expresses disappointment and criticism regarding the video's content and perceived lack of musicality.
Positive,This song gives off a vibe of the 2010th songs,The comment uses the positive descriptor 'vibe' and references a nostalgic period (2010s) generally associated with positive musical memories.
Positive,"This song is so lit!!!! So proud of Gracie!!!! ""made it out alive but I think I lost if""!!! the lyricssss!!!!!!!!!",The enthusiastic exclamation points and praise for Gracie indicate a positive sentiment towards the song and artist.
Positive,"I went on a 4 hour bus ride for a school trip a few days ago. On the way there, the girls in the back of the bus played this on their speaker. When I say I screamed the lyrics, I'm not lying lol","The commenter expresses enthusiastic enjoyment of the song through explicit exclamation and laughter, indicating a positive reaction."
Positive,"This sounds like ""Risk"" from an alternate universe!!! I love it!!!","The commenter expresses enthusiastic enjoyment of the music video, indicating a positive sentiment."
Negative,"not to be mean, but the video is weird like why is their a close up mouth, not even singing the lyrics like help-",The comment expresses dissatisfaction and criticism of the video's aesthetic choices and execution.
