classificacao,comentario,justificativa
Positive,This entire video is so nostalgic. To be able to capture so much of the black community and our childhood in 2 minutes and 45 seconds is legendary.,The commenter expresses strong positive feelings about the video's nostalgic portrayal and its representation of the black community.
Positive,"As someone who is mostly heavy metal and punk all day long, im a miami boy first and foremost that grew up listening to a lot of hip hop and freestyle classics in the 90s and he rep'd both Compton and Miami with this one. That beat goes so damn hard, love the appreciation for debbie deb on this","The comment expresses enthusiastic praise for the music video, highlighting its quality and the artist's diverse influences."
Positive,THIS SONG TAKES ME BACK TO A VIBE THAT I THOUGHT COULD NEVER BE REPEATED....,The commenter expresses a nostalgic and positive feeling about the song's impact and ability to evoke a specific atmosphere.
Positive,This song got the 80s rhythm😤,The use of '😤' (face-palming emoji) indicates excitement and enjoyment of the song's rhythm.
Positive,Am I the only white middle aged woman here after the Super Bowl and love the vibes? 😂,The use of 'love the vibes' and the laughing emoji suggest a positive reaction to the music video.
Positive,"Kendrick is the best rapper not only for his lyrics but for his impact on the industry. On top of that the humbleness and love he shows, he is truly one of a kind in his own lane. 💯","The comment expresses strong admiration and praise for Kendrick Lamar, highlighting his talent and positive qualities."
Positive,"That first Woman set the tone for the whole video, hit that perfect",The comment expresses approval and admiration for the video's initial mood and performance.
Neutral,Did they change the video n lyrics or am I tweaking?,"The comment expresses uncertainty and a potential misinterpretation, lacking explicit positive or negative emotion."
Positive,This guy is a genius from the beat to the bars to videos. Man we needed him. Much love Kendrick keep doing what u doing.,"The comment expresses enthusiastic praise and support for the artist, using terms like 'genius' and 'keep doing what u doing'."
Positive,This beat is so damn 🔥🔥🔥,The use of fire emojis indicates strong positive enthusiasm for the music video's beat.
Positive,"Only kendrick could pump out a music video, thats visually super deep, of a cover to his own original song. Legend","The comment expresses admiration and praise for the music video, using terms like 'legend' and 'super deep'."
Positive,The beat 🔥,The use of the fire emoji indicates enthusiastic approval of the music's beat.
Positive,The new NATIONAL ANTHEM when the revolution is televised! I second that emotion!,"The commenter expresses enthusiastic agreement and a strong, positive emotional reaction to the music video's theme and music."
Positive,Ngl i feel like everyone in the back us dancing to their own vibe 😭 ♥️,"The use of emojis (😭, ♥️) and the phrase 'their own vibe' suggests a feeling of enjoyment and connection with the video's energy."
Positive,These old beats go hard af.,The comment uses strong positive language ('go hard af') expressing enjoyment of the music.
