classificacao,comentario,justificativa
Positive,I love the 90s vibe. ... ...,Expresses appreciation for the song's 90s-inspired style.
Positive,This is totally Express Yourself / Vogue vibes ❤️🙌,References iconic songs and expresses enthusiastic appreciation.
Positive,I'm 61 and I freaking love this song. And I don't know why it makes me emotional.,Expresses strong positive feelings and acknowledges a surprising emotional response.
Positive,I'm getting major goosebumps from this epic chorus!,Expresses intense positive emotion and appreciation for the chorus.
Positive,"Love this song, the whole era has been so powerful she's so back with this album and Wicked <3",Expresses strong enthusiasm and affection for the song and the artist's new era.
Positive,i don’t get why people are so disappointed by this song 😭 it’s such a  good pop & dance/house record with an amazing vibe. good quality and productions and vocals,Expresses strong enjoyment and appreciation for the song's quality and vibe.
Positive,These lyrics are brilliant...how she put them to such an amazing dance song...,Expresses strong admiration for the song's lyrics and overall quality.
Positive,This song doesn't get old I love all the vibe in it❤,Expresses enduring love and appreciation for the song's atmosphere.
Positive,MADONNA VIBES 110%,Expresses strong enthusiasm and imitation of Madonna's style.
Positive,Ari your mind is just brilliant!!  The song and the video are literally everything. The vibes are immaculate and concept is truly inspired you can tell a lot of thought was put into the visual! I’m obsessed 😭😭😭,Expresses strong enthusiasm and admiration for the artist and her work.
Positive,"Yes and is actually overhated, its so good i love the vocals and the introduction","Expresses strong positive feelings about the song, particularly praising the vocals and introduction."
Positive,"I love this video. The lyrics and feel of the song (which I loved since I heard it) hit me harder watching it. No to the haters. Be your own best friend. Shit gets tough. There's too much judgment and worrying about what everyone else is up to, when we have to care for and answer to ourselves at the end of the day. Love it ari",Expresses strong positive feelings and agreement with the song's message.
Positive,fuck !!! she has gone beyond the level... and in this whole eternal sunshine album she has expressed every stage of trauma and healing through her lyrics.. I'm really drugging to... felt so relatable how it feels to be stuck then trauma bonded and then to finally decide and move on and never give a fuck. it takes a lot to not care about others and when you do... it gives you immense power❤️‍🔥😭 love love love every version of arii,Expresses strong positive feelings and identifies with the song's themes.
