classificacao,comentario,justificativa
Neutral,Westworld vibe there,References a specific aesthetic/theme without expressing positive or negative emotion.
Positive,"I do not care for country, nor do I care for these nasty comments. But because I grew up around country, I know when I hear a catchy country tune. I love this… it may not be your normal to the others, but I am very appreciative of your flexibility with music, it gives me a new perspective.  This is a beautiful piece that you sang your heart out to, and I feel like more people should appreciate it for just what it is. 🔥💚🔥",Expresses appreciation for the song and its unique qualities.
Positive,"No boundaries. No shirt, but nice beat.  Nice voice. Beautiful.","Expresses admiration for the song's beat, voice, and overall aesthetic."
Neutral,It’s strange to think about how a few years from now this will be really nostalgic.,Expresses a reflective and slightly detached observation about the future impact of the song.
Positive,"I think it's good to have the courage to sing a country song , a real catchy tune  ❤",Expresses appreciation for the song and uses a positive emoji.
Negative,this won a grammy?? well its givin DEI vibes 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,Sarcastic remark ridiculing the Grammy win.
Negative,This is an insult to the real hard working country singers out there. Wow. There is no “country” in this song at all. It’s awful!,Expresses strong disapproval and declares the song to be awful.
Positive,Love the lyrics “we headed to the dive bar we always thought was nice “.  Because living in the simple life of the deep country areas with no money going to the local bar thats a complete dive always seems nice to folks who don’t know no better.,Expresses fondness for the lyric and a nostalgic appreciation for simple living.
Positive,This song is a vibe idc idc,Expresses enjoyment and acceptance of the song's atmosphere.
Positive,"BeyHive! ""Texas Hold Em"" has now surpassed 600 million Spotify streams! This is Beyoncé's 11(12)th song to reach this milestone! Keep streaming! 🐝👑",Expresses excitement and encouragement to continue streaming.
Positive,Sheeee is such a vibe 🎉🎉🎉🎉❤❤❤❤ go BEYONCE GET IT COUNTRY 🎵🎶 MUSIC,Expresses enthusiastic enjoyment and support for the artist.
Negative,This is the WORST ATTEMPT AT COUNTRY MUSIC! GIRL! Stay in your lane!,"Strong, dismissive criticism of the music as poor country music."
Positive,Beyonce is absolutely stunning here. The songs a great catchy pop choon.,Expresses strong admiration and positive feelings towards the song.
Neutral,"I’ve never been a fan of Beyoncé, but this song can easily get lost in your head, and you can’t shake it. Besides that, I do have to say this.  Experimenting with different genres can help, until you find your voice, all new singers that break out into the music scene do this.  But for Beyoncé who’s been doing R&B, pop and hip hop music for as long as she has to jump ship to country is a big leap. Her voice is a powerhouse in the other genres of music and that’s been her vibe for all of her musical life. It’s great she’s expanding her repertoire and trying her hand at Country, and  Country musicians welcomed her with open arms to the country music  family.  But with her vocals mixing with country music is an absolute long shot. I admit country music isn’t what it used to be, it’s a little more poppy, but there some artist’s that love to go back to the traditional ways of what country music use to be. But in the case of Miss Beyoncé, there are already Country Queens. I’d rather her be in the zone where she has been labeled a queen in her more recognized career.","Expresses a mix of observation, critique, and cautious optimism about Beyoncé's new genre exploration."
Negative,Worst music video in history,"Expresses a strong, negative opinion regarding the music video."
Negative,Worst music video goes to Beyonce,Expresses a strongly negative opinion about the music video.
Neutral,Hi I'm one of Riley's new emotions.,A simple greeting with no expressed sentiment.
Positive,"I love this song! Shame on people who think we don't have the freedom or right to sing any damn thing we want, especially with a voice like Beyonce! It's is fun with a great beat...",Expresses strong enjoyment and admiration for the song and artist.
Neutral,"And I'm not saying it isn't a catchy song, but not, IMHO, a country song.",Expresses a subjective opinion about the genre without strong positive or negative emotion.
Positive,"I like this song, very catchy.....",Expresses enjoyment and describes the song as catchy.
