classificacao,comentario,justificativa
Positive,One of the most emotion-filled songs i’ve ever heard,Expresses a high degree of emotional impact from the song.
Positive,"This sounds so good. Live players, analog synths, real emotion. Fantastic. Finally pop that isn't killing my ears with harshness.",Expresses strong positive feelings about the music's quality and sound.
Positive,"I found this randomly not knowing anything about Chappell and halfway through I realized, ""Wait, she's singing about another girl being disingenuous about her feelings for her and living with regret."" I thought the lyrics were incredibly clever, and as a straight guy dealing with the devastating effects of ending a situationship where she couldn't commit, but had strong feelings, this song encapsulates how this girl's life will turn out. She wrote this about her own experiences, but I'm devastated and this song brings such relief.",Expresses deep appreciation and identification with the song's themes.
Positive,I love how this song has these heavenly vocals and it is the lyric video is a goofy powerpoint😭,Expresses strong enjoyment and appreciation for the song's vocals and the video's humor.
Positive,I’m a rocker.  I’m hard rock.  This is sweet notes.  Modern. Disco.  Definitely caught my attention.  80s sounds. Vintage this is solid.  So hot. I hope it makes so much money. I know nothing about her.  This bridge was. Killer.  Face to face.  I told you so🤯,Expresses enthusiastic enjoyment of the song's style and quality.
Positive,Such a catchy song. Definitely one of the best songs of the 2020s.,Expresses strong enjoyment and ranks it among the best songs of the decade.
Positive,"Her voice is so angelic, powerful, soulful, haunting, resonant, mesmerizing, expressive, silky, clear, velvety, and WHY THIS IS TOO SHORT 😫💖",Expresses overwhelming positive admiration for the singer's voice.
Positive,"This song goes on my Mount Rushmore of pop songs. I've been playing it on repeat for months now, can't stop listening to it. It's so deep, so many layers, yet so catchy and such a bop. I listen to it and cry and I'm not even gay...everyone can relate to the feeling of unrequited love. It's just so beautiful.","Expresses strong, enthusiastic enjoyment and identifies with the song's emotional depth."
Positive,I usually don't care for modern music. I know it sounds pretencious and all that yeah yeah. But I fucking love Chapelle Roan and her music. Girl knows how to sing and the mix of modern musical tropes and the eighties synth vibes to almost all her songs absolutely fucks. Also helps that she is a goddamn gay icon at this point and I hope she continues her rise. Good shit good shit.,Expresses strong enjoyment and praise for the artist and her music.
Neutral,my deeply closeted dad finds this song uncomfortable for some reason,Expresses an observation about a listener's reaction without expressing a clear positive or negative sentiment.
Positive,0:53 I’m almost 16 and I can still hit these notes,Expresses admiration and ability to perform challenging vocal feats.
Positive,"This is what a hit song sounds like, simple, catchy, good melody, up lifting, and the right sounds",Expresses strong positive feelings about the song's qualities.
