classificacao,comentario,justificativa
Negative,Her shaking on the machine to the beat CHEWED,Uses a vulgar term ('chewed') to describe the performance.
Positive,No idea what’s going on here but the vibes are immaculate,Expresses positive feelings about the music's atmosphere.
Neutral,"""Totally waiter vibes"" was what got me","Uses slang suggesting a slightly negative, but not strongly critical, opinion."
Positive,"Grateful for Charli still doing these short ""skits"" before the song actually starts in her music videos. That's rare these days, everything about her is nostalgic",Expresses gratitude and positive feelings about a unique artistic element.
Positive,"It is so deeply gratifying to have Charli not HAVE her moment, BUT CREATE the moment. She's thrilling.",Expresses strong approval and excitement for Charli's performance.
Positive,"I'm a 27 year old straight black man and I love this song. I also like grins, you, and what  I like. What I like is special because I first heard it the summer before I went to college in 2014, I remember being so enthusiastic and happy about leaving my hometown and never having to go back to high school which I hated , yes I know it came out in 2013 but 2014 was when I first heard it . Everytime I hear it the memories and emotions from that summer come back",Expresses deep love for the song and associates it with joyful memories.
Positive,not even a year has passed and I already feel nostalgic for this video 😭,Expresses a strong feeling of fondness and nostalgia.
Negative,i am deeply suspicious of people who don't like charli's music.,Expresses distrust and disapproval of those who dislike the music.
Positive,"1:17 ""Totally waiter vibes"" I'm literally rolling on the floor 😭",Expresses enthusiastic enjoyment and laughter.
Positive,brat era nostalgic will hit HARD,Expresses a strong nostalgic fondness for the artist's previous work.
Positive,"“That city sewer slts the vibe” is so iconic because Gen Z finds SO much appreciation for much of the diversity whether you’re a this or that, we encourage and welcome all stereotypes like confidence is such a vibe to us no matter who or what body you’re in.",Expresses enthusiastic support and appreciation for the comment's celebration of diversity and confidence.
Positive,"Charlie's sassy accent, Rachel's comedy timing and Julia Fox being iconic/mentioned in the lyrics all in one video 😭❤",Expresses strong positive feelings and appreciation for multiple aspects of the video.
Negative,this is depressingly catchy,Expresses a negative feeling about the song's appeal.
Positive,I don’t know how Charli does it but her tunes are always iconic and catchy!,Expresses admiration for Charli’s music as iconic and catchy.
Neutral,giving a early 2000s vibe,Describes the music's style without expressing positive or negative emotion.
Negative,alternate universe where everyone serves cvnt,Contains offensive and highly disturbing language.
Positive,"Not to maaajorly over-analyze, but that model expression is so unique to me. It gives the vibe that she's breaking the 4th wall, aware of the chaos around her, and still acting like she's currently posing for a magazine. It feels like she's still there as a full human person, like we're almost there, and she's not being just an idea or concept or character, she's human but still tapping into a boss part of herself. I think it's unique because most modelly expressions look detached and/or beyond their current situation and tend not to be grounded. I especially love it with the wine chaos going on - she's blinking wildly but she's still slaying. She keeps looking like she's battling the elements, even when there aren't elements to fight, and it's just so cool. Video modelling fr","{""sentiment"":""Positive"",""justification"":""Expresses strong admiration and appreciation for the model’s expressive performance.”}"
Positive,"This song is giving off Lady Gaga Vibes. Particularly the song from the movie A Star Is Born, “Hair Body Face.” Catchy, Upbeat, creative, inventive, unique/distinct, and authentic!",Expresses strong positive feelings and praises the song's qualities.
Positive,dress to impress vibes 3:44,Expresses a positive association with the music video.
Negative,Waiter vibes 💀,Uses a dark and humorous emoji to express dislike.
Positive,"Actually GREAT I LOVE THIS, its like 90's ost games with great tones great sound, great distored 808, but tones overall.. this is where I will go as a producer.",Expresses strong enjoyment and identifies it as an inspiring production.
Positive,I get euphoria vibe.,Expresses feeling of euphoria.
Negative,"""Totally waiter vibes""","Uses 'waiter vibes' to express a negative, dismissive feeling about the music."
Positive,"Wow, what a powerful voice! This artist's vocal range is incredible, and the emotion they convey is just captivating",Expresses strong admiration for the artist’s voice and emotional delivery.
Negative,I'm speechless to explain how awful this is.  So I guess that's a thing.,Expresses extreme dissatisfaction and describes the song as awful.
Positive,The vibes are vibing. All the girls are immaculate!,Expresses enthusiastic appreciation for the song's atmosphere and the performers.
Negative,totally waiter vibes,"Implies a lack of quality and professionalism, suggesting something is subpar."
