classificacao,comentario,justificativa
Positive,the switching between the deep voice and “high” voice is very addicting-,Expresses enjoyment of a specific musical technique.
Positive,"I'm almost 31, Charlie just turned 32 and that is a big reason I've become a fan today because the vibes of her brat album definitely give me those myspace era days  vibes and she gets it. Got it down packed 😭I just love the retro aspect of her and actually being able to feel like you're reliving that era is nice.",Expresses nostalgic enjoyment of the music's retro vibes.
Positive,WHY AM i BLUSHING SO MUCH FROM HEARING BILLIE'S VERSE 😳😳 THIS GOT ME VICARIOUSLY YEARNING 😫,Expresses intense enjoyment and a strong emotional reaction to the song.
Neutral,THEYRE LITERALLY TALKING TO EACH OTHER BUT IN LYRICS FORM IS CRAZZZY😫,Expresses bewildered amusement without strong positive or negative emotion.
Positive,"It’s not a religion, cure for world hunger or peace, just a catchy rhythm accompanied by two female artists at the top of their game. Enjoy it for that folks","Acknowledges the song's value as a simple, enjoyable rhythm while praising the artists."
Negative,"Like ik im late and everything u jus wanna say that the fact i know they are singing about really dirty things the song is such a vibe😭😭😭 like im literally vibing to the part ""i have to GUESS the colour of your underwear..."" 😭",Expresses discomfort and criticism regarding suggestive lyrics.
Positive,This beat goes craaaaaazyyy,Expresses enthusiastic enjoyment of the music's rhythm.
Positive,Unpopular opinion: Billies verse is my favorite.,Expresses a preference for a specific part of the song.
Positive,"1:36 that synth in the drop is fkin nasty, daaaamn, I love it",Expresses strong positive enthusiasm for a specific musical element.
Negative,JoJo needs to take notes,Directly criticizes JoJo’s musical abilities.
Negative,"Lord knows how this got to be ""Song of the Year"" at The Brit Awards. I can't anticipate anybody singing it two or three years from now. Shouldn't endurance still be a test of a song's quality? Even a brief look at the lyrics shows how shallow and self-indulgent ""Guess"" is.  And before anybody has a go at me, I freely admit that I am probably an old fuddy duddy and don't know what I am talking about. I am cool with that.",Expresses strong disapproval and criticism of the song's quality and award status.
Positive,That technological melody hits🎉🎉,Expresses excitement and enjoyment of the song's melody.
Positive,Literally here after seeing Taylor vibe to this song in the grammys,Expresses excitement and enjoyment of seeing Taylor Swift's reaction to the song.
