classificacao,comentario,justificativa
Positive,Kendrick got this one beat with euphoria 👏💯,Expresses enthusiastic support and approval.
Negative,2:14 is the worst decision Drake ever made,Expresses strong disapproval of a specific song segment.
Neutral,drake has melody but kendrick has lyircs,A simple comparison of Drake's and Kendrick's strengths.
Positive,"Ngl, this track is the super catchy",Uses 'super catchy' to express strong positive enjoyment.
Positive,"This is getting better and better, it’s HOT literally the sun is shining in the SOUTH and I can’t bop to a history lesson. Summer Vibes, let’s go!",Expresses enthusiasm and enjoyment of the song as a summer anthem.
Neutral,"Drake's diss was hard, but kendrick beat him. I won't believe the p3do accusations without proof, but drake is falling off. But his disses (for the most part) were not too bad, even if kendrick's is better",Expresses mixed opinions on both artists and accusations.
Neutral,"So, this song is more catchy but Euphoria was more cutting which matters more In a beef. Round goes to Kendrick",Expresses a preference for a different song and a judgment about a 'beef'.
Neutral,All because Drake couldn’t call K-dot and say: “That second verse hurt my feelings.” 😂,"Humorous remark referencing a perceived conflict, without strong positive or negative emotion."
Negative,"No shade, this is trash. Go back in the lab and Rack up some new lyrics...Drake😂😂😂😂😂",Uses harsh language ('trash') and mocks the song's lyrics.
Negative,Idc what no one says Drake beat Kendrick,Expresses disagreement and dismisses Kendrick Lamar's music.
Positive,"Unpopular opinion, Drake is winning this battle rn, beats and raps are better!",Expresses a strong preference for Drake's music and style.
Negative,Damn after hearing Kendrick this shit trash 🤣🤣 I like the beat though,Expresses strong disapproval of Kendrick Lamar's music with sarcastic laughter.
Negative,This is simple compared to what Kendrick just put out. Euphoria sounds better and lyrics hit harder,Compares the song unfavorably to Kendrick Lamar's music.
Neutral,Whos here because no one beats Drake 😅,"Expresses a simple, somewhat boastful statement without strong emotional content."
Positive,"Okay, it's no fucking secret that Drake lost, but that beat is fucking 🔥🔥🔥🔥🔥🔥🔥",Expresses strong enthusiasm and approval of the beat.
Negative,Why he using the same beat for the past 10 years,Expresses dissatisfaction with repetitive use of a musical beat.
Positive,"Kdot won and we all knew he would, but drake rapped better than he has in a long time. He stepped up and even tho he lost he did his thing (aside from heart part 6 and Taylor made 🤢)This my favorite beat of the beef tbh",Expresses support for Kendrick Lamar's performance and enjoyment of the track.
Neutral,Whoever love this one listen Kendrick's control Verse,Poses a question without expressing a definitive opinion.
Positive,This is actually not that bad 😂 I think Kendrick just went a little bit nuts though but this actually had some some beat some fucking content like alright what’s next 😂,Expresses amusement and positive reaction to the song.
Positive,"As a kendrick fan, this is a beat fr",Expresses approval and enthusiasm for the song.
Neutral,"Im a real kendrick and drake fan.. and honestly this song and the other drake song, family matters (ya dead😂) the only songs i keep on repeat. These beats are 🔥.  But i get it.. kendrick is a very gentle yet intense poet. But i wouldnt listen to those songs over again. They are too dark.",Expresses enjoyment and appreciation alongside a critical reservation.
Positive,"I don’t know, maybe it’s because he went after so many people in one song, but I think Drake’s response was much better crafted than Dot’s and more interesting. It’s more creative, wittier, more subliminal, had better beats and thus hit harder in my opinion. It gives off a feeling of being a full production track rather than a diss track. Just not seeing what all the hoopla is about with Kendrick.",Praises Drake's response as more creative and impactful than Kendrick's.
Negative,"Kendrick won 😬 no coming back after euphoria. A lot of y’all are going based off a catchy beat club music and this is a hip hop culture, Kendrick is direct like on some grown man business. Drake’s audience is too young to understand half of what Kendrick exposes through every bar in the song. Kendrick made a real DISS TRACK.",Expresses criticism of Drake's audience and deems Kendrick's track a 'diss track'.
Negative,This is murder 101... Lyrics is damn,Strong condemnation of the song's lyrics as violent and offensive.
Negative,"Imagine if at 1:34 Drake said, “Metro, imma beat yo ahh like some drums nikka”",Contains vulgar language and a disrespectful comment.
Neutral,I think Kendrick’s disses are way better but damn this shits still really catchy,Expresses a mixed opinion – acknowledges catchiness while criticizing the content.
Positive,0:21 Drake in this track is too powerful ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,Expresses strong enthusiastic adoration for Drake's performance.
Positive,Where have these beats been hiding?,Expresses enthusiastic discovery and appreciation for the music's quality.
Negative,This is as hard as Drake can go. He’s cut out for making catchy songs… He cannot battle a real rapper like Kendrick.,Expresses doubt about Drake's abilities compared to Kendrick Lamar.
Neutral,"I'm not surprised that Kendrick rapped better that was a given, but with all Drake's ties I'm surprised Dot's beats was so much better.",Expresses a surprise and comparison without strong positive or negative judgment.
Negative,In my opinion Kendrick song is more of powerful. I’ve always been a fan of Kendrick. Drake is a joke come on he is Canadian rapper. Canadian rapper acting to be hard?,Criticizes Drake and expresses a positive view of Kendrick.
Negative,Aubrey wrote none of these lyrics.,Expresses suspicion and criticism of the artist's authorship.
Negative,"Unfortunately, it's the same vibe as Back to Back. Nothing new creatively. Strike a chord and it's probably A Minor!!!!!! Whewwwwwwwww",Expresses disappointment and criticism regarding a lack of creative innovation.
Negative,"All I hear is ""21 can you do sum for meeee"" 😂 Drake is too fruity for this beat",Uses sarcasm and expresses dislike of the song's lyrics and overall feel.
Positive,Man there is some good lyrics in here and I like the music but Kendrick Lamar cooked this man per line. If you know you know,Expresses appreciation and acknowledges the artist's skill.
Neutral,"""And we need a verse for the swifties"" Aging well",A brief comment referencing a fanbase without expressing a strong positive or negative opinion.
Negative,"All the Kendrick fans came here to hear something that they missed…..nope didn’t miss a thing, Drakes verse is worse after listening to Euphoria 😂😂😂😂",Expresses dissatisfaction and mocks Kendrick Lamar's music compared to Drake.
Negative,"I didn’t hear this before kendrick responded. I was aware of the situation but didn’t care enough to check on it. But after euphoria I had to see what he was responding to. To be up front, I’m a huge Kendrick fan, and I don’t care for Drake at all. BUT, after listening to this track I gotta be honest… this is even worse than I expected. Drake is a so wack it hurts. Once again he just sounds like an actor reciting rap lyrics. This is trash",Expresses strong disapproval and declares the song 'trash'.
Positive,Beat's fucking fire... sad enough is for a drake song 😭😭🙏,Expresses strong positive sentiment about the beat while acknowledging a Drake comparison.
Negative,Honestly i do not know everybody is in to drake he doesnt rap he can bearlyy sing. All his songs sound the same other than the beat. He has no rythym. Then you talk about industry plant,Expresses strong criticism of Drake's music and abilities.
Negative,#theworstrapperintheworld 🌎🌍,Expresses strong dislike and judgment.
Negative,Kendrick just reminds me of the dude at the club that gets in your ear rapping everytime he hears a beat he thinks he can flow to. Yea I hate that guy also lol,Expresses disdain for an artist's perceived arrogance and subpar skills.
Negative,"man ANYBODY who cant acknowledge that this boy destroyed this beat, yall trippin",Expresses strong disapproval and accuses others of 'tripping'.
Negative,Why couldnt kendrick have cadence like drake? His bars on this type beat with better cadence and hed have won it.,Expresses disappointment and criticism regarding Kendrick's flow and delivery.
Negative,“Generic Kendrick slobber comment”,Uses derogatory language to express dislike of the song.
Negative,Drake's flow sends me to sleep 😴 its so repetitive like the rest of his music - everything he does sound the same.,Expresses boredom and criticism of Drake's repetitive style.
Negative,“Recency Bias” is a real ting my guy!! Who ever dropped last is apparently better lol. But if y’all know Drake you know where this is going!!! The only thing upsetting to me is…I knew some p didn’t like Drake and it’s cool.  But to see everyone wanting to see Kendrick dethrone the God is disheartening. Ppl hate whoever is on top. I seen them do it to Mayweather and others. Ppl actually like the fact Kendrick literally said “I’m the biggest hater”???Like wtf??!!! Regardless of how much ppl claim to love you. Use you to help their personal lives and careers. Deep down they really hate you and pray on your downfall. Watching Drakes career taught me that one.,Expresses frustration and cynicism regarding fan preferences and perceived negativity towards successful artists.
Negative,"Super crap musoc, shit rhythm, shit verse.. No swing, totally out of ""tempo"".  Garbage",Strongly criticizes the music as 'crap' and 'garbage'.
Negative,Drake so soft as shit. this is trash waste of a beat,Strongly criticizes Drake's music as 'trash'.
Positive,I think this beat is better but what Kendrick said is way more potent,Expresses preference for the beat while acknowledging the strength of Kendrick's words.
Neutral,"After hearing euphoria, i must say this is ssa. Drake has the beat and kendrick bodied with the lyrical. Beat shit can be played out but KENDRICK SPITTED FACTSSSSS .DRAKE IS QUESTIONABLE WHEN IT COMES TO BEING HOMO ETC SO I MEAN HE DIDNT LIE, HE ALSO DIDNT LIE ABOUT THE SON PART AND ALSO GHOST WRITING.",Mixed opinion with praise for Kendrick and criticism of Drake's sexuality and ghostwriting.
Positive,Beat hard...lyrics hard....classic Drake,Expresses strong positive sentiment and admiration for the song.
Neutral,Danm the beat coming in the beginning was so clean,Minor correction of spelling and a neutral observation about the beat.
