classificacao,comentario,justificativa
Positive,"Her music is so catchy , fun , and relaxing at the same time , she turns everything to gold she touches",Expresses strong positive feelings about the artist's music.
Positive,"Hi, I just listened to your latest song and I must say it's absolutely fantastic. The manner you combine different aspects is truly striking. Each beat resonates strongly and brings forth such a stirring heartfelt response. 😍",Expresses strong enthusiasm and positive feelings about the song.
Positive,Peso Pluma is so versatile. The man sounds good on all kinds of different beats and genres 😮‍💨,Expresses admiration for the artist's versatility.
Positive,Love the disco vibes! AND you <3,Expresses enjoyment and affection for the music's style.
Positive,Kali uchis volvió con su vibe de antes y AMOOOO 💕💕,Expresses strong love and enthusiasm for Kali Uchis's style.
Positive,Que bonita canción como  de ángel !! Buena colaboración esto merece mucho !! Urge un VC felicidades por este gran arte .El lyrics me cautiva hermoso totalmente tan balanceado y te calma bonito las emociones !!,Expresses strong positive feelings and appreciation for the song.
Positive,I like the song. It has an 80’s vaporwave vibe to it.,Expresses enjoyment of the song's 80’s vaporwave style.
Positive,"Peso Pluma demostrando una vez más su versatilidad y creatividad, el flow, el sentimiento y la fusión vocal con Kali Uchis es otro nivel! Sencillamente Espectacular! Rompieron!! Peso Pluma iniciando el año con tremendo Hit! 🔥🔥🔝🌎🥷",Expresses enthusiastic praise for Peso Pluma's skills and the collaboration.
Positive,"Que buen trabajo de la producción en encajar la voz de Hassan en este ritmo, aun aplauso y mi admiración ! Apesar de tener autotune, reverb para una compresión ligera fueron una verga asi venudota en que tenga el tono exacto ! Neta que chingona rola 🔥",Expresses strong praise and admiration for the production and Hassan's vocals.
Positive,"esta canción es igual de hermosa que todas las demás del álbum,por favor apoyen todos los demás tracks y dense una oportunidad a volverse fan de kali uchis aquellos que solo vienen por peso pluma,créanme que no se arrepentirán",Expresses strong positive feelings and encourages support for the artist and their music.
Positive,"No sé si es alt-pop, city pop o synth- pop, solo sé que me encanta!!!",Expresses strong enjoyment of the music without specifying genre.
Neutral,No soy fan de pp pero cumplió su rol y se adaptó al beat no se porque le tiran hate..al contrario apoyen la canción eso suma a Kali y sean agradecidos con los invitados…😊,Expresses support for the song while acknowledging criticism.
Negative,"Vengo a escuchar en el canal de Kali Uchis esta bonita cancion. Me gusto la combinacion, però Kali merece mas las visualizaciones que el acaparador de Peso Pluma, que se llevo todas las visualizaciones con ""Bellakeo"" y NO promovio nada el tema, solo Anitta se preocupo por promoverlo. Es la verdad No es hate, lo juro por Dios, però ultimamente Peso Pluma se ha dejado demasiado influenciar por la pitufina con la que anda, que es evidente que solo busca autopromoverse. Peso esta en otro planeta y no se preocupa por el trabajo, es muy facil tener las visualizaciones para el solo, però en este caso, hay que ser justos porque los fans no somos tontos, Las merece todas KALI  UCHIS. ❤Venganse aqui a escuchar esta cancion. A este canal Apoyemos a Kali, amigos. Si Peso Pluma quiere seguir de tontito promoviendo a esa nefasta que ni canta y solamente lo usa, alla el. Venga, Kali ❤ mas musica y exitos para ti 🎉🎉",Expresses frustration and criticism towards Peso Pluma's popularity and lack of promotion.
Negative,La 2p tiene mas reproducciones en un par de dias que los regetoneros. Quien es quien en las mentiras jjajajaja,Expresses disbelief and mockery regarding the artist's popularity compared to reggaeton artists.
Positive,I don't know what they're saying but it's catchy!,Expresses enjoyment of the song's catchiness.
Positive,I feel the vibe 💕💕 uuuuuu❤️‍🔥🔥,Expresses enthusiastic enjoyment with heart emojis.
Neutral,Esperando el comentario con las lyrics 😅,Expresses anticipation with a neutral emoji.
Positive,Kali = I love you ❤ your voice is beautiful and this lyrics are perfect,Expresses affection and describes the voice and lyrics positively.
Positive,La forma en la que PP entra al beat🤯,Expresses amazement and excitement about the song's rhythm.
Positive,this song is fire !!!!!!! 😭 I can't stop listening to this song even though I don't understand the lyrics,Expresses strong enthusiasm and inability to stop listening.
Negative,I feel like this ain’t peso’s kinda beat that he likes and it kinda sounds weird like not even Spanish in this in my opinion it’s not a good song,Expresses dislike and considers the song poorly executed.
Positive,You have a great talent shines through in every note and beat. I'm truly impressed by the creativity and skill you've put into your compositions. Keep rocking and spreading your incredible sound with the world! 👍,Expresses admiration for the artist's talent and creativity.
Positive,"Kali, esta es mi canción fav de Orquídeas 💖💖🫂🫂 tiene una vibe tan bonita wuu",Expresses strong affection and enjoyment of the song.
Positive,I love how fun and light hearted the vocals and video🎉,Expresses strong positive feelings about the vocals and video.
Positive,"It has an MJ, Bruno Mars vibe to me, Colombiana style. A song for easy moments.","Compares favorably to established artists and describes a relaxed, enjoyable listening experience."
Positive,La forma en la que Peso Pluma entra al beat 🤯,Expresses amazement and excitement about Peso Pluma's entrance into the beat.
Positive,"Struggling to cope with Spanish and slowly learning, but holy moly this song is a whole vibe",Expresses enjoyment and positive feelings about the song's 'vibe'.
Positive,At my age (50’s) I like the rhythm of this song,Expresses enjoyment of the song's rhythm.
Positive,Cuddle with your baby vibe right here…. Yesssss!,"Expresses enthusiastic enjoyment and a warm, comforting feeling."
Positive,"Making it my personal fucking mission to like and comment on every Kali song/video from soundcloud and youtube to show my DEEP fucking love and support for her and her growth (besides buying her products or concert tickets) *as long as the system lets me and stops deleting my comments, or maybe im dumb for posting the exact same comment on multiple videos in a short time frame so im just going to change one letter at a time and see if it works. o",Expresses intense enthusiasm and dedication to supporting the artist.
Positive,i dont understand the lyrics but im living so hard for this song,Expresses enjoyment and commitment to the song despite not understanding the lyrics.
Positive,"THIS IS Amazing you guys, its giving 2014 vibes.",Expresses enthusiastic enjoyment and references a positive year.
Negative,"Peso Pluma fez mais feat com mulheres em pouco tempo, do que a Shakira em 60 anos de carreira",Criticizes Peso Pluma for excessive collaborations with women compared to Shakira's extensive career.
Positive,"En cuanto a pronunciación no le entiendo en ciertas partes, supongo que es parte de su personalidad vocal, pero en cuanto a arreglos en las voces y la melodía, me sorprende como domina muy bien, ni que decir de peso pluma saliendo de la zona de confort, el bajista un genio, definitivamente hay buenas producciones",Expresses appreciation for vocal complexity and musical talent.
Positive,such a vibeee,Expresses enthusiastic enjoyment of the song.
Positive,Love that 70s vibe,Expresses fondness for a specific musical style (70s vibe).
Positive,Kali Uchis just know how to make songs with a good vibe 😩😩,Expresses enjoyment of the song's positive vibe.
Positive,the vibes from this are immaculate 🤌🏻🤌🏻,Expresses strong positive feelings using an emoji.
Negative,Mierda... Hasta que le sacan provecho al Autotune... Qué lindura de canción 💗,Expresses disappointment and criticism of the song's reliance on Autotune.
Negative,Autotune at its finest wack!!,Expresses strong disapproval of the use of autotune.
Positive,AQUÍ EL BEAT LO ES TODO 😮,Expresses strong enthusiasm and excitement for the beat.
