classificacao,comentario,justificativa
Positive,She's got a song for almost every situation I swear! I enjoy artists who're able to be diverse and multi-facet when it comes to them being able to express themselves in their art in different ways.,Expresses admiration for the artist's versatility and range.
Positive,"The drums, the beat drop and the hype just makes you want to run through a wall, I never thought me, a grown straight man would have something in common with my niece",Expresses enthusiastic enjoyment and excitement.
Positive,This is giving me 2000s punk rock vibes. I love it,Expresses fondness for a specific musical style.
Positive,this mv gives off 2000s-2010s vibes in the BEST way!!,Expresses strong positive feelings about the music video's nostalgic aesthetic.
Neutral,The lyrics to this perfectly illustrate a condition called Retroactive Jealousy which is something we help people with,Provides an observation about the lyrics without expressing a positive or negative emotion.
Positive,She’s such a good actress - she conveys emotion so well,Expresses admiration for the artist's acting skills and emotional conveyance.
Positive,She is the next POP Rock ICON!! What an amazing concept and catchy song for me.,Expresses enthusiastic praise and enjoyment of the song.
Positive,"1:00 im getting such strong ballad of monalisa vibes, love it🖤","Compares the song to a beloved ballad, indicating strong positive feelings."
Positive,"This video is genius, this song is so unique and I’m obsessed with her emo vibe! She’s giving young Winona Ryder in this",Expresses strong enthusiasm and admiration for the artist's style and music.
Negative,CAN YOU STOP MAKING RELATABLE SONG?????😭😭😭 I'M LITERALLY CRYING SO HARD ABOUT THE LYRICS OMG,Expresses intense frustration and sadness regarding the song's lyrics.
Positive,"If there's one thing I love about Olivia's music videos it's the aesthetics. The costumes, ""rock"" songs, film filter etc that really sell these nostalgic, aesthetically appealing vibes I get. I don't know how to better explain it but just good job on everyone involved ❤",Expresses appreciation for the visual aesthetics and overall quality.
Positive,I love these Rock vibes that Olivia gives with every song more and more. And i live that she tells different stories many people can relate. Love this craziness! Loved the video and song❤,Expresses strong enjoyment and appreciation for the artist's style and storytelling.
Neutral,This has such a 2000s music vibe,Expresses a nostalgic comparison to music from the 2000s without strong positive or negative emotion.
Positive,"This is just so damn good. I'm 40, and let me tell you, this is a strange emotion that only MOSTLY goes away after real, long term commitment 😂 It goes from obsession to awareness maybe? But the sashes are forever lmao",Expresses strong enjoyment and a memorable experience.
Positive,Love her how she makes lyrics so relatable. ❤,Expresses affection and appreciation for relatable lyrics.
Positive,"Insane 2003 MTV Pop-Punk vibes both the video and the song, absolutely fucking love it",Expresses strong positive feelings and enthusiasm for the song and video.
Positive,Love these rock vibes,Expresses strong enjoyment of the 'rock vibes'.
Neutral,She’s giving Wednesday vibes,References a specific aesthetic/style without expressing a strong positive or negative opinion.
Neutral,Can you make another music like drivers licence and traitor vibes again?,Expresses a desire for similar music but without strong positive or negative sentiment.
Positive,this songs such a vibe,Expresses a positive feeling about the song's atmosphere.
Positive,This song is a vibe,Expresses positive feelings and enjoyment of the song.
Positive,"YOURE LITERALLY IN MY HEAD... THE LYRICS...THE ENERGY, THE CRAZE...THE INSANITY",Expresses intense excitement and positive feelings about the song.
Positive,This song is such a vibeee✨️✨️,Uses enthusiastic language expressing strong positive feelings.
Positive,Olivia is a vibe trust me,Expresses a positive and enthusiastic appreciation for Olivia.
Negative,"coming back to this music video, #THATGIRL could never beat olivia rodrigo.",Expresses a dismissive view of the song compared to Olivia Rodrigo.
Positive,Tryna listen for Chappell’s backing vocals!!!,Expresses appreciation for the backing vocals.
Positive,Olivia always beats it!!❤‍🔥,Expresses enthusiastic love and excitement.
Negative,Olivia is giving gay vibes with this one,Implies a negative association with the song based on the term 'gay vibes'.
Positive,Omg Olivia so much emotions you are so talented and incredible❤,Expresses strong admiration and affection for Olivia.
Positive,Good vibes!,Expresses positive feelings and enthusiasm.
Positive,The overflow of emotion that's always present in Rodrigo's song👍👍👍,Expresses enthusiastic approval and support for the song.
Positive,"I love Olivia and I love this fricking song,even if you don't relate to the lyrics,you can easily feel the frustation and the insecurity, It happens the same with most of Olivia's songs, that's why I love her music ❤",Expresses strong enjoyment and appreciation for the song and artist.
Neutral,"I can definitely relate to her lyrics and now i certaintly feel its ok to feel this, fck.",Contains a strong expletive alongside an expression of understanding.
Positive,What a beautiful funny song. Every emotion is so clearly worded. Supppppeeeerrrrbbbb❤❤❤❤❤❤,Expresses strong positive feelings and enthusiastic enjoyment.
Positive,❤ love the relatability of her lyrics,Expresses fondness and appreciation for the song's relatable lyrics.
Positive,Love the rock vibes!!,Expresses enjoyment of the song's rock style.
Neutral,The main chorus kinda sounds like telephone by Lady Gaga and Beyonce.... Just me???,Identifies a similarity to another song without expressing strong positive or negative feelings.
Positive,I’m so obsessed with your exe so catchy right,Expresses strong enjoyment and appreciation for the song's catchiness.
Positive,i love this music video!! like i wish “get him back” had a similar vibe,Expresses strong enjoyment and desires a similar stylistic approach.
Negative,This song is annoying,Expresses strong annoyance and dislike of the song.
Neutral,I’m only here for the Alt/Rock vibes.,States a specific preference without expressing positive or negative emotion.
Positive,The moves makes me emotional,Expresses a strong positive emotional response to the video's choreography.
Positive,God damn whatever guy has all these girls as his exes must be the most attractive dude in the universe,Expresses admiration and positive sentiment towards the artist.
Negative,She did it again. Olivia somehow managed to be more generic than Taylor Swift. She carefully handpicked another one of the most generic situations in life and is pretending she wrote and filmed a masterpiece. The delusion is beyond. And the people who likes her music are the most basic I ever witnessed in my lifetime. That's impressive. What a load of shit.,Dismisses Olivia's song as generic and insulting to listeners.
Neutral,It's giving me Avril Lavigne vibes❤❤ love it❤️,"Compares the song to Avril Lavigne, indicating a similarity without strong positive or negative sentiment."
Positive,This gives me 90’s Garbage and Courtney Love vibes. ❤,Expresses positive association with the music of 90s artists.
Positive,The classical rocker vibe we love ❤,Expresses fondness for the song's style.
Negative,I feel this Lyrics so much (unfortunately) 🥲,Expresses a negative feeling associated with the lyrics.
Positive,The most emotional yet beautiful song on Olivias channel,Expresses a positive and appreciative sentiment regarding the song's emotional impact.
Negative,"When her music is good, it's really good but too bad when it's bad, it's some of the worst out there like this song. This song is so cringe in every way possible",Expresses strong criticism and disgust with the song's quality.
Positive,"This is very Michelle Branch, the music video is giving me Whip IT (2009) vibes and I’m here for it",Expresses enjoyment of the song's similarity to Michelle Branch and appreciates the music video's nostalgic reference.
Positive,"..the life of every fucking party. I've got issues.....  Hahahaaaa!!!!😂❤🎉🎉 LUV this song & others. Esp. when idoL #oliviarodrigo cusses swears.. so real. Like most of us do. HahaHaaa!!!!! LUV this song, video, lyrics.. & many of her songs. Our #philippines' #princess ❤️ 😊 🥰 🎉💜 💜💜",Expresses strong enjoyment and affection for the song and artist.
Positive,Chaotic and emotionally raw. I love it.,Expresses enthusiastic appreciation for the song's chaotic and raw qualities.
Negative,Ewwwww the lyrics are soo cheap,Expresses disgust and criticism of the song's lyrics.
Positive,"The best song I've ever heard in my entire life, nothing beats this song.",Expresses overwhelming enthusiasm and superlative praise for the song.
Positive,"Hi Olivia, not sure if youll see this but I heard Fefe Dobson's Shut up and Kiss me and I can hear you singing it. It has the same vibe with some of your songs.","Compares Olivia’s music to Fefe Dobson, indicating a positive association."
Neutral,1:26 im obsessed with the way she blows the kiss so annoyingly but kindly at the same time ❤😘,Expresses a slightly conflicted feeling - fondness mixed with mild irritation.
Positive,Finding this now has been a GIFT! This is a vibe. The vibe. 🔥🔥🔥,Expresses enthusiastic enjoyment and excitement.
Positive,"Catchy, witty, sexy, kinda heavy......I'm impressed",Expresses strong positive feelings and admiration for the song.
Negative,i dont see how everyone else isnt cringing at the lyrics.,Expresses discomfort and criticism of the song's lyrics.
Neutral,She reminds me of Em Behold and a 2000's favorite called Poe. She has the same style as EB but a lower tone in singing when doing serious lyrics just like Poe.,"Offers a comparison to two artists, noting similarities and differences without strong emotional tone."
Positive,She is the next POP Rock ICON!! What an amazing concept and catchy song for me.,Expresses strong enthusiasm and enjoyment of the song.
Positive,OMG I AM LOVE IT GIVES OFF BRUTAL VIBES!!!!!!!!!,Expresses overwhelming enthusiasm and positive vibes.
Neutral,"That first half of the chorus, what does it remind me of?","Expresses curiosity and a vague, unresolved feeling without a clear positive or negative judgment."
Negative,worst music in the world trash music,Expresses strong disapproval and labels the music as 'trash'.
Positive,"In addition to all of the other amazing qualities, performance, aesthetic, voice, look, smarts,  Imma jus gonna say that Livvy might be the greatest poprock songwriter of ALL TIME. These lyrics are profound poetry, every damn song. Especially this one!",Expresses overwhelming admiration and declares Livvy a genius songwriter.
Positive,WHY IS THIS SO NOSTALGIC NOW..,"Expresses a warm, positive feeling associated with nostalgia."
Positive,Olivia can you please please please🙏 make a song about me i love u so much my name is harmony love u olivia your the best and im so obsessed with u   i listen to your songs every day love u liv love u liv your the best,Expresses overwhelming adoration and a fervent wish for a personalized song.
Positive,Cleaning up the mess the exes made with a vacuum in the end is such a vibe😂,Expresses amusement and enjoyment with a positive association.
Positive,I'm so obsessed with it I love it it's giving me rock Vibes I I can't stop listening to it❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,Expresses intense enthusiasm and enjoyment of the song.
Positive,WHO SAID I CANT WEAR MY CONVERSE WITH MY DRESS-,Expresses defiant joy and confidence.
Positive,legendary lyrics,Expresses high praise for the song's lyrics.
Positive,"Damn, I feel seen. I remember dating a dude, and even though we were together, I was obsessed with his ex because I was afraid she would come back and take him away. It's a terrible feeling. It comes from insecurity and low self-esteem but is real and painful. I would put on red lipstick; sometimes, my face would morph into hers in the mirror. I am no longer with that dude, and I am finally working on myself, and I overcame her. This song feels like she wrote it for me. I know it's not true, but it feels good to TRULY relate to her lyrics and music.",Expresses a deep personal connection and positive emotional response to the song.
Neutral,Tone like telephone by lady Gaga 🤔✌️,Comparison to another song with similar characteristics.
Neutral,Fãs do Justin Bieber e Selena Gomez tão nessa vibe,"States a shared 'vibe' among fans, without expressing a positive or negative opinion itself."
Positive,Good vibes to start a new year! SO MUCH PUNK! WOW!! NEVER EXPECTED THIS!!!,Expresses excitement and enthusiasm with strong positive language.
Positive,"Love this song….. the concept, the vocal performance, the instrumentation, the production. On Point",Expresses strong appreciation for various aspects of the song.
Neutral,Why did it give vibes like deja vu but karma hits version...??!,Expresses a confused observation about the song's resemblance to another track.
Neutral,Uma vibe 2010's,Expresses a nostalgic reference to a specific era without strong positive or negative emotion.
Positive,Giving jealousy jealousy and brutal vibes I love it!!,Expresses strong enjoyment and admiration with enthusiastic praise.
Positive,I keep listing to you it feels like iam so obessed with olivias vocals,"Expresses a strong, positive feeling of obsession with the artist’s vocals."
Negative,worst song so far,Directly expresses a negative opinion about the song.
Positive,damn!!! some of the lyrics really hit me hard,Expresses a strong emotional impact from the lyrics.
Positive,Love the vibes,Expresses enjoyment and appreciation for the song's atmosphere.
Positive,0:26 the prechorus always gets me so hype,Expresses excitement and positive feelings about a specific part of the song.
Neutral,did anyone else know that chappell roan was background vocals for this song?,Shares a factual observation without expressing a positive or negative opinion.
Positive,Never miss a beat left no crumbs amazing I loveeee,Expresses enthusiastic enjoyment and praise for the music.
