classificacao,comentario,justificativa
Positive,"There is something in the feel of the music, the rhythm, the vibe of this song, is so comforting, freeing, in it's frequency that allows you to flow with it and enjoy the moment, that will carry you to the next, while you embrace the greatest gift of all .. the right here .. right now.",Expresses profound enjoyment and a sense of peace and connection with the music.
Positive,"The real emotional shudder in his voice sang in, this 9 to five ain’t working, we all felt that!",Expresses empathy and shared experience regarding the song's theme.
Negative,I still don’t understand how Beyoncé beat this guy to a Grammy this is an absolute banger of a tune,Expresses frustration and disbelief at the Grammy winner.
Positive,Hey man I'm as white and southern as they come deep Louisiana and you are a legend. The violin is a nice touch also. Thanks for reviving music for a cinder of time brother,Expresses admiration and appreciation for the artist and their work.
Positive,Most catchy song ever man,Expresses strong positive sentiment about the song's catchiness.
Negative,He beats Beyonce's horrible album,Strongly criticizes Beyonce’s album as ‘horrible’.
Positive,Definitely catchy,Expresses a positive assessment of the song's catchiness.
Positive,"I like how this song uses no vulgarity, plain old lyrics. That is fun and music to beat.",Expresses enjoyment of the song's lack of vulgarity and its suitability for dancing.
Positive,I love it even more because he's a Nigerian of origin. So Naija people apart from afrobeat can be great country singers ♥️♥️🇨🇲,Expresses strong positive sentiment and appreciation.
Positive,It was my groomsmen walk out song. Felt like it represented all the times I drank with them lol. Just good vibes and good drinks 🍻🍻🍺,Expresses enjoyment and positive memories associated with the song.
Positive,"""To the one reading this, though our lives may never intertwine, I send you my deepest wishes for happiness, growth, and fulfillment. May your journey be filled with endless possibilities, and may you always find the courage to chase your dreams. May life surround you with love, and may luck be your constant companion, lighting your way through every challenge.""",Expresses heartfelt wishes for happiness and fulfillment.
Positive,Feeling the vibe🎉❤❤❤🎉🎉🎉1st best singer,Expresses enthusiastic enjoyment and strong positive feelings.
Positive,I love this song. It's upbeat . Here from the Southwest.,Expresses clear enjoyment of the song.
Positive,We heard this song every time we got in the car when we visited Ireland this past year. Catchy tune and it takes me back to the backroads of Ireland. Love it!,Expresses fondness and nostalgia associated with a specific memory.
Positive,"What a fun song....great beat!!!  ""It's getting kinda late, but the ladies want some more, ""oh my!!! good LORD""  <----------Love that",Expresses enthusiasm and enjoyment of the song.
Positive,Such a talented young man. And so many of us senior love this catchy tune. And the artist too.❤❤❤❤❤❤❤❤❤❤,Expresses admiration and enjoyment of the song.
Positive,"6 months sober and this song stays on repeat not because I want to or miss drinking but because this song is a banger!!! Cheers to all those enjoying this song either with Jack, John, Jim or stone cold sober!!! 🤘💪♥️!!!!!",Expresses strong enjoyment of the song and celebrates its appeal.
Positive,The Vibes to this song is The best ‼️😊🎵,Expresses strong positive feelings about the song's atmosphere.
Negative,"Absolutely one of the worst songs ever made. Annoying voice, annoying sound, awful.","Strongly condemns the song as terrible, annoying, and of poor quality."
