comment,user_name,date,likes
"""WHO"" has surpassed 1.8 BILLION streams on Spotify becoming the Fastest song by an Asian Artist to reach this milestone. Congratulations Jimin !!!",@Jiminophilia,2025-05-23T20:24:32Z,46
Bu klipte Jimin'in ayrı bir vibe ı var,@-Eliff--,2025-04-29T17:15:19Z,28
Jimin’s control and tone in Who prove he’s on another level vocally,@Aseel-mg3im,2025-05-21T22:21:46Z,26
"I am so impressed with the high baritone pitch this young, excellent Korean singer can reach in this song. He deserves to have a fantastic and successful solo carrier. I honestly believe every singer in the  BTS group is an extraordinary singer and dancer. Thank you for sharing.",@kjfgg6114,2025-05-21T01:55:40Z,22
Once yoongii said Jiminshi your vocal tone and voice texture are unique and different ♡♡,@Drshooky-bl2qw,2025-07-09T15:09:15Z,20
"Jimin is perfect, the vocals are wonderful, the dancing is incredible, he is truly an artist, proud to be his fan, let's go 100M in WHO",@Jimin_my_life,2025-04-10T13:52:45Z,19
"it's giving 2000s vibes but modernized, love it",@krowkovtuber,2025-05-26T11:30:39Z,19
Jimin is the best dancer and vocalist!!!!,@thvxshu,2025-08-03T07:04:22Z,18
"Excellent song, pure lyrics and fantastic vocals. Great job!",@kjfgg6114,2025-04-19T18:56:52Z,18
This lyrics really hits different 💝🫀,@AslamHasan-bz2jn,2025-05-01T15:48:28Z,18
Jimin on weverse ㄒ ㄒ♡,@SnezhaSnow7,2025-04-18T04:09:47Z,18
Jimin's vocal are no joke,@Jjhihohjbbj,2025-08-09T09:46:17Z,18
"This is absolutely beautiful. Jimin's voice, the emotion, the visual - the whole MV is such a vibe. So proud of Jimin",@Sunny-w8m6j,2025-05-31T15:11:10Z,18
Jimin best vocal,@Lua-y3n,2025-07-11T11:39:50Z,17
"Jimin never disappoints his vocals, his expressions, the choreography everything hits so deep. You can feel the emotion in every move and note. Truly an artist in every sense",@Aseel-mg3im,2025-05-08T07:03:36Z,17
Jimin best vocal,@Lua-y3n,2025-05-04T15:43:55Z,17
The background tornedo and fireworks are representation of inside of us when Jimin hits the high notes,@trishankidutta5643,2025-05-03T17:14:49Z,17
Wanna give him another hundred million milestone and so much more...,@Still_Tannies01,2025-04-08T07:09:14Z,16
Park Jimin surpassed 900 million streams on Spotify in 2025. This is his 3rd consecutive year reaching this milestone on the platform! He did this in 2025 with no new releases. Power to Park Jimin.,@Shell-l7p,2025-05-28T23:32:29Z,16
"57 days and we'll see again this charming and handsome man back, the man with the most unique voice in the universe, with Jungkook, V and RM too. And in 67 days, all our family will be reunited again. Really excited. I hope the time for you really flies.",@pilaraneiros6309,2025-04-15T18:24:46Z,16
Don't know why this song makes my heart beat... SUCH A MASTERPIECE...,@KimByeol2,2025-05-18T11:27:55Z,16
"His vocals, the visuals, the meaning everything about this MV is perfection",@Aseel-mg3im,2025-05-04T07:38:29Z,16
I love the vibe of jimins songs because they are always on a similar topic but always different enegry his voice changes in every song the vocals aren't a joke at all love you bruh,@BarinaKhan-t8e,2025-04-15T19:10:03Z,15
Who's here to see BTS's and their solo's reach MILESTONES ? LET'S GO 200M....FIGHTING ARMY FIGHTING !!!!!,@babytiger0x0,2025-07-29T11:00:39Z,15
el vocal de jimin es increíble,@aslyromero4159,2025-05-28T23:59:00Z,15
Jimin best vocal,@Lua-y3n,2025-06-05T13:25:54Z,15
"Jimin's gentle , soft yet powerful vocals....are no joke 💜",@vaidehishinde9652,2025-06-16T17:46:27Z,14
Jimin best vocal,@Lua-y3n,2025-06-23T14:00:46Z,14
A voz 100% vocal 100% corpo 100% lindo e maravilhoso 100% e a música dele 100% ele é todo 100% 💜💛🐥🐰🐣🐇,@ludwoy6229,2025-07-14T14:34:27Z,13
I listen to this today and i get reminded of the feeling i felt when it was released. I still cant believe i was there on weverse watching this the minute it was released!!!,@iselareyes11503,2025-05-29T18:51:44Z,13
Keep on coming back for that 1OOM milestone poster...,@Still_Tannies03,2025-04-09T16:16:14Z,13
Jimin best vocal,@Lua-y3n,2025-06-30T14:21:38Z,13
Jimin’s vocals are so amazing in this💜,@ChrissieFedro,2025-07-18T21:08:28Z,12
Jimin best vocal,@Lua-y3n,2025-08-04T12:24:05Z,12
Jimin best vocal,@Lua-y3n,2025-06-04T11:11:17Z,12
Jimin best vocal,@Lua-y3n,2025-07-14T13:28:48Z,12
Thanks everyone who's watching and helped to reached this milestone. Lets keep doing best to support jimin,@rekhamaurya328,2025-04-11T04:01:39Z,12
Jimin!! This is awesome man those high notes you hit wow 💜,@NotLucyBurnham,2025-08-04T20:54:00Z,11
"In the depth of my heart Jimin, deserve every award in this world. MUSE ALBUM, is astounding. Jimin Park, has proven himself wholly superior with outstanding talents. His talents are without equal or peer. I would choose Jimin, the true king of pop a thousand times with every passing moment. His voice is my serenity and my warmth. In the embrace of his vocals l finally feel whole. I can't hold my tears....",@1jewelofAkind7,2025-04-30T13:57:07Z,11
"un cantante popular no es algo que se pueda lograr sólo bailando y cantando bien. Hay muchas personas que son excepcionalmente buenas cantando, pero cosas como el tono vocal y el encanto son lo más importante. Jimin-nim puede llegar a este punto porque tiene un encanto tremendo",@GeGiOdse,2025-04-09T22:40:33Z,11
he slayed it and has officially broken records with this song beating even dynamites - who has now stayed on U.S billboard hot 100 for 32 weeks lets keep on supporting Jimin and stream his songs,@Yashikedia-f9t,2025-06-02T18:00:14Z,11
Jimin best vocal,@Lua-y3n,2025-06-17T12:37:59Z,11
26 dias passam voando! Preparemos nossos corações para a imensa felicidade que será rever a Jimin depois de um longo tempo!,@irArmy1306,2025-05-15T10:32:59Z,11
"WHO is a kind of song you can play on repeat and discover something new every time - a vocal detail, a beat drop or a subtle harmony",@Still_Tannies01,2025-07-09T08:54:52Z,11
Jimin best vocal,@Lua-y3n,2025-07-01T10:01:24Z,11
The choreography in ‘Who’ is mesmerizing each step a testament to Jimin’s unparalleled ability to convey emotion through dance,@Aseel-mg3im,2025-05-20T22:42:51Z,11
Jimin best vocal,@Lua-y3n,2025-07-17T11:47:08Z,11
Meaningful lyrics!!,@elveenawilton540,2025-04-04T14:32:08Z,10
"dance,vocals,visuals,lyrics everything is perfect ",@taekookreader,2025-06-16T07:49:17Z,10
"The vocal, the vibee is just ✨✨✨ i love you jiminaaa",@BSKSNIPERGODS,2025-06-22T00:19:08Z,10
"This video is a perfect fusion of stunning visuals and powerful storytelling, every frame feels intentional, and the music only amplifies the emotional depth. It's not just a video, it's an experience.",@UyênPhươngHứa-n3f,2025-06-15T12:30:23Z,10
"What a beautiful song ,its easy rto connect the lyrics and melody . his simply flowing and catchy. 💜💜💜💜💜",@rona-m11,2025-05-21T15:01:27Z,10
Jimin best vocal,@Lua-y3n,2025-07-09T10:55:32Z,10
His vocals is amazing!!!,@NaziyaBano-c9c,2025-04-17T04:04:03Z,10
Jimin best vocal,@Lua-y3n,2025-07-24T13:22:45Z,10
"The choreography, the lyrics, the song, the singer everything is fire.",@hanieexx,2025-05-13T13:46:14Z,10
"Mi bellísimo baby mochi, estoy feliz de que hayas actualizado en weverse , además eres tan adorable al responder los mensajes de algunas bendecidas y afortunadas Armys !!!",@rosariohaydeemoreyra4369,2025-04-18T05:59:16Z,10
"Jimin's voice is so powerful here, just like a Main Vocalist. Tbh, he isn't lead vocal to me. He is the 2nd MAIN VOCALIST of BTS! JK is the best singer technically, but Jimin stands out more in vocal color, high notes, head voice, and emotional delivery.",@filterpjm13,2025-05-24T22:33:11Z,10
Jimin vocal are amazing,@TulasiLama-q9e,2025-05-19T14:51:45Z,10
Jimin best vocal,@Lua-y3n,2025-06-27T14:00:36Z,10
JlMlN-100%                                                          vocAL-100%                                                         DANcE-100%                                                         l LovE YoU JlMlN,@MalishaBTS7,2025-05-31T14:52:43Z,9
"this song, this choreo is just perfection, nothing can beat it",@fairyqueen_97,2025-05-02T03:17:12Z,9
"Such a catchy song, LOVE IT!",@dianachang2613,2025-05-22T14:45:17Z,9
"Me encanta escuchar esta canción, automáticamente mi cuerpo empieza a moverse al compás de la música 🎵",@marisolayala1121,2025-04-11T01:49:30Z,9
Jimin best vocal,@Lua-y3n,2025-05-22T10:28:37Z,9
Jimin best vocal,@Lua-y3n,2025-07-23T12:05:48Z,9
I love you Jimin! You definitely got my vibe.,@jimintulip,2025-06-15T01:34:09Z,9
The beat of this song 🤩🤩🤩,@immunity3282,2025-06-18T17:20:33Z,9
His vocal ate!! JIMINAAhhhh you nice keep goinggg~,@Daej.oy13,2025-05-16T05:34:05Z,9
"This man and his voice. Normally I do not like when artist hold long winded notes. But with Jimin it has become my favorite part. It wasn’t a gift handed to him, he has sculpted this voice with hard work and heart. No one else has this voice. I love all the members and also know and appreciate the hard work and talent of each one but Jimin voice has my heart. Suga is my bias. I am a multi and like many artist in many genres but BTS rises above them all because of their connection to each other and their individual talents.",@VI-PortugalExpat,2025-05-17T09:11:40Z,9
I love this song so much that I memorized it. It's my favorite song and also my phone's ringtone when it rings. I really love Jimin very much. 😭😭💓✨🇹🇳,@ParkSoujin-bts,2025-06-28T00:18:31Z,9
I love those lyrics,@SweetPotato-n9y,2025-05-05T10:50:54Z,9
Jimin best vocal,@Lua-y3n,2025-05-09T10:19:11Z,9
increase the streams of who on spotify and the views on youtube let's make the audio of who surpass 200M on youtube music and let's make who beat 2B and the mv of who 150M in a year let's fight for jimin and remember there are 3 songs missing from the muse album to bager 100M,@francielenovais4093,2025-04-08T09:17:07Z,9
My heart beating for u jimin,@purplefox111,2025-07-22T19:26:30Z,9
The rhythm makes me dance really hard,@SimoneLuiz-s8s,2025-06-19T07:29:47Z,8
"Jimin is the definition of perfection vocals, dance, visuals!",@Aseel-mg3im,2025-05-12T13:43:06Z,8
Ovvvv  The tempo of this song is high.,@SiyYaa-c8p,2025-07-24T13:22:36Z,8
Jimin best vocal,@Lua-y3n,2025-05-29T10:35:16Z,8
Jimin best vocal,@Lua-y3n,2025-05-30T13:31:16Z,8
Jimin best vocal,@Lua-y3n,2025-06-10T14:00:34Z,8
"ANOTHER MILESTONE COMING REAL SOON, BTSxARMY WIN NO MATTER WHAT!! 😆✊",@hanhdiemta7992,2025-04-11T05:31:27Z,8
"beautiful song, the melody and music are beautiful, and Jimin's singing is wonderful. This song is a masterpiece.Jimin's hair and style are beautiful.",@dynyz7,2025-05-14T05:52:16Z,8
Jimin best vocal,@Lua-y3n,2025-04-29T11:49:39Z,8
"I'm from Uzbekistan 🇺🇿. Your song “Who” touched my heart so deeply. Every time I listen to it, I feel hope and inspiration. Because of you, I dream of going to Korea and seeing you perform live one day. Please consider having a concert in Uzbekistan too — there are so many ARMYs here who love and support you! 💜",@leeyuri.10s,2025-06-18T07:22:36Z,8
Our 100M milestone poster is ready & waiting to be revealed...,@ARMY_STREAM_TEAM,2025-04-09T23:18:55Z,8
