comment,user_name,date,likes
"I can’t get enough of Seven! No matter how many times I watch it, I’m still in awe of its beautiful melody and MV.",@JungkookScener,2025-03-21T01:53:31Z,130
Soo beatifull,@Fidanqww,2024-08-29T19:16:00Z,75
"All the awards that JK won for his hard work are still not enough to repay him for his music, wonderful vocals, sincere heart and smile.",@maja9091,2024-10-24T23:16:12Z,70
EVERY ORIGNAL HAD ITS CHEAP COPY BUT NOTHING CAN BEAT THE OG! SEVEN THE BEST EVER KPOP SOLOIST MV,@aasheeeeh,2025-01-31T15:33:19Z,59
"I enjoy SEVEN SEVEN days a week. Life’s weight is unavoidable.  Just do it. Enjoy whatever you can. Music is beautiful and powerful. Let’s listen to SEVEN and support Jungkook. The amazing soloist Jungkook brings happy moments to us music listeners. Thanks, Jungkook, the beautiful artist !! Let’s GO !! Music listeners !! SEVEN is happy .",@loveofmusic4854,2024-07-26T18:57:04Z,58
"Everything about this... the song, the singer, the rapper, the music video!!!!  The universe aligned to give him the best solo debut!",@imavy,2024-07-25T17:01:59Z,42
"December SEVEN 2024 is still lovely with this song SEVEN. Jungkook’s singing voice is beautiful and I like ocean. My devotion to Golden Jungkook is deeper than the ocean. Whether it’s raining shining snowing, SEVEN Golden Jungkook is loved.  Stay warm.",@loveofmusic4854,2024-12-07T18:06:06Z,33
"Jungkook’s generosity is truly admirable. His donation will not only bring relief to those who lost their homes but also support the brave firefighters who risk their lives in disaster zones. Acts like this show his kindness and deep sense of responsibility, making a real difference where it matters most. He continues to inspire with both his talent and his heart.",@mainpopboyjeon2,2025-03-28T13:02:37Z,33
Jungkook is the best. Honestly Jungkook’s voice makes any song better. Emotional descriptions are super with Jungkook’s singing.  Jungkook’s vocal power is immense. Jungkook is the best.,@loveofmusic4854,2024-07-19T05:07:10Z,32
"No one's doing it like Jungkook. Vocals, Visual, Vibe ___ KING behavior!",@kim-munazza,2025-05-20T05:53:07Z,27
SEVEN is deeply widely loved  Let’s go!  Monday Tuesday Wednesday Thursday Friday Saturday Sunday  We love GOLDEN JUNGKOOK,@loveofmusic4854,2025-08-04T12:02:26Z,27
"Spring is slowly coming, and with it the joyful rhythm of this song brings promises...",@maja9091,2025-03-09T11:43:09Z,27
"""La gente nos llama los Beatles del siglo XXI es un honor increíble y me alegra oirlo pero aún asi quiero ser simplemente Bts en lugar de los Beatles del siglo XXI ,Bts como ningún otro ,quiero set algo nuevo y único ""....Jeon Jungkook",@antoniaquispe7012,2025-01-22T01:07:41Z,26
I'm here for my most fav vocalist of all time.. Jungkook and his addictive song Seven which I can't get enough  of....,@shesaystruth-f1t,2025-03-21T15:36:05Z,24
Seven is nearing to another milestone. Oh yes,@chaedzamugoni8429,2025-03-12T22:33:05Z,23
"MAMA said “Asian solo artist with the most number one songs on a global music platform, proving to fans around the world that he is a ‘super powerful music king’ with his strong presence.”  CONGRATULATIONS JUNGKOOK Fans’ Choice Male Top 10” at the 2024 MAMA Awards!",@jandeeh,2024-11-22T11:31:04Z,23
Two milestones in one day! Such a success! I think social media will burn today. Congrats to JK and all his fans.,@maja9091,2025-03-21T18:19:45Z,23
Jungkook 's vocals still give me goosebumps !!,@kim-munazza,2025-05-20T05:50:12Z,22
Seven is really an amazing song to vibe to,@chaedzamugoni8429,2025-03-11T01:44:54Z,22
"1 week ago I didn’t know who JungKook is and randomly came across “Standing Next To You” .. and today I officially declare myself a JungKook stan 😭😍😭🥰 My my!! What a combination of talent, vocals, dancing, looks and that ATTITUDE🔥🔥 oh yes mmhmmm!!🥵 Been watching his solo performances and songs on repeat 😍💘😭🥵🔥",@Aquamerinee,2024-09-14T06:02:35Z,20
