comment,user_name,date,likes
"This song has already made pop music history. But not because of the amount of streaming, but because of its instrumental, vocal, choreographic and production values.",@maja9091,2025-02-01T12:28:59Z,48
"I was at the supermarket with my little one when a song started playing on the radio. Without missing a beat, my 4-year-old son instantly said, “It’s Jungkook, Mommy!”—and even started humming along! His popularity truly knows no bounds! We love you, JK!",@itsmeeekateyyy,2025-03-21T08:04:18Z,46
Our golden sweetheart who delivers everything with his whole heart. A consummate artist with deep instincts for music and performance. JK is extraordinary.,@rainoflights3195,2024-10-20T23:40:17Z,38
"Manifestng a Grammy Award 2025 nominee for Record of the year, pop vocal album and best music video. Also support for highr on all platform. Have a blessed day",@missyy291,2024-10-05T00:53:12Z,35
"Today is 03 November,2024. Happy anniversary. I can't imagine how fast times goes away. Thank you so much Jeon Jungkook for given such a energetic and powerful song and hope you will come soon and give us song like this. Love you from Bangladesh",@senorita4148,2024-11-03T08:47:22Z,35
This song is so close to the next milestone,@chaedzamugoni8429,2025-01-21T15:21:46Z,35
"Jungkook’s voice hits different. ‘Standing Next to You’ isn’t just a song, it’s pure emotion, deep love, and soulful magic. Thank you for making the world feel something real",@Marwaqueenofmyself,2025-05-19T07:57:51Z,28
"A truly worlwide pop star. He deserves all the success.  Oh, those moves and vocals. What a voice! He is so talented and charming",@SoldFuture,2025-02-22T16:37:25Z,27
"This masterpiece has not aged a day, and it is as contemporary and addictive as ever. Jungkook offers us some of his many talents as an extraordinary singer, his skills as an experienced dancer and always his unique hypnotic charm.",@Clo68MscPP,2024-11-24T11:46:46Z,26
"I'm not  army. I simply admire and respect JK as a singer with great vocal talent, as an artist and as a PERSON.",@maja9091,2025-01-09T11:17:19Z,26
Standing Next To You has reached 1.25B streams. It's now the 642th track in Spotify history surpassing the milestone. Keep streaming!,@InternetUser37,2025-07-26T14:06:13Z,25
"The vocal delivery on this is really so bright, clean and clear. Strong and majestic, while also tender and gentle. Jungkook mastered his craft.",@rainoflights3195,2024-10-15T03:21:03Z,25
"Still listening to this masterpiece on repeat! The energy, vocals, and visuals are just iconic. Let's keep streaming and show JK all our love and support!",@MelissaHaynes-b3r,2025-04-19T18:01:03Z,24
"JungKook is so powerful in his vocals, his dancing and performance",@sanres2100,2024-11-15T21:37:06Z,23
"If you listen to this song carefully with headphones, you will understand why JK has been the sole lead vocalist of BTS from the very beginning.",@maja9091,2025-05-18T11:10:15Z,23
Jungkook truly legend and most talented and bestest singer of all time in whole kpop industry. Our jungkook is the first asian soloist with an album to surpassed 5.6 billion stream on Spotify with golden and also the fastest album by an asian act to reach these milestone.,@munmunsingha4026,2025-05-22T01:45:26Z,23
Jungkook always on top in terms of vocals and dancing in kpop its a fact. Jungkook is the coolest when he dance and beautiful and mesmerizing while singing.,@munmunsingha4026,2025-07-02T03:39:35Z,22
"He really outdo himself with this song. The vocals, dance and music is awesome",@haslinafarisify,2025-03-22T07:13:17Z,22
"This performance of a very difficult song, both vocally, choreographically and in terms of overall stage charisma, confirms JK's greatness as an unparalleled artist. Some people have not accepted this yet.",@maja9091,2025-03-07T23:26:58Z,20
"The pain in my heart for not being awake when you went live on Weverse. I really miss you. As usual, we talked about you again, love. Even your haters were there, glued to your live, and they’re even more updated than I am. But let them be. Let them be jealous because, once again, you broke the record for having the most viewers for a real-time viewing. CONGRATULATIONS JUNGKOOK!!!",@KimberlyJeon,2024-12-20T01:47:46Z,20
We have more JK milestones coming very soon,@Yaay.,2025-03-02T04:03:08Z,20
One of his best song. The song shows his strong vocals,@smirtibagale,2024-11-19T11:22:52Z,20
"I am here after Weverse live, it was great, I missed him so much, thanks for coming and going live for us",@Sophia-001-nq,2024-12-18T18:08:53Z,20
"I have a lot to celebrate today and this is my celebration song! Thank you, Jungkook for this upbeat beauty of a song! ✨",@rainoflights3195,2025-02-14T01:12:38Z,19
I am enjoying your weverse live. Your looking so handsome and cute.I love you Jungkook,@Jeonjungkookie-97-y2e,2024-12-19T08:50:14Z,19
Jungkook's dancing in this song is so powerful!,@chaedzamugoni8429,2024-11-16T09:03:04Z,19
He’s giving MJ vibes!,@PriyankaSharma-q5x9n,2025-02-21T06:43:25Z,19
Golden Vocalist,@GurteshwarSinghSandhu-i3i,2025-03-22T11:10:03Z,19
"The dance, song and choreography are so amazing that almost everyone in the industry is covering it. That's how powerful Jungkook is",@chaedzamugoni8429,2025-02-19T09:43:00Z,19
"It was wonderful with JK at Weverse live. Over 20 millions hearts are still joyful as Jungkook showed his love and support for us ARMY fans around the world. Thank you so much, Jungkook. You are beautiful healthy handsome and sweet always. We love Jungkook. We support Jungkook always with unwavering love. Standing Next To You.",@loveofmusic4854,2024-12-19T11:12:33Z,19
Jungkook reaches another milestone with SNTY! Congratulations,@chaedzamugoni8429,2024-11-19T14:02:47Z,18
"The whole song is a gem - music, arrangement, singing, dancing, JK's presence (vocals are a masterpiece). I'm waiting for his return and new songs.",@maja9091,2025-03-17T09:39:08Z,18
"His vocals, the choreo and the visuals everything is just 😮",@Still_Tannies01,2025-06-30T08:54:15Z,18
"Dear Universe, stop the war and keep all the the guys safe, keep our golden guy safe and healthy.",@Music.lover1539,2024-10-25T20:07:13Z,18
"Imma obsessed with this song,. The vocal , the High note, the lyrics, the mv , the person who is singing.... omg everything is so attractive here",@Randomest_girl_ever,2024-10-19T15:53:33Z,18
That efootball song that always makes you vibe while matchmaking🔥,@cubelaps2454,2025-05-02T08:33:26Z,18
"Thank you, thank you my baby and sweet Jungkook for coming back and for not changing, I love you, I really did miss you, you made it so perfect. My baby Jungkook, and yes, congratulations on your beautiful record, wonderful and perfect Weverse Live, I love you, I cried a lot.",@guadalupearevalovalderrama0502,2024-12-18T17:35:27Z,18
SNTY is such a great song and full of incredible lyrics,@chaedzamugoni8429,2025-02-28T06:21:55Z,17
#JUNGKOOK is now the first and only Asian Soloist to have 4 songs surpass 950M streams on Spotify now that 3D has reached this milestone!,@AstriLuvi,2025-07-23T13:42:20Z,17
I was among 20 million who witnessed him live today on Weverse. And suddenly birds are chirping and there are butterflies everywhere after 12 long months of wait 💜,@shailjasingh6804,2024-12-18T17:44:22Z,17
"this song got MJ vibes, I really liked this song, this mv should have more views",@FMF2014,2025-07-23T01:53:38Z,17
Love watching a top tier vocal artist do their thing.,@rainoflights3195,2025-07-21T22:40:27Z,17
JK'S  fantastic  voice singing Standing next to you. Great vibes just like MJ whould have done,@memyselfandi52,2025-06-20T19:00:43Z,17
Brilliant song  from JK Standing  next to you...and dancing  is with MJ vibes,@memyselfandi52,2025-06-29T18:48:23Z,17
"Amazin song, vocal, coreo, production, everything.  Jungkook the best",@jhubincaalmaraz2851,2024-10-06T16:54:02Z,17
I can't believe JK went LIVE tonight! SOOOOO HAPPY to have been there for another live home concert...his vocals are still so amazing!,@clarashaw5780,2024-12-18T17:27:11Z,17
Let's go and hit one hundred and seventy million milestone. We're so close,@chaedzamugoni8429,2025-01-15T10:21:25Z,16
"Wonderful Artist Jungkook brings so many sincere talented individuals around him. Here we are listening to the voice of Jungkook, watching JK’s dance moves, and soaked with the vibes of Standing Next To You. As we have come so far while supporting Jungkook and enjoying STNY, we will keep going together. Let’s go.",@loveofmusic4854,2024-11-28T13:21:07Z,16
"Amazing song. Music, arrangement, vocals, dancing...all top notch.",@maja9091,2025-05-02T16:49:17Z,15
This is such a powerful song and performance.,@DITI-77,2025-08-08T06:41:11Z,15
"I love how this masterpiece resembles MJ in so many things, like in the coreography and the vocals even.",@fafaegidio,2024-11-28T03:37:12Z,15
"Jungkook espectacular tu voz, tu baile. Tus vocales eres maravilloso  siempre dando lo mejor en lo que haces y amas, que dicha que puedas hacer lo que amas y super bien hecho",@Margarita-z8q,2025-04-21T17:18:30Z,15
"The instrumental side of this song is powerful and striking. When JK's amazing, powerful and diverse vocals appear, we get a masterpiece. I love you and support you in these strange and difficult times for BTS.",@maja9091,2024-11-09T14:21:34Z,15
Such a lovely letter from Jung Kook on Weverse to celebrate JK Day 1/9/2025: this tells us the next chapter will hold on to traditions from the past as our fandom looks ahead. Thank you to our 9/1 birthday JK's sense of play in contact with us :-),@SusanMRS-be3dx,2025-01-09T14:26:26Z,15
Standing Next To You audio needs less than 6M for a milestone...,@Still_Tannies05,2025-03-01T18:57:30Z,14
Jungkook looks amazing and his vocals are breathtaking! Can't stop replaying this!,@ArtExpresss,2025-01-19T17:05:08Z,14
"It's great musically, vocally, choreographically and visually. So it's a sensational hit!",@maja9091,2025-04-15T19:24:54Z,14
"Someone on weverse described Jung Kook as ""shining"" in a photo at a waiting vehicle during his military discharge. It was the perfect word to describe him at that moment. We are so happy he is free from this duty.",@SusanMRS-be3dx,2025-06-11T20:15:32Z,14
Golden vibe will shine on and on :-),@SusanMRS-be3dx,2025-08-01T14:48:06Z,14
Jungkook is a great performer. His vocals are just amazing.,@FatamaKhatoon-r5z,2024-12-05T11:38:31Z,14
"Não importa quanto tempo passe, eu sempre vou amar essa música",@nicollybarbosa2780,2025-07-19T06:14:07Z,14
A catchy tune! It makes you want to dance! Congratulations and much success!,@scheilasantossantanadiniz7387,2025-07-29T17:18:25Z,13
"His talents and great prod of this song are undeniable. The same way that this song reach a milestone on Spotify only with a version. Congrats and proud of all his fans, viewers and listeners.",@missyy291,2024-11-03T07:58:06Z,13
Absolute vocal perfection,@MJ-ee8uu,2025-02-03T14:51:52Z,13
Get ready for another JK milestone... Less than 97K to go for 'Dreamers' FIFA World Cup 2022 Soundtrack video (FIFA) only a few minutes ago.,@ARMY_STREAM_TEAM,2025-01-07T13:01:05Z,13
"Very catchy music, can't get it out from my head..truly a masterpiece",@elissemanju,2024-11-26T17:03:27Z,13
"Brilliant minds capture the beauty and create something wonderful such as poems, lyrics of songs, choreographies for dance, harmonious melodies of music, streaming images of videos, stories that contain the beauty.  Jungkook is the top Artist who can perform magnificent singing and dancing with abundant energy on the stage.  Standing Next To You MV is a grand graceful beautiful masterpiece. Let’s stream STNY. Let’s go together by standing next to each other. Happy Saturday to you all.",@loveofmusic4854,2024-10-19T12:57:23Z,13
"This song is iconic. Everything is perfect. Outfits, choreography, dancing, lyrics, melodies, and the voice",@Zoe_the_Assyrian,2024-10-18T23:15:52Z,13
Gentle delicate graceful beautiful voice of Jungkook is powerful as ARMY Fans Music listeners are listening to Jungkook’s singing voice all the time. We are Standing Next To You. Stay warm.,@loveofmusic4854,2024-12-07T17:58:12Z,13
He’s got some MJ vibes,@Erika-ph6rm,2024-10-10T03:39:29Z,13
"We couldnt wait this awesome MV reachng the next milestone by the time he discharge. Improve our stream & view rate, he's back before we knw it.",@missyy291,2025-03-26T06:26:49Z,13
Jungkook vocal 🔥♥️,@Gayatrimusmade-e3u,2025-02-05T17:54:40Z,12
Esque Jungkook! Best vocal,@mildredlux2598,2024-11-29T19:25:04Z,12
"As a bassist, I love the respect given to the rhythm section at the end",@a.a677,2025-05-05T04:24:57Z,12
Efootball vibes 😅,@radithyapratama1341,2024-12-02T13:52:39Z,12
Our jungkook talented king and the best singer in kpop is finally coming in next month. I really miss his weverse random live and also his TikTok era. I hope jungkook comeback with solo world tour and second solo album so I can see his again TikTok era.,@munmunsingha4026,2025-05-14T08:58:02Z,12
"Jungkook’s voice, the melody, the feeling , it’s pure magic. 💜 This song stays with the heart, always. 🫶🔥",@ritikasehgal1986,2025-06-15T14:58:19Z,12
Less than 2M to reach 200M. Are we ready for that milestone poster?,@ARMY_STREAM_TEAM,2025-08-06T21:47:03Z,12
Excelente canción. Muy buena calidad vocal.,@fernandoismaelquezadagarci6381,2025-04-05T22:55:53Z,12
i am cant stop my self to vibeing on this song,@RudrakshiSinghAdm,2025-04-12T20:59:49Z,12
"SNTY audio is almost at 100M, please help it make that milestone soon.",@sandybeap,2025-04-18T16:28:58Z,12
The MJ vibe! Phenomenal....,@MahnoorJamil-p1p,2025-04-12T13:31:57Z,12
"SNTY refers to the best traditions of pop. It is classic music, great vocals by JK, dance, emotions and the power of true love.",@maja9091,2025-03-15T09:54:35Z,12
The lyrics though. Damn. I cannot wait for 2025.,@PasionGirl20,2024-12-14T00:27:09Z,12
It's deep like DNA...,@purplearmy1233,2025-02-09T05:54:51Z,12
"This piece weaves together many musical genres, creating a captivating whole. Killer choreography and vocals at the highest level.",@maja9091,2025-02-05T15:57:31Z,12
Here after receiving the notification by jungkook on weverse im cryinggg,@bushraimran6929,2024-11-23T10:01:08Z,12
Let's give Seven it's fifth milestone and SNTY second milestone... fighting,@Still_Tannies01,2025-01-31T13:27:40Z,12
"In my opinion, this is the best and least appreciated song of JK's solo era. Vocals at the highest world level. What JK has shown vocally here is top-notch, and since he achieved this effect easily and almost imperceptibly for the average listener, it seems to us that this is an easy song. The text is simple, but it contains a huge emotional message that is not lost in the multitude of words and verses. And the choreography is a real masterpiece, created together with the best dancers and choreographers. And JK danced just as great as his dancers. I'm waiting for a new project from JK (at least one single). I am waiting, missing and supporting.",@maja9091,2024-12-12T09:02:02Z,12
"The song, the music video, and the composition are incredible. Thank you to everyone who put their heart and soul into this project. Special thanks to the director for creating a video that can truly be enjoyed. It's all so amazing!❤",@Аліна-з4я,2025-02-11T09:02:25Z,12
JK's voice tone and his incredible vocal skills make a huge impression in this song.,@maja9091,2025-05-17T09:19:46Z,12
"Me looking at the lyrics and realizing he was singing to his future partner when you listen carefully to part of ""i testify............they can't deny our love........ we'll stand the test of time""",@shashaiSherlock,2025-03-19T17:42:42Z,12
"Jeon Jungkook please take care of your mental and emotional health. Hugs for you, always.",@Music.lover1539,2025-03-11T22:29:53Z,11
He is literally perfect. His vocals his dance his looks his manliness and his charisma are out of this world!,@Zztori_,2025-01-20T14:50:56Z,11
"In 10, 20 years this song will still be relevant. JK has set the bar so high here in terms of vocals, choreography, charisma and lyrics that it's perfect. This song is not just a one-season hit.",@maja9091,2024-12-08T09:03:25Z,11
Get ready for another Official milestone within the next 24 hours... 'Dreamers' 400M is almost here!,@ARMY_STREAM_TEAM,2025-02-13T11:30:52Z,11
"El.sonido de está canción es emocionante,es una mezcla de elegancia con comtemporeneidad me es muy sexy",@aimaragonzalez-w7p,2025-04-27T20:38:46Z,11
"Tema único con todo incluido, canto, voz, baile, vocales es fenomenal",@Margarita-z8q,2025-07-15T21:44:04Z,11
"Streaming Golden showers us with so many of JK's colors, but SNTY beats strongest with the heart of BTS  :-)",@SusanMRS-be3dx,2025-04-08T14:34:31Z,11
He’s So Handsome! ❤ He gives me MJ Vibes!,@Olympiagurl66,2025-02-05T10:14:27Z,11
"THIS IS BTS Plylist on Spotify have 7.8M saves, when they all could support for SNTY then the maknae & this amazing release wouldnt need to wait long to reach milestone for his first solo song. Improve & get higher. His debut was amazing and deservs such pleasant first yr of GOLDEN moments. Have a blessed day.",@missyy291,2024-10-28T06:59:38Z,11
"Love that song, the groove is incredible! I made a full guitar tab with vocal arrangement for this one, it’s up on my channel if anyone wants to jam along",@Retabbed,2025-04-22T10:22:55Z,11
"Singing about deep devotion to another, so appropriate for Jungkookie with his heart.",@rainoflights3195,2024-10-21T22:41:47Z,11
"His vocals, the choreography and the visuals - everything is superb",@Still_Tannies01,2025-04-15T17:18:28Z,11
"Get ready for another JK milestone soon, as 198M 'Dreamers' at FIFA World Cup Qatar 2022 Opening Ceremony (BTTV) nears 200M.",@ARMY_STREAM_TEAM,2025-04-26T04:26:45Z,11
