comment,user_name,date,likes
One of the hardest intros with the beat and the video.,@keatonwastaken,2024-06-07T17:45:43Z,1581
21 gets the craziest beats. Sheesh this instrumental is straight RedRum,@andrewsmith3257,2024-05-15T05:57:26Z,1229
This beat with this Brazilian baseline is stuck in my head!!! What a track!!!!!,@ETDEVARGINHA77,2024-05-18T11:09:12Z,576
"21 savage, this album has single handedly cured my dads cancer, got rid of my mums drinking addiction, made me a better person, this album was such a masterpiece when i first listened to “nee-nah” i cried with how amazing travis and your verses were, 21 savage, thank you so much for making my life better by dropping this madterpiece of an album.",@pringlwee,2025-01-10T09:43:30Z,259
"Redrum is straight-up sinister. 21 Savage glides over the eerie beat with his cold, calculated flow—no wasted words, just straight pressure. This one feels like a warning, like he’s talking straight to his opps. Dark, raw, and relentless. Classic 21",@ThroneAsphalt-420,2025-02-21T07:03:10Z,220
"Did you know 'redrum' spelled backward is 'murder'? The song they sampled is a Brazilian classic, Serenata do Adeus by the legendary composer Vinícius de Moraes. What's crazy is that they chopped it right on 'Adeus!' which means 'Goodbye!' adding even more intensity to the vibe. 'redrum' is also taken from the movie The Shining, where you can hear 'Johnny' played by Jack Nicholson, along with the huff and puff part at the end of the song.",@abnethussien9288,2025-07-11T15:10:29Z,178
"The amount of effects and the production team are worthy of an oscar, the editing is crazy and the time it probably took to record this whole videoclip is what gives us this masterpiece by 21",@iancofreramirez5237,2024-11-07T08:46:09Z,122
I love the flow and the outcome of the music video It perfectly allings with the beat.,@Lennychoppa,2025-02-26T06:17:08Z,32
hardest beat on album,@purplethoughts305,2025-04-02T20:58:46Z,20
"100 times playing this music, still get same Vibes",@riteshrai1706,2024-05-24T15:34:54Z,12
99% beat 1% lyrics and this bangs...,@DejvidR6,2025-01-16T12:16:32Z,9
The best beat ever made❤,@haiderfaisal098,2024-05-19T11:06:46Z,8
The beat go hard AF and so do my guy👍,@ThismyYTchannel,2025-06-28T11:07:10Z,5
Basic  rhyme schemes. Too bad they wasted such a good beat.,@tarnowskidavidk,2024-05-29T00:08:20Z,5
0:47 the voice reversed,@Crelle-k9y,2024-07-09T06:29:27Z,5
If they don't stop playing like this ain't one of the Hardest Joints in 2024 and 2025....❤❤❤OMM I'm in whole love with it😜🤩😘🤠😎..Crazy beat and sick ass Flo...lets git it Big 21 21!!!!!!!!,@MarcellaHillard,2024-05-09T13:51:10Z,4
😮 fire 🔥🚒 beat 🔥❤,@tiffanywiley6736,2025-04-09T18:59:06Z,4
Leaving this comment as a sign of respect for this masterpiece song & the eerie background + beat 🎯,@pomelo1767,2024-05-19T15:02:21Z,3
The beat goes hard,@pablonunez769,2024-12-03T17:20:38Z,3
"Nah when the beat day ""BAJI"" 😭👌🔥",@realgeeker1,2024-08-04T03:06:49Z,3
"The year is 1632, This melody is most wondrous, a true marvel to the ears, crafted with rare brilliance.",@HasmulaBToxic,2024-09-25T06:34:40Z,3
"Bruh these southern inspired beats/samples are beautiful. Like, even just the instrumental with the female vocal sample could make you cry if done right. Great job",@maryssalynnemedley8871,2024-07-07T04:59:15Z,3
basic ass lyrics,@woofwoofdawg,2024-05-06T10:29:13Z,3
This beat is so dope so much potential,@travisphelps3602,2024-09-14T15:34:59Z,2
This beat is cold asf gang,@LBM44,2025-02-13T10:20:15Z,2
"What a fucking waste, he ruined this legendary beat",@davehakimi,2024-10-07T13:20:28Z,2
HARD hipnotic Vibes here man 💥💥🔥💥🔥💥🔥💥🔥💥🔥💥🔥💥🔥💥,@waxondabeat666,2025-05-25T16:58:28Z,2
"21 savage stepping up his game!!🔥 not saying that he wasn't in the game before, the man beats, videos and bars are excelling everytime.",@inshorelord9343,2024-06-11T18:18:48Z,2
"It's wild how back in the 60s the Beatles would sing like Americans, and now we got English rappers sounding like American rappers",@666s8n,2024-12-30T20:48:30Z,2
These UK 🇬🇧 🏴󠁧󠁢󠁥󠁮󠁧󠁿  rappers do some fire beats... 😅,@DJReyzor357,2025-01-21T01:15:59Z,2
"21 better give his producer a raise. He can’t rap for shit, but the beats overshadow how bad he is.",@TheShaming,2024-05-29T03:34:52Z,2
The intro to this song is one of the hardest of all time. When the beat comes in... LONDON WAS IN HIS FN BAG 🔥,@SeeingSebastian,2024-06-04T09:42:32Z,2
Beat hard,@THE_banana_BOYS,2024-05-20T22:49:35Z,2
The only lyrics I ever remember is pussy,@zensuko7417,2024-08-20T14:19:40Z,2
0:21 just gave me a good vibe of having a good day,@Spideybro2357,2024-12-24T17:59:30Z,2
Let me hold this beat though,@matthewstamps6314,2024-06-16T18:45:29Z,2
Who produce beAt 😵‍💫,@Real_Irfanpathan,2024-11-18T09:48:36Z,2
