comment,user_name,date,likes
4Batz giving me 2015 Post Malone vibes. His first song was a hit and it was over from there 🙏,@ErickKhan,2024-03-09T17:59:30Z,1377
Bruh got blessed with a Legendary verse. This that nostalgic Drake vibe 🔥🔥,@squadmember1322,2024-03-29T14:32:09Z,1048
This beat and style is literally perfect for Drake,@NateAlyn,2024-03-08T14:53:07Z,472
drakes verse is so heavenly 🥰,@slumpcarlos,2024-04-08T22:06:17Z,384
Drake with the melodies 🔥🔥🔥Just hits deep AF,@Unknown_71-y2e,2024-06-13T21:08:55Z,305
"Drake went crazy on this beat, i genuinely fw it",@sourceeee,2024-03-08T17:31:57Z,203
10 years ago and this still a vibe 🔥🔥🔥🔥🗣️🗣️🗣️🗣️🗣️,@joeyphysiques,2024-03-08T19:06:42Z,142
Drizzy. This verse change my life,@Dupreegod,2024-03-08T06:52:24Z,88
Drake's verse explains how I feel about my new girl 100%.   Gives me chills just how accurate it is.  You probably won't see this but I LOVE YOU BABY,@marcoleblanc5219,2024-04-05T11:14:04Z,64
nah drake ate his verse as alwaysssss 😮‍💨 drake has done it againnnn 🔥 him ateeeee 🐐,@theyenvynoushin__,2024-03-09T03:36:21Z,45
"One of modern Drake’s best verses, That shit smooth",@Niamleeson44-5,2024-05-15T18:57:01Z,43
Drake slid for the 1st time in a long time… You can even hear 40 signature at the end the way the beat ride out. Shout out 4️⃣🦇. We needed this one 💯,@MarsFocus,2024-03-10T14:55:06Z,42
Drakes Verse is growing on me like a Fungus.,@ParkerVRGT,2024-03-08T17:39:09Z,29
the way 40 reworked the beat for Drake is A1,@prettymagnificentbroski,2024-03-08T13:24:43Z,28
Drake went crazy on this verse 😭🔥🔥🔥,@MichaelWilliamsTV,2024-03-08T12:27:38Z,25
Drake didn’t write his verse lmao,@mauricelockett9343,2024-05-09T01:09:18Z,19
The beat the song is all fire. And of course Drake came with the catchy barz!🔥🔥🔥🔥🔥,@re-nationentertainment361,2024-03-16T08:27:19Z,15
Drake’s ghostwriters are killing it lately. They’re writing hit R&B verses and their writing Kendrick Lamar diss tracks,@khalijohnson9466,2024-04-25T00:15:55Z,13
Drake changed the whole vibe on the song it’s finna go platinum congrats 4batz 🦇🦇🦇🦇,@chrishoward9059,2024-03-09T12:17:02Z,12
Hope this young man doesn't get corrupted / watered down by the industry he has a very promising vibe that we need!! I seriously think hip hop needs to get back to days where a man rapped the verses and A soul try voice was on the hook! I.e is rule and Ashanti days!! We need that type of vibe back,@Lilbadtrinibih,2024-03-08T17:30:09Z,12
10 years later.. this is still a vibe.,@sekelaniszzzn,2024-03-12T08:59:39Z,11
"Sorry, but the Drake verse is fire.",@lo_1986,2025-05-04T02:07:53Z,11
Hope the PnD and Drake project has this vibe to it!,@jayquan1094,2024-11-12T23:35:50Z,11
We like drake with the melody not when he trynna act tough,@lk2536,2024-05-29T15:58:50Z,11
why that beat hit so hard at 1:27😀,@Giro1of1,2024-04-13T23:34:36Z,9
drake has more bars on this remix than all of 4batz snippets put together. the 1:48 of autotune already started to get stale. Hopefully he has some full songs together. I want to see him have more than the 15 min.,@traviswarren6958,2024-03-30T10:04:47Z,8
"drake ruined it, soon as he started his verse the whole vibe changed and suddenly the song didn't  feel special anymore.",@pgrillamusic,2024-03-08T05:19:25Z,7
Melody Drake is undefeated,@dunn104,2025-06-13T23:02:56Z,7
"It’s the beat for me. The combinations, the vibes.. it slaps for real 😂💃🏽🩰😂",@Firebydesign3,2024-11-06T23:57:22Z,6
this is about to be on repeat all summeerrr 4batz brining that lighter flick late night vibe outta drake and im here for it,@anonymousnarwhal7420,2024-04-06T06:33:27Z,6
Beat is fucking serious😮,@TheSmokeyJaneShow,2024-04-04T00:21:31Z,5
Damn Drake stood on that beat,@deshawnburton7114,2024-03-08T17:44:04Z,5
Check out my slowed and reverb version of this song https://www.youtube.com/watch?v=g6LkZOa_mMU I hope you enjoy!,@sadboyzzzz,2024-03-08T19:09:08Z,4
Ion care what nobody say but in my opinion Kendrick killed dat boi Drake but Drake did lick this verse💯,@michaelperkins8831,2024-06-11T13:20:19Z,4
