comment,user_name,date,likes
i swear she put smth in that chorus its so addicting,@wsspkyu,2024-09-30T05:15:21Z,3123
"It’s giving mariah carey 2000s vibes with mix inspired maddona, lana del ray, charli xcx and lorde",@ashisia_.1303,2024-10-12T21:12:51Z,2145
"This is PURE Lana del Rey, the lyrics, the video, the music style.",@Blisteryn,2025-07-04T11:09:44Z,547
That key change on the final chorus…OMG,@Caleferink1,2024-12-15T00:12:26Z,544
Lana Del Ray meets 90’s Mariah Carey vibes.,@ruthlessness6168,2024-11-19T05:09:10Z,436
There’s something so emotional about this music video. She’s so beautiful and effortless. She deserves all the success.,@pizzagirlplay,2025-06-04T00:34:25Z,395
"I love how this song has a dreamlike vibe, and then it sounds like it's ending, but then continues in a deeper tone like your slipping into an even deeper dream.",@danielinthemaiden9039,2024-11-21T00:33:07Z,95
"This is perfection.  Her moves, the lyrics, the video, the nostalgia.  Nailed ❤it.",@Hglenn,2025-02-10T06:17:17Z,31
This song is honestly a vibe,@larrelllewis9407,2024-12-11T02:49:25Z,30
This beat is insane. The production is A+. Whether you like the lyrics or not,@xbadandy182x,2025-02-01T03:20:31Z,25
Did not expect to be listening to Addison Rae ever 😂 but my God this is so catchy. It’s giving me 90s pop star vibes.,@sdb5931,2025-02-21T15:07:41Z,22
This song totally has young nostalgia all over it. Reminds me of my early 20's. Good times good vibes,@nategallops8862,2024-11-18T16:20:44Z,22
I can’t help but replay this over and over. Love the melody and flow of this. It’s giving early 2000s vibes for me. I don’t know much of Addison but one thing from this video I can take is she seems so free spirited and quirky. Love that! ❤ Can’t  wait for more music from her! She has a nice voice and good taste of music!,@rosemay_c99,2024-09-30T14:58:41Z,11
This is 2010s vibe,@zechwilson5934,2025-04-17T09:19:34Z,10
Jojo take notes,@icannotenglisheu46,2025-01-01T22:47:24Z,8
Lana del rey's  influence is all over this video and lyrics! Wtf,@brodydalle_,2025-05-26T10:40:37Z,7
The chorus omfgggg fireeeee,@samruddhinaik8297,2024-10-28T16:10:12Z,7
"omg the part where she has the american flag held up and then her hair blows up is my favorite shot. This video gives me classic beauty 1950s moviestar glamour vibes. Can't really describe it any other way, this song and overall production is just so... well done🤩",@jstarASMR3103,2025-02-18T02:11:25Z,6
This song hits all the right notes,@jixneumann6007,2025-02-11T02:43:52Z,6
"she's doing more for music than the Beatles , rolling stone ,  etc. trust me I'm 62 and I recognize music when I see it. I mean hear it. Ok send siri send",@AnthonyScotto-k7i,2025-06-23T22:58:22Z,6
That’s her singing this ? It’s really catchy,@izzlem7144,2024-12-11T02:46:54Z,5
not enough talkng abt how insane the pitch shift towards the end is,@humanpart2,2025-06-22T10:14:21Z,5
"I'll be honest, I had no clue who Addison Rae was.  But when I heard this, all I thought was, it's got a great hook, and it contained not only a bridge (quite rare in today's pop music) but also a key change, also rare.  And it was a downward modulation at that, which is novel.  Artistically, this was also the same moment when the video switched to color.  I'm pretty sure the creators of this video might've had some David Lynch on their mind with the oldies vibe and flash frame editing, along with some Americana.  I'm quite impressed.",@Starks2510,2025-08-08T03:43:06Z,5
This has been one if not the worst music video I have ever seen 😅 please do better next time,@LucianaMateusRamirez-xp2fd,2024-12-27T17:20:43Z,5
ADDISON I CANT STOP LISTENING ITS SO CATCHY ITS STUCK IN MY HEAD,@Desty-b8z,2024-11-30T05:01:51Z,4
"Other than the masterpiece video, the song gives me such a nostalgic feeling of being 21 and super in love, it’s so bittersweet I love it.",@Hitathespacekatto,2025-06-21T07:19:45Z,4
Does anyone know any songs like this? the ethereal sort of sound? Not the lyrics but the genre,@User000-o5y,2024-10-26T12:42:40Z,4
I want to hate it but… it’s catchy.,@gingerisevil02,2025-06-18T01:16:09Z,4
Definitely Lana del Rey vibes,@csgn3351,2024-10-25T23:12:12Z,4
This song gives Gossip Girl vibes(especially Chuck Blair),@ahuseynli111,2024-10-28T11:11:15Z,4
The four shots after 1:05 has a visual rhythm I'm obsessed with,@juliaostlund9360,2024-11-04T06:41:05Z,4
haters can hate all they want but no one can deny Addison putting is out some solid fun catchy bops.,@residentevil4life,2024-10-25T12:09:26Z,3
"Song of the year, vibe of the year, so proud of you baby 💖",@sofiaaylen4447,2024-11-27T16:48:54Z,3
It gives a nostalgic chill vibe like those days of watching the rain from the window as a kid,@CONOR_69,2025-03-06T22:31:20Z,3
she's bringing us back to that 2014 tumblr teen vibes with a rio de janeiro filter on during the summer in los angeles,@xxvrou,2025-07-10T09:13:06Z,3
This song and video gave me marilyn and lana vibes,@fmrncuziluvu,2024-10-09T13:07:14Z,3
The producer/ producers did a great job with the beat especially at the intro. Love it.,@GeorgeWakai4628,2024-11-16T08:52:38Z,3
it feels so nostalgic ....,@VartikaJ-1,2025-04-11T11:13:48Z,3
Cassie vibes!,@julim29,2025-01-03T04:18:11Z,3
I came here after hearing tates “purple lace bra” chorus. Definitely sound similar,@emanueljohnson6619,2025-02-25T01:24:26Z,3
"Why does this song give me ""Diet Mountain Dew"", by Lana del Rey vibes?😭",@luiza4364,2024-11-09T12:53:29Z,3
I loved the song but i didnt expected the mv to be like this😂 its kinda cringe and seem like its made for the OF subscribing mens but still loving the mv its super vibe song for me,@melodysailo4833,2025-01-29T13:29:42Z,3
"Until I just now read the lyrics, I always thought that she said, ""My lips reflect off of his COSTCO chain"", lol😂. Apparently, she says, ""CROSS GOLD chain"". I think that my way is better, (cuz it's like, funnier, lol).",@andreklugel6846,2025-02-16T18:00:09Z,3
"Anyone else getting ""heatwave"" vibes",@russelldymott7965,2024-12-31T22:00:13Z,3
"""In the backseat"" is my favorite part her vocals are amazing.",@ChasityBoat-i7c,2025-05-04T00:22:23Z,3
She remembers me of national anthem chemitrails over the country club vibes,@fetcat5332,2025-05-28T16:07:18Z,3
"THE VIDEO, THE TRANSITIONS, THE SONG, THE VIBES, EVERYTHING 😫🫶🏾🫶🏾💞",@Officesirenwife,2024-10-26T03:33:17Z,3
"I think the girls biggest asset is her confidence, she certainly has it and its powerful.",@LanaNoHandle,2024-12-06T08:59:51Z,3
Ela me lembra a britney spears... passa uma vibe sexy,@thalitafortaleza6115,2025-07-20T02:09:29Z,3
diet pepsy is litterally the best between the three songs srry <3 it's already so nostalgic,@rapunzelissecret,2025-02-23T14:38:14Z,3
This song is such a vibe omgg 😩🫶🏼,@iamlilly4146,2025-01-02T03:02:49Z,3
she gives the vibe of lana del rey!❤ initially she putting her own track Aquamarine!🎀😍,@varadharasurajendran2635,2025-01-05T08:23:26Z,3
The Born to Die vibes from this is absurd,@brunovleals,2025-06-21T22:23:02Z,3
Great song! But I really want to know how Pepsi marketers reacted to this cuz Its kind of giving ad-vibe,@isa.belle1314,2025-06-11T16:25:21Z,3
Lana del Rey vibes,@alexvela6540,2025-01-06T00:59:23Z,2
This is lana delnrey lyrics in Taylor swifts style,@mmmmmmolly,2024-10-03T16:22:02Z,2
Found this from IG reels and the hook chorus got me. I like this type of music. It's a vibe.,@Scylid,2024-12-11T02:47:47Z,2
the lyrics is trash but the melody is really good. Why can't they just write about something other than sex and drugs tho lol.,@tuvu8394,2024-11-03T01:50:45Z,2
Love the music except the lyrics,@Bxxtterfly3,2025-02-24T15:15:56Z,2
She gives the vibe of lana and marylin monro,@therealityofmylifeFZ,2025-02-26T20:33:14Z,2
So catchy and smooth,@jellyrcw12,2025-06-08T08:35:20Z,2
"Such an addictive and catchy song, I love the melody and vibe..... reminds me of a song from the past that I can't quite recall, like a 90's 00's vibe, but with a mix of mebbe something like a song from a medieval tavern sang by some elven lady with her ethereal voice. I heard this one the radio and liked it the instant I heard it. I hope she makes more songs like this one.",@Rohan_Trishan,2025-01-10T22:26:39Z,2
"Song is good but i wish the music video had better quality and focused more on a certain storyline rather than her body 😅 it looked pretty dark, random, and chaotic compared to the song’s light, ethereal vibe",@rsrbgnza08,2024-10-04T06:31:58Z,2
This is just a softcore porn video for young kids. ITs been out for months and has never once been listened to by anyone with any clout whatsoever. Like jesus crist I came here off a Ludwig video just because I wanted to see how bad it sounded  and holy shit this did not dissapoint with how bad it was . I cant even make out the lyrics. The video is literally just her grinding on a dude trying to drive a car. Every single thing about this is disgusting and unsafe,@Foxexar,2024-10-14T14:54:19Z,2
PLS THE WAY MY HEAD JUST NATURALLY STARTED BOBBING TO THE BEAT I CAN'TTTTT,@DoIKnowYou5432,2025-01-05T08:31:25Z,2
"Perfect as is but if you listen at 0.75x it gives the song a whole new vibe and also lasts longer lmaooo the reverb is so satisfying in headphones ... this mv is proving addison to be a student of Madonna, Lana, Britney, Gaga.. unafraid to reference or reference put it in a blender..",@Beatles2301,2024-10-08T14:22:36Z,2
This is like Lana x charli vibes,@QweenFatimaOfficial,2024-10-09T16:34:27Z,2
This song has a sexy vibe ❤,@annlynn888,2024-10-03T21:19:43Z,2
Ngl I was a fat ass hater until I heard this at the coffee shop. Catchy af lol,@fartboy69onionring,2024-09-29T18:52:32Z,2
"It sucks, that the lyrics are so stupid dumb.",@FOH333,2025-01-29T05:02:18Z,2
the beat kinda reminds me of heatwaves but in a good way,@localDaydreamer_,2024-10-08T23:37:02Z,2
"Seeing addison always made me cringe but this song brings a nostalgic feeling not many pop artists give me. Brings me back to my teenage years in the early 2000s. I know ""losing all my innocence in the back seat"" is a different meaning in this song but i did all kinds of crazy things in the back seat of my friends cars losing my innocents in all sorts of different ways. This song has me reminiscing, I'm glad to be where i am now bc of those times and hearing this song today has me feeling some type of way. 🥵",@muckling,2025-01-09T07:20:03Z,2
Such a beautiful song and such a disgustingly awful video,@MrSugarrr,2024-12-24T15:54:35Z,2
I hope this doesn’t come across as creepy lol but her body is so pretty! The chorus is angelic.,@tawnys6172,2024-10-17T06:49:10Z,2
Autotuned to hell..,@MalluOtakuLife,2025-06-22T13:22:27Z,2
"Love the black and white music video, Diet Pepsi is great, love the old car and her pin up outfits/ sunglasses! And the guy is so handsome, love the beat change towards the end! 😍🥰😘👑💎🏆⚜️📺🎬🎥🩶🤍🖤👌🏻 🎵 🎶 😎 📝",@jazminratzlaff5357,2025-06-15T04:11:58Z,2
"What a great melody and tune, completely ruined by the crass commercialisation that renders it nothing more than an advert for Pepsi. Great waste of a tune. No credible artist would do this.",@david81buckley,2025-01-03T18:17:11Z,2
It's catchy well written well crafted well produced,@TrikkyupiMafia,2025-03-22T18:41:31Z,2
The song:❤ the video: 💀 the lyrics: 😁,@bejeweled.swiftie13_TS,2025-07-23T21:04:37Z,2
This had to be one of the worst songs I have ever heard,@lorgeronw3139,2024-10-11T18:35:32Z,2
"It's a slightly lame 90s girl power sound, its nice the singer doesn't take herself too seriously. The Lana but a Pinup girl influence is there but its not as deep or interesting as Lana. It's a one and done kinda thing, wont last.",@JMHulme,2024-10-16T07:36:22Z,2
Love the tone ♥️ very feminine,@GChannel7777,2025-06-23T21:00:57Z,2
Lana del Rey vibes,@Brithanyvargas_,2024-10-18T02:34:12Z,2
the chorus is soooo good but the rest of the lyrics are so cheesy i cant get past it,@synrieal3321,2024-11-15T07:43:03Z,2
I like this song but this video is so bad. It just drags on without any interesting content. Also why is she acting all goofy? Doesn’t match the vibe of the music.,@creamison,2024-12-08T13:48:39Z,2
Could have been a really beautiful heavenly song if it wasnt about shagging at the back of a car. Let down. Beautiful singing. Cheap lyrics horrible video,@WatchdogResearch,2025-07-13T09:42:14Z,2
This is like euphoria cassie’s vibe,@arntsic7989,2025-03-05T14:20:09Z,2
I keep listening to this song every day. It has such a catchy tune.,@aussielifewithvira4045,2025-06-04T23:50:37Z,2
I need some other songs with the same vibe as this,@ayazazaza,2024-10-18T11:19:29Z,2
Anyone getting the vibe that this video was inspired by the controversial book and movie Lolita?,@goreysins,2024-10-26T12:54:28Z,2
"Damn I really have an Addison Rae song in my rotation?! 🤨 this goes so hard, the chorus is so good 😭🔥",@Kilooooooo82,2024-10-11T06:08:41Z,2
she has Lana Del Rey vibe,@trangminh1609,2024-11-28T05:36:33Z,1
This song gives 2014 vibes I loveeee,@Lisasjsjs,2025-05-17T06:23:54Z,1
I thought it was taylor swift on the chorus😭😭😭,@thelyinggamefan11225,2025-04-22T14:20:17Z,1
Wtf are those video shots. I would love this song if it weren't for the lyrics which i have a bad experience with,@kikikira8416,2024-10-29T10:27:20Z,1
this looks and sounds like lana del rey vibes,@andreamoran5411,2024-11-02T23:53:04Z,1
addison successfully got herself out of the tiktok star jail! d'amelios take notes,@amorallego,2024-11-20T09:43:54Z,1
"Repeat for sure , the moment when we feel everything is like a movie… we hope you stay and aren’t crazy 😅❤️❤️ these moments with your love are unforgettable and incomparable 😊",@shellyyvonne2399,2025-07-03T00:11:15Z,1
"I mostly love alternative metal like Tool/Deftones and 90s shoegaze, but there's something transcendent about a perfect pop song. This is that. That chorus instantly captivated me the first time i heard it. It's literally perfect, melodically harmonically effervescent. And then the way it shifts down one semitone at the very end was a cool inspired twist. Love this track. ✨",@avedic,2025-06-01T01:21:15Z,1
"Ok, not a bad song BUT really seems like kind of ripping off Lana Del Rey vibes.. even the song title “diet pepsi” .. trying to have her own Diet Mountain Dew moment.",@ultra11afterlife,2025-01-04T22:56:26Z,1
Shannon Sharpe is somewhere beating off to this music video.,@Mr.maineman,2025-05-19T11:07:39Z,1
It's giving Born to Die from LDR Wish copy version vibes,@myfriendswan,2025-01-31T18:53:22Z,1
"I’m getting Cindy Crawford Pepsi commercial. But I’m 42 so 🤷🏼‍♀️ That said, as a late bloomer…this whole song is a trip down memory lane. And if this is her new vibe, sign me allllll the way up. 🫦🎸",@emilysauce,2025-03-13T04:02:21Z,1
Why must you name this song after one of the worst sodas ever lol,@thebiglt2187,2024-12-13T04:40:35Z,1
This song gives me 2015 vibes,@HahAera,2025-02-24T04:56:27Z,1
It’s giving new gen Lana Del Rey aesthetics and vibes,@unit333angel,2024-11-06T02:48:40Z,1
girl we need more of this vibe istg,@iarawawa1642,2024-10-14T03:48:30Z,1
Addison and Tate are really bringing the Britney vibe back to pop and I love it.,@tidal1996-om6oz,2025-02-01T19:16:35Z,1
