comment,user_name,date,likes
"y'all i'm blessed, like the lyrics? the harmonies?? the melody? nah this sounds so damn good😭🫧 worth the wait, she never disappoints us",@eee023,2024-03-08T05:26:32Z,3288
"omg this is literally so fucking perfect the layering, the theme, the lyrics, the melody, the VIBEEE",@ukumax1,2024-03-08T05:23:47Z,1798
0:52 this verse…her voice is absolute PERFECTION i can’t stop replaying,@hanalei7177,2024-03-08T05:47:37Z,655
The more I listen back to this album the more deeply beautiful and layered I realize it is. Ariana’s talent ceases to amaze me.,@janahamilton3,2024-03-10T03:54:02Z,642
i absolutely adore this track - it has such a nostalgic and sweet feel to it. loved the strings. i wish it was longer because it’s my fav from the album 🥲,@alexanderjamierailton,2024-03-08T07:25:19Z,230
"She didn't disappoint ❤ This album is full of gorgeous vocals, stunning production, great lyrics and beautiful symbolism",@kerchelle95,2024-03-08T06:05:23Z,184
"The last lyrics gave me such chills.... It's definitely one of her strongest albums, the messages are all so powerful and sometimes very hard to admit to yourself. I'm so proud of you Ari, you've definitely come far. This is just the beginning, I can feel that this is a liberating era. I'll always be there to support you♥",@plipplop5747,2024-03-09T15:08:57Z,168
"this is definitely her BEST album she has ever released. her voice / her vocals on one of the rest of her songs is unmatched ! she can really sing her ass off. her voice is so very beautiful, powerful, heavenly, angelic & magical. she’s definitely the blueprint, the queen of pop, the standard in our generation !!! this album is gonna be my personality therapy for the rest of my whole entire life. she really put her whole entire heart & soul out on this beautiful & special & healing album. this is absolutely giving me sweetener, thank u, next & dangerous woman vibes all over again & how does she manage to keep improving her voice / vocals over the album. her voice / her vocals really has been improving so much throughout the years. this album was so very deep, so touching, so emotional, so special, so authentic, so real & so raw. her talent is really crazy & sick. when i was listening to this album, i was in my bedroom crying my eyes because this is absolutely her best album she has ever produced & released.",@staciaallen3330,2024-03-08T05:07:06Z,126
"The lyrics kind of overwhelmed me, and the ending left me hanging. It's so short, but too much GOOSEBUMPS ARI I LOVE YOU LOVE YOU LOVE YOUUUUUUUUU🥹✨",@sharpay20,2024-03-08T07:49:55Z,93
"This whole album feels like a diary.. the lyrics are so personal, the sound is very delicate, soft, ethereal.. Just what a beauty sounds like 🤍",@blueberrydreams2178,2024-03-08T09:54:08Z,36
"i just finished with the album and i just wanna say thank you, it was a rollercoaster of emotions– heartbreak and healing. anyone can relate to this body of work whether it be from a romantic, platonic or familiar point of view. genuinely your BEST and i love it so much, i cant express this journey was from seeing you on television as a child and now as an adult being able to appreciate you as a TRUE ARTIST.",@bluuchandesu,2024-03-08T19:11:40Z,22
*these lyrics are so real.*,@skyylovespace,2024-04-27T05:11:48Z,20
"i’ve missed this feeling so much, always saved me from the worst ✨☁️ 1:12",@m4d3lyn-ar4nd4,2024-03-08T05:44:49Z,13
"I love how soulful the melodies are throughout the album, eternal sunshine truly comes from eternal peace within ✨️ 🧡",@nostalgiaisaknife,2024-03-08T05:47:21Z,12
no matter how much of a vocaloid jpop fanatic ill be ariana grande will always have a special place in my heart,@kitsuneteto,2024-03-08T12:16:22Z,12
"“when u hear this special melody after a period of listening,u will be able to remember and start singing the amazing song as if it is stuck in your mind.u can't come out how wonderful this album is”",@merilortega,2024-03-09T06:02:13Z,10
wtf this just made me cry the music and vocals they're so powerful wtf,@m1mi.nunelse,2024-09-12T20:14:56Z,8
"“IF THE SUNNN REFUSED TO SHINE, BABY WOULD I STILL BE YOUR LOVER?!” - best lyrics I’ve actually ever heard",@MonaMae-vb4br,2024-04-02T22:57:31Z,6
"I’m in a school shuttle sobbing to this MASTERPIECE. This is the best intro ever! The first verse is insane, but emoting.😢",@Dyce-Emrys,2024-06-14T14:37:22Z,6
This song is too levitating the intro is epic its exotic and it's the sweetest melody ever😩🥺😭💖🫀i love u Ariana ❤❤,@Zioravebaby,2024-05-07T23:14:25Z,6
This is the best intro ever ❤ the melody. The gorgeous vocal ❤ the meaningful lyrics. Ugh. My top 3 right now ❤,@Loislaulife,2024-03-08T12:41:58Z,5
The worst part about this song is that it's only ONE MINUTE long. I wanted more! 😭,@jourdondynamo,2024-03-08T13:54:04Z,5
I literally know all the lyrics to this song because I listen to it so much!! ❤❤❤❤🤩🤩,@Bry6212,2024-04-29T10:09:00Z,4
Esse albun É tão relaxante e passa uma vibe de conforto ❤❤,@jaiane_carv,2024-03-08T12:29:52Z,4
"First time ever Ive listened whole album and Ive felt very emotional,excited.I cried .This album fire",@jaxongirsherbekov2290,2024-03-08T05:39:34Z,4
this song is so deep<3,@hedgingwell7718,2024-05-04T01:49:19Z,4
Ariana girl we need a full song of this! how can you let this nostalgic masterpiece be 1 minute long,@excus,2024-04-24T08:04:59Z,4
this song has its own vibes. i like this song,@aaiiuueeoow,2024-03-30T13:47:27Z,3
Gives me such nostalgic energy! 🥹,@ariana.dreams,2024-03-09T00:03:16Z,3
Please keep this album safe from tiktok music. The soft vocals in this album are serving GOOD,@pim0n,2024-03-08T07:53:08Z,3
Ariana is prolly the best vocalist of the generation❤❤❤,@Jamal-c3x,2024-12-16T22:17:49Z,3
I'm genuinely emotional like I am crying. This is her best album intro. Give her a grammy for real ❤🥹 I love this album so so much,@eternalsunsh,2024-03-08T05:01:44Z,3
"Why does this song make me feel sad like nostalgic, i just got here😩",@JESUSCHRIST-u9u,2025-03-13T23:37:17Z,3
This song is so emotional and I think this is gonna be her best album. It really shows her emotional side and how far she came. Perfect song to cry  to when your seperating from your loved ones in school.,@kaitlynsingh2415,2024-05-06T01:34:26Z,3
THE LYRICS ARE EATING RIGHT NOW,@essenceclo,2024-03-08T07:02:43Z,3
the intro is already emotional 😭 howww,@PereiraMatau,2024-03-08T05:51:30Z,3
emotional asf,@haradjik,2024-06-17T08:51:43Z,2
MANO ESSA MERECIA MAIS TEMPO!!!!!!!!!,@Desconhevido,2024-03-08T05:25:21Z,2
"Honestly I hate how good this song is yet they couldn't make it into at least 3 minutes with another verse, chorus and bridge, heck even outro. Like it's so disappointing. Didn't the producers know how golden this melody was and just decide to NOT extend it? Did the writers run out of words?? Ahhh Ariana whyyyy😭😭😭😭",@laura79613,2025-01-27T11:57:25Z,2
"Looove this song, this whole album is amazing!,  its absolutely delightful  the microseconds of samples, ( like this one, with a microsecond  of Björk's voice) or the interpolations in other tracks or the references to films, theater, pop culture, Madonna, Mc Miller, her fans, herself. This is her first album that make me think of her as a real artist more than a trending pop star. Thanks to everybody involved in this album, producers, art directors, master and mixing engineers, of course Ari, thank you for such a masterpiece!  ps. Hope to see you as headliner (again) at Coachella 2025 :D",@ramonriKo,2024-03-14T06:58:47Z,2
mampir kesini karena fyp ku lagu tiktok :V ini terus!! bagus bgt vibes nya,@ApidTan,2024-04-30T16:08:39Z,2
This masterpiece is giving me Moonlight vibes and both of them are track no.1 too ❤❤❤❤❤❤❤,@Koko_critic,2024-03-09T22:28:04Z,2
10/10 the vibe,@narinsakpromwongsanon8138,2024-03-08T11:26:12Z,2
I am in love with the whole Album its  has so many emotions ｡˚❀♡,@Ivy-peaches-,2024-03-15T19:38:37Z,2
The song is so good and the lyrics don’t sound like the lyrics,@sreypichsoun5169,2024-05-27T11:59:08Z,1
"She is  so talented, she put sooo much emotion in 1minuite and 32 seconds, Talk about Legend. This should be a crime LOL!!😅",@EstherYusuf-fp9cq,2024-03-31T12:29:57Z,1
Plss ariiii make a longer verse im always listening to it 🩷🩷,@J_Flowerzzz,2024-08-17T14:50:45Z,1
BEST SONG LYRICS EVER PUT TOGETHER,@babydriverkermit,2024-07-11T11:07:58Z,1
"How can she always deliver....the vocals,the music...im in awe...",@mckyee2002,2024-03-13T17:07:22Z,1
why why this thw most beautiful lyrics i heard,@PatrickAlexisNacar,2024-07-16T04:06:07Z,1
I STARTED CRYING DURING THIS 😭😭😭 Ariana this intro is BEATIFUL!,@saffiregoat6432,2024-03-08T05:53:37Z,1
The Melody is so Mac Miller coded 🥺🥺🥺,@stessi6532,2024-03-11T06:01:56Z,1
Jeromy Maurice Green Unlimited Stadiums full of all the money in the universe unlimited multiple times unlimited multiple times 💚💚💚🪄🪄🪄🪄🪄🪄🪄🪄 unlimited magic psychic future,@JeromyGreen-o9m,2024-08-30T20:52:36Z,1
My top song so far this year! Definitely could’ve been a full song!!! Those lyrics 😮‍💨,@meghan8582,2024-03-09T09:38:08Z,1
