comment,user_name,date,likes
Sounds so nostalgic to hear a beloved voice you've not heard from for so long,@kameliakancheva,2024-03-08T05:44:03Z,10255
"this just gives the "" right person, wrong time"" vibee",@officialerosyt,2024-03-24T02:59:55Z,7157
This is the type of song you blast on the speakers while driving down a desserted highway. No thoughts just vibes. So beautiful,@toffermyc1999,2024-03-08T13:41:35Z,6303
"🤍 true therapy. The whole album is a masterpiece. So emotional, so true, deep, heartbreaking, soul healing. Thank you, eternal sunshine, Ariana!",@mateomitko,2024-03-08T07:13:40Z,2595
"It's so NOSTALGIC, I cannot explain. It's placing me somewhere magical",@Patrick-rp8gi,2024-03-08T05:14:21Z,2458
This is giving me one last time vibes. I am crying,@abjolute,2024-03-08T05:02:13Z,1152
"ARIANA GRANDE NEVER DISAPPOINTS US BY RELEASING GOOD MUSIC. Eternal Sunshine is really her BEST personally album she has ever released. I’m so very happy & grateful that she’s sharing her story with us ! I’m so very happy & glad she’s finally showing us a whole new different side of her too. She really did not fucking come to play this year ! I just finished listening to this album with different songs in it & all I have to say is her harmonies, her vocals, her voice, the production is absolutely unmatched ! ari really ATE & left NO crumbs with this beautiful & special & healing body of work / masterpiece. Her whole discography is the reason why i’m alive & this whole new album is absolutely so beautiful, so well done  , so powerful, so emotional, so special, so deep, so heartbreaking, so raw & so authentic. i’m so so so so incredibly proud & impressive with Ariana’s ability, her versatility, her art & her visuals. These songs / These lyrics really made me cry. This woman is definitely the MOST strongest & bravest woman alive. I love you so very much Ariana. This album is really going to change my entire life forever. ♾️☀️❤️‍🩹🥹😭",@staciaallen3330,2024-03-08T05:08:39Z,812
I love all the beats on this album they’re so different but all beautiful. I can feel ari fall in love with music again on this album,@taylorsuarez_,2024-03-08T05:34:24Z,396
The breathy coos / whisper like vocals in the background throughout the song  are so beautiful. She's the queen of vocal layering/stacking. They give such a beautiful feel to the song.,@GeeYhan,2024-03-09T16:50:46Z,230
"This is one of the most beautifully melancholic songs I have ever heard. After experiencing this period of post-breakup uncertainty where you feel like you can wait on the person who hurt you to change but deep down knowing that you’re going to have to rely on yourself to find closure and peace, this song holds such a special place in my heart. I think it’s my new favorite song by her 💜",@calebveitch17,2024-03-08T13:40:47Z,157
"this song and the whole album is the definition of ART, listening to this lyrics made me cry so hard, thank u ariana, I wouldn't be nothing without u",@lunavillanueva8783,2024-03-08T05:40:04Z,116
"This song is so nostalgic, it brought me back to my whole childhood and life. 🥹❤️❤️",@Fallenn.444,2024-03-08T06:06:46Z,78
"I - someone who has never experienced any love, but when I listen to this song, I feel so heartbroken. This song really touched my heart. The voice conveyed emotions to the listener and was a great success. Thank you Ari for such a wonderful song...",@h__vee,2024-03-10T13:58:59Z,71
she came and dropped the most emotional song,@shreya_890,2024-05-11T17:46:21Z,65
"bro, the lyrics.",@gyoubien,2024-03-29T01:10:10Z,49
You can really feel her emotion in this song 😢❤️,@Skymoon795,2024-03-09T19:26:13Z,43
The vibe and calmness of this song is just ❤ go Ari,@heydeonhere,2024-03-08T05:20:24Z,28
Worst part 3:49,@Hellokitttycats14,2025-03-11T12:17:16Z,20
