comment,user_name,date,likes
"I am 63 and have listened to a lot of music as I love music. I really hope Benson becomes one of the greats of the 21st Century. Such a pure voice with a great vocal range. It has been a while since I have heard a male's voice that I really enjoy. In fact, the last 10 years I have mostly listened to female singers. But this young man has a talent in singing and song writing that I admire so much. A true talent.",@BatMan-oe2gh,2024-04-15T12:22:14Z,1581
It's so refreshing to hear a love song about a son's love to his mother and at the same time professing his love to a girl. Such great lyrics and a breathe of fresh air amongst the noise of music being produced right now. Benson is an international treasure! We must protect him at all cost!,@kokocute123,2024-04-01T10:24:56Z,734
"Hard to believe someone so young can sing with so much soul-deep emotion. He's either had his heart seriously broken or feels the emotion of others....maybe both. Whatever it is, it's amazing. True, God-given talent.",@stonecountybetty,2024-06-19T11:30:39Z,610
"Freddie mercury vibes the way he changes his voice, and i absolutely love Freddie ❤️",@marieclinton8571,2024-10-11T21:48:25Z,150
"A young man who dares to add a sentence about Jesus' love on his cool lyrics song, deserves all my respect and full support. Bravo, Benson. ❤👏",@ncuzas760n,2024-03-30T21:54:04Z,65
"I never heard of Benson Boone until last month and now i can't get enough! Love the lyrics, the energy and the vibe coming from this guy and I'm 60 years old.",@lisaaddison184,2025-03-16T22:03:43Z,52
"A stunning voice with lyrics from the heart, a rarity in this day and age.  Benson is a one in million artist, the best I've had the privilege to listen to in many years.  Moving and incredible emotion in his voice, beautiful. I'm 58 love my music, all genres, rock, house, country etc. He is exceptional.",@gailcartledge3141,2024-06-14T04:57:21Z,48
"Im from the uk, this guy has massive range, never heard this type of rhythm and emotion and switch up, this guy is  unreal. What a song!",@leegraham6822,2024-08-12T23:36:29Z,41
"Putting this out into the universe. Some day soon, me and Benson will make a song. Mark my words 🍀 God bless everyone",@clovercage,2024-04-05T05:20:17Z,37
I feel like his music brings me to tears!!! Such an incredibly powerful voice. Pure talent. Rock on BB!!,@carolyncallahan,2024-08-23T14:18:17Z,35
My heart beat slows down every time you sing “slow it down”. It calms me. Keep working your magic Benson Boone!!!!,@irenes7930,2024-05-19T16:45:41Z,29
amazing vocals right there❤‍🔥❤‍🔥❤‍🔥💯💯,@tafadzwamashoko-os1bl,2024-05-01T21:05:06Z,29
This guy is so good it’s refreshing to hear such a powerfully talented voice. He plays everything too? Go Benson! Grammy winner soon 🙏,@robberzon,2024-12-22T13:46:33Z,27
"You sir are gonna be someone big. My husband, my 2 year old daughter and myself listen and swing along to your music. Thank you for having such beautiful lyrics that are not disgraceful or provocative. You don’t see that often anymore. We love you Benson. Good up the good work hun. God bless. ♥️♥️♥️",@HaileyBurke-uy2vn,2024-03-27T11:24:01Z,26
"If there's ever been an artist I've been more sucked into, this guy would be it!  The lyrics are always getting me in the feels!  Thanks for sharing yourself with the world!",@fs4538,2024-05-20T13:50:28Z,24
The lyrics are so peaceful and calm. You're the best singer ever Benson!!!!! ❤❤❤,@pookiebearofficial,2024-10-04T17:35:46Z,20
2:11 high tone keep the good work!,@Jirenzane,2024-10-12T16:18:59Z,18
I've grown fond of his powerful and beautiful voice 😊❤,@karlareyes4688,2024-06-12T23:59:16Z,12
"Does anyone else hear the similarity of the part that begins at 0:51 to Rosie's ""too bad for us"" ending of the chorus?",@piotralbrecht8517,2025-02-08T12:41:31Z,11
"Wow i love him. The way his head rolls when playing the guitar... gets me everytime. Beautiful lyrics, beautiful sound, beautiful man.",@michelle-apk,2024-04-05T03:11:58Z,11
"I want to say it. Nowadays it really hard to find very nice voice singer that melodic to hearing. Maybe they can attempt vocal class, but to have melodic voice it is gifted. And you’re one of the kind. Atleast to my ears. ❤",@AdraSuha,2024-05-02T12:51:05Z,8
"I cried listening to this song. The lyrics are raw and beautiful. ''Cause the only love you've ever known is jesus"". Thank you for this masterpiece. ❤️",@neayora9218,2024-07-27T08:54:20Z,7
"making me break my walls . . these songs , lyrics , human spirit . . Stay all of us Benson Boone . . Stay yourself . . The first time you sang was exactly what we all love . .",@Ai_today_123,2024-09-17T23:59:22Z,7
