comment,user_name,date,likes
"Nothing beats a proper, good ol' country-rock duet. This sounds like it could have been written at any point in the last 50 years, yet somehow feels like a breath of fresh air. Wonderful.",@darryl2542,2024-04-04T07:24:18Z,1506
"People be sleeping on Miley, but I have always found her vocals to be AMAZING. And in this song, HER VOICE brings out the country tone in Beyoncé’s voice.",@mrs.rogersneighborhood,2024-03-31T18:19:00Z,525
This song feels so nostalgic. Like it’s been here for decades. Their voices blend so well and Miley keeping up with Beyonce is outstanding!! This one should take home all the Grammys!,@CosmicJournee,2024-03-30T16:32:12Z,421
Beyonces strong vocals and Miley’s raspy vocals together are everything! Together they touch the soul,@i1629,2025-02-04T01:10:54Z,276
"The more that I listen, the more  I hear Beyonce on the low notes and then soaring on the high notes ....the blending of their voice was so tight it almost goes unnoticed",@griffimj,2024-03-30T22:47:16Z,133
The vocals on this were just PURE raw and meaningful. I have no other words but to say this song was just pure perfection,@nillamcc3532,2024-04-01T17:32:50Z,125
"Listen, Miley's voice in the opening of this song is magical. Her voice is so powerful. This collab is so iconic. Beautiful song.",@tM-wb9pr,2024-03-31T15:20:23Z,118
This kind of music is the thing that really gets into my soul. Their VOCAL is everything. Really nicely harmonize. Such iconics!!!,@Focope93,2024-04-03T11:04:56Z,117
Omg their voices in harmony is suede and velvet with the texture!! WOW!!! I want a whole album of them dueting,@crabbypanda,2024-03-30T20:50:24Z,116
"Most of the complaints are just coming here from the Grammy win and people that are the loudest don't really have an ear for actual music because of their own noise. Both Beyonce and Miley compliment each other on this song, the fact that they are singing within the same octave with each bringing their uniqueness in each of their voices. Making it a true duet with each singer taking a line and then joining together for the chorus and adlibs is just musical science.",@WadeM-fp2ii,2025-02-06T00:10:58Z,78
"Both work well together. Miley's voice, in particular, gives the song a powerful rawness",@Yesitisindeed,2024-04-05T17:42:51Z,62
MILEY IS ONE OUR GENERATIONS STRONGEST VOCALIST! I live and breathe for the way their voices mesh.,@riotking77,2024-04-03T15:09:04Z,59
Miley tone holds so well on this track…,@ticiao,2024-03-30T22:27:07Z,53
This is so beautiful!! Hopefully the industry understands we want more of THIS- beautiful music filled with talent and creativity- not autotune with every song sounding the exact same,@VictoriaD10001,2024-04-13T04:22:45Z,36
Call me emotional or Whatever I don't care. I'm literally crying listening to this so Beautiful,@Sandra-jo1lj,2024-04-01T04:55:49Z,29
"There is a certain peace that comes from hearing their voices blending in so well, this song makes me think of old friendships of mine, makes me wanna cry, makes wanna smile, gives me peace, it is a mix of emotions for real. This is how duets should always be. My favorite collaboration of the year. 💜",@aliceseteco122,2024-03-30T20:07:28Z,29
"This song is sublime and an instant classic.  I have always thought their voices are absolutely beautiful, and hearing them in a duet is what I needed today.  For some reason, I got emotional when I heard the lines: ""Know we're jumping the gun, but we're both still young. One day we won't be.""  Beyonce and Miley have the extraordinary ability to make you feel like they're telling your story. Kudos to both for a job well done.",@Mimi-zk9ks,2024-04-03T14:47:15Z,22
