comment,user_name,date,likes
this is a perfect mix of 90's retro music and modern beats,@stev009,2024-07-05T14:17:48Z,385
"This is an undeniable bop. The lyrics, thevocals, and the beats are perfectly matched.",@colinspencely2591,2024-06-24T16:24:25Z,345
"This gonna be one of the songs kids listen to when they’re young, just to grow up a learn the lyrics are something…",@Swissalamander,2024-06-06T03:48:24Z,265
1:05 is just soooo powerful to mee ngl,@OptimumLifeEnterprises,2024-11-29T21:52:11Z,24
"I love the ``90's MTV music video ´´vibes sooo much,with the sofa and everything 💗",@Cinammongirl_505,2024-07-14T01:29:45Z,22
That clip have the 90s vibes and style,@miguelsantana4960,2024-09-22T07:11:07Z,8
Jojo take notes,@_ava_m_,2024-06-09T18:08:57Z,8
This is how gay pop shoud be done👏. Take notes jojo siwa 😂,@TheCatFoodOrginal,2024-06-30T15:47:12Z,7
Minecraft cave type beat,@hasheeeesh,2024-06-04T16:45:16Z,6
I'm officially crying WHY IS BILLIE AO GOOD WITH THE VOCALSS???,@shannashepard3925,2025-07-29T04:24:08Z,6
Great jam. Love the old school video vibes. Great job Billie,@paulpilon6293,2024-12-13T16:07:46Z,5
"we thought you were vegetarian. more super,facial lyrics from you i see",@ΔημήτρηςΚόλλιαςκαιΣαμ,2024-07-17T14:06:36Z,5
"She is really getting so much better with her music. I was not a fan of her work early on at all, but now I can say she’s actually growing on me with her songs. She needs to highlight her voice more. That’s when she’s at her best because her voice is angelic. I love the vibe of this song.",@cameramike2515,2024-08-16T08:13:16Z,4
So when is the collab with Three Beat Slide coming out?,@jakebikelands2137,2024-06-26T14:10:46Z,4
Gross. Uncalled for lyrics that young girls are going to be singing. Horrible as most music today. Not going to care about any comments about my comments. Vile,@lynnc4872,2024-06-26T05:51:35Z,4
I like this song. Something catchy,@szadylpn,2024-06-12T01:23:00Z,4
Lyrics are so boring & lame I'd swear it was written by a child (if i didn't know what the song was about),@bhoss7133,2024-12-04T22:52:52Z,3
IVE LISTENED TO THIS SONG A BILLION TRILLION TIMES OKAY AND I JUST REALISE THAT WHEN SHE BENT THE BEAT MADE A FARTING SOUND ❤❤❤❤❤❤❤❤❤❤❤,@alyaa839,2024-06-22T17:18:33Z,3
I love this vibes of lunch😊😊,@SHEENIAANTOINEOFFICAL,2025-07-12T13:19:12Z,3
Not a big Billie Elish fan but thing song is pretty catchy especially with that baseline. Plus as a straight male I can empathize with wanting to be my queens throne 😂😂😂,@aidanderson53X,2024-07-01T07:07:59Z,3
"JoJo Siwa, take notes.",@WarfuKthesystem,2024-06-20T08:53:31Z,3
Catchy,@kevinbrown8017,2025-03-16T08:12:51Z,3
"Bad vibes, bad luck. Good luck",@Justlyjosh,2024-10-16T07:59:57Z,3
The way I tried not to blink cause every cut was so catchy ❤,@shivanighai3213,2024-06-20T19:45:42Z,3
This is actually so catchy tho 🔥🔥🔥,@HypingSugar,2024-06-15T00:45:11Z,3
Love her vocals.   And shout out to Finneas for his excellent production.,@emanuelmota7217,2025-01-28T06:21:51Z,3
"Beats are fire, but the song is gay as shit😂😂😂😂",@BriceScott-os9eq,2024-12-10T23:22:45Z,3
So catchy,@jw844,2024-10-03T15:34:22Z,3
"Not a lesbian but this song is bop, dont wanna ruin the vibe but would def want my man to sing this to me 😭😭🤞",@rumi.x6,2024-06-26T21:10:01Z,3
"For anyone wondering: Bille did come out as queer so, if you’re like, “Girl what are these lyrics meanings?” Here you go",@henryvaughan7283,2024-06-13T03:11:02Z,2
Did she really expect to win a Grammy with this lyrics?,@estebangranjamonge4822,2025-02-03T22:48:00Z,2
"She's giving me Limp Bizkit vibes 😆 Phenomenal song, 12/10, thank you very much miss.",@gdzg12,2024-07-09T11:05:50Z,2
"There should've been a line in the second verse going ""She's the reason I am queer.""",@_angelbxby.editss,2024-07-14T02:53:38Z,2
this gives me oxytocin vibes 😭,@neeraj.exe.08,2025-02-13T10:35:30Z,2
That's Gross! I was shocked to hear these lyrics on my radio with my Billie Eilish-loving children in the car. Such a shame..,@KarlBull-k3t,2024-08-07T03:30:07Z,2
I couldnt hear the lyrics because of what i was seeing🔥🔥🔥🥵❤️❤️❤️,@michalgross30,2025-03-30T19:36:42Z,2
that early 2000s vibes are real,@darrylperry9473,2024-07-17T18:31:30Z,2
Jordans voice.... anddd all the girls backup vocals.... favourite band...,@tryingtobe,2024-11-17T16:49:09Z,2
"Now THIS is true gay pop, JoJo, take notes.",@Roses_and_lillys,2024-06-08T00:22:10Z,2
2:29 is dope I love the remix beats at the end. I’ll be sure to make a EDM remix of this. Orgasm to my ears I love EDM.,@Metalearning2025,2024-06-11T03:48:10Z,2
i love you billie but what happened this is so poppy and mainstream sounding doesn’t sound like your writing at all. where is you beautiful vocals. disappointed 😢,@Wanderingthroughlife66,2024-06-04T17:16:13Z,2
love the beat 💯,@lesiagittensful,2024-11-08T18:59:39Z,2
Im a dude and i feel like a lesbian girl hearing this song.😐😂 lwk catchy asf tho 7/10,@INCwastakened,2024-07-21T08:36:46Z,2
Напишите  пожалуйста несколько песен с такой...lesbian vibe,@ЛилияМин,2024-06-20T16:12:05Z,2
U MAKE MY HEART BEAT FAST🥹,@MessyBacon,2024-07-13T22:54:28Z,2
Idk why but is it just a vibe.,@LAWGZ-hI,2024-06-05T00:48:11Z,2
I hate the song to be honest she has better songs than this all good girls go to hell what was I made for and ocean eyes don’t hate Billie but I hate this song the lyrics are boring and the melody is mediocre at best the song is just annoying she talented I give her that great voice great style great lyrics in her other songs and this song is overplayed I’m sick of seeing it just like bad guy when every kid was playing that shit every five seconds it gets repetitive and annoying love you Billie just not this song,@adrinaroselinder1116,2024-06-18T03:02:27Z,2
"Listen closely: Not found in the lyrics at --->  1:23  ""I just want to get her off...""",@cougar-den5439,2024-06-29T00:13:32Z,2
It's giving 2000s vibe,@MaryMooka-rj5kk,2024-08-24T07:30:36Z,2
This is currently the song that is soo catchy SLaY BILLY,@estrellaruix8938,2024-07-14T03:03:40Z,2
I kinda think it should have a deeper beat but still a 10/10,@unknownGamer28975,2024-06-05T23:28:34Z,2
This video has such a good vibe that I can’t even explain it why?!,@zwxka26,2024-07-17T19:30:03Z,2
the lyrics were great. You ate 'em billie. Its a banger not a normal album song.,@SiZo-s2r,2024-06-30T14:54:13Z,2
This is my fav song its just the lyrics and the sound,@phoenix_therian-v9h,2024-12-08T19:46:42Z,2
"The melody is good but the lyrics are bad, social deviation",@Zhm6802,2024-08-28T04:36:01Z,2
Lyrics are weak..,@robv5140,2024-07-29T21:08:01Z,2
"Why does she give me like young miko vibes 😭, idk why",@valesoljov4600,2024-06-13T13:38:36Z,2
"Finally, a song lesbians and straight guys can vibe to! 🤣",@JamesLawner,2025-01-14T23:09:37Z,2
My fucking heart is beating off my chest what THE FUCKING HELL BILLIE WHAT THE FUCK,@rosa_rvsr,2024-07-08T20:45:50Z,2
This whole song always has me hot af. Ugh . Lyrics on point. Fkn love her.,@irisiano,2024-08-03T09:59:04Z,1
AHH SUCH I HOOD SONG AND VIBE AHH,@grace_toca,2025-05-18T17:43:48Z,1
"great song, awful video",@Batnano,2024-06-20T13:45:22Z,1
Give a depressed woman autotune and she thinks she can sing,@Raprada,2024-09-19T16:47:52Z,1
The old school vibe,@Jitender2502,2024-06-06T15:46:51Z,1
Love this beat so much ❤️,@ReeseReneemarinaccio,2024-07-11T00:56:23Z,1
❤️‍🔥🔥🔥🔥🔥🔥🔥 hot  vibe ! Sooo hot .,@bonbon2p,2024-07-15T09:17:29Z,1
this music video has 2000s vibe,@BabyPiggg,2024-10-08T04:03:50Z,1
