comment,user_name,date,likes
"Wildflower is so beautiful and emotional, it feels like a breath of fresh air. Billie’s voice is just magical here.",@idmylife,2025-01-12T13:34:14Z,3095
"""but i seeee herrrrrrr in the back on my mind ALL THE TIMEEEEEEEEEEEEEEEEEEEEEE"" literal heaven her vocals are so tea i love billie!!!",@NaomiAnglin,2024-12-09T03:44:32Z,424
I'm starting to listen to Wildflower by Billie Eilish and it makes me emotional. Anyone listening to this song right now?,@nickabbatiello828,2025-07-08T21:48:44Z,324
"This album feels like a warm, comforting hug after a long, hard day. The vulnerability in these songs is what makes them so relatable and powerful. Thank you, Billie and Finneas, for sharing your hearts with us.",@lucasbrake-f4r,2025-04-13T01:33:31Z,321
"I rarely listen to music like this but this is extremely emotional, makes me feel everything I can’t explain to anyone else.",@theblackmambaplague,2025-01-22T09:32:00Z,200
"This song makes me feel so many emotions relationships,friendships all of that",@mariarosales3379,2025-01-04T16:26:13Z,164
"I wasn't a billie fan. I've grown to deeply appreciate her artistic capabilities and fall in love with her music, talent and ingenuity. She is genuine, which is rare these days. Glad we're alive to experience this side of music. ❤",@awe_possum,2025-03-26T17:04:19Z,132
"The raw emotion in this song is breathtaking, and the lyrics hit so hard. Billie and Finneas, you've created something truly special that resonates deeply with so many. This is more than just music; it's therapy.",@KristiHamada,2025-04-11T10:39:19Z,112
"I first heard this song at a turning point in my life. And to me, Billie is singing about an old version of myself — one that can never come back, but who once loved deeply, was happy, and hoped for the best. Sadly, life often takes turns we never expect.",@francheskodecapuchinos1445,2025-04-04T18:25:21Z,97
Billie Eilish's songs are so beautiful and felt so deeply that I can't describe them.❤😢,@Nurcan42-9,2025-06-13T18:32:54Z,70
"Her songs, lyrics and vocals have skyrocketed to something even more ethereal. If that were even more possible.",@RandomComment6,2025-06-15T18:42:51Z,47
This song is so vulnerable and honest; it's like reading Billie's diary. The rawness in her voice and the lyrics create such a powerful and relatable listening experience.,@erda-d2b,2025-04-16T20:44:00Z,35
This song alone should've won a grammy. She deserved album of the year this album saved my life she has saved so many lives Beyonce hasn't had a good song since she was strictly R&B. Her song are just catchy Billie's songs are so good.,@trishellehoward6652,2025-02-03T16:30:44Z,34
"Billie Eilish is perfect, unique, and unmatched 💖💕 Her eyes are beautiful, her songs are so powerful",@dulce.zamira,2025-03-24T16:11:28Z,30
3:05 dude i can't stop listening becase of that background vocal,@kayesrcha,2024-12-04T07:38:02Z,28
"who else feels the key notes of this song are ""back of my mind"" and ""burning alive""",@tugbaokyay,2025-03-17T15:43:33Z,25
these lyrics touch me in a way that i can’t explain. billie deserves an award.,@Zozo-rx2nn,2025-07-14T17:47:36Z,25
This song expresses the feelings of many people because it is a deep and beloved song. ❤,@غفران-خ4س,2025-06-07T23:55:57Z,20
"This is what happen when u create a song that's pure from your deepest heart, it would become a masterpiece and a wonderful song ❤",@SLIPYOGS,2025-06-24T13:56:24Z,19
This song is not a just song it's emotional connection song ❤,@PratikSanjot,2025-05-23T16:02:10Z,19
"The honesty in this song is gut-wrenching, a feeling so many of us know too well. The way she captures the lingering presence of the past is masterful. Definitely one of her most powerful songs.",@taubie-s1b,2025-04-17T23:40:12Z,17
"""Did i cross the line"" Has so much a emotion and meaning i truly love Billie's music!!!!",@Melslilcryb4by,2025-08-05T22:38:36Z,17
Am literally so emotional because of this song 😢,@keturahsiame,2025-02-07T17:56:47Z,11
"The honesty and vulnerability in this song are breathtaking, truly capturing the complicated feelings of navigating love and relationships. It's a beautiful, raw portrayal of jealousy and insecurity, feelings many can relate to. Thank you, Billie, for putting these emotions into words and music.",@fidansilva,2025-04-19T18:25:53Z,10
"those lyrics and the vocals are beyond insane, you are so talentedddd. you and your music will forever have a special spot in my heart, love you billie i really do💞",@yinthevandijk,2025-01-25T12:33:39Z,10
"In the beginning you can hear her footsteps in the rain, leaving the relationship. Throughout the song while she sings her soul is crying out that is why you hear another voice behind hers ... her soul the deep hurt",@elizettorosco6809,2025-07-15T01:32:24Z,8
"The raw vulnerability in ""Wildflower"" is breathtaking; it's a testament to Billie's growth as a songwriter and her ability to capture complex emotions so authentically. Finneas' production truly elevates this song to another level, making it a standout on the album. This one hits deep.",@jorani-z9i,2025-04-18T04:26:08Z,8
"I'm a 66 yr old straighjt white guy. grew up on the Bealtes, Stones, Zep, Steely Dan, etc.    I am more impressed by Billie Eilish than any musical artist in maybe 30 years.    She (and Finneas) are simply incredibly talented.      I have all of her albums, and this latest, Hit Me Hard And Soft, is just amazing.       I can't stop listening to it.     They keep growing as writers, as producers, and singers.      Some of her live performances can bring me to tears.     I am a HUGE FAN.",@emanuelmota7217,2025-04-08T19:35:34Z,6
Does this song make anybody else emotional? 😢,@aubriloudin2941,2024-12-11T03:33:57Z,6
She is literally a whole amazing magical vibe,@dosaahmed5118,2025-01-14T20:24:34Z,6
When I listen to this i think of like a warm hug after a emotional day ❤ thank you Billie,@sevamama,2025-05-30T01:26:43Z,5
Me and my bestfriend were together since 10 years. But nowadays I feel like a stranger to her. I just lost all the energy to fight or convince something. And suddenly I remembered this song. I realized wildflower lyrics today. I am gonna accept everything is happening to me. But what a horrible feeling it is to lose the closest one! 😭,@rinalaila,2025-05-25T11:00:40Z,5
"Was here to vibe, ended up crying",@Air1-y6x,2025-02-17T09:11:59Z,5
"I didn't think a 23 y. o. girl, however talented, would write and sing so awesomely something that triggers me so much and which I can fully relate to for some reason... I'm from a different generation but oh my, what a wonderful discovery you are to me, dear Billie! This song touches me deeply and it's been pure love since I first heard it ❤",@dreamingloom,2025-03-09T18:20:28Z,5
So much emotion and talent packed in this girl. ❤,@coffietofutofu4114,2024-11-27T10:35:54Z,4
current best song ❤️‍🩹 with best lyrics everything is perfect and it's feel too good while listening this song 😌,@Sole-King,2025-01-18T13:30:32Z,4
"By the time we were old enough it was too late. Hope this life goes well for you. Goodbye, the one. You will be forever thought of and missed for what could've been. Not just for myself but many men who have seen the women they love disappear into a place we dont know them anymore. Goodluck sweethearts. We love you more than you'll ever care to notice. We want the best for you even if it's not us. This is what makes us sucker's. Too good to care when we are getting screwed.... even if we are doing it to ourselves. We are only men. Dont blame all of us for the failures you've seen other men fail through. If we want you. You will know. Just do not take it personal if we find what we want but aren't ready to be married. We love you, just dont know how we can afford everything yet. We want so much for you. Please give us men a chance to show you what we want for you. We arent perfect but no one is. Enjoy love... like without isn't the same. Trust. Love. Indulge. Laugh. Cry. Fight. Be healthy and enjoy your life to the best extent. Which sadly is perishing at the same time. Its up to you. Deep down you know. Gotta stop listening to the bullshit in your mind. Be the man you want to be. PRACTICE NOW!!! Only time will tell how ready you are to Indulge in the love you can have with another. Good luck mfs",@chrisarnold4231,2025-04-20T01:41:16Z,4
"This song is so raw and honest, it's like reading Billie's diary. You can really feel the vulnerability and complex emotions she's expressing.",@shadrack-m7i,2025-04-04T00:13:17Z,4
"This is one of the best/worst videos of all time! 😉😊💙 Fantastic song, great lyrics, great video, that made you concentrate on how good the song is!! But, I'm sorry, I love looking at Billie!🤩🙂",@bomb121,2025-04-18T06:02:59Z,3
These lyrics are beautiful ❤🥺✨,@HEYitsAHMED1,2025-02-27T02:54:13Z,3
"Every time I hear this song, I close my eyes, place my hands on my chest, and take a deep breath",@افنانمحمد-ن5ث,2025-04-11T06:01:53Z,3
"IF YOU'RE HERE FROM TIKTOK TO SET THIS SONG AS A RINGTONE, YOU'RE ALLOWED TO LIKE THIS COMMENT.",@Faiza_46-b7i,2024-11-19T13:09:19Z,3
Esto es arte los vocales 😢😢,@urbanolatin,2024-11-10T16:53:43Z,3
This song is soo emotional.,@renaimitchell4840,2024-11-09T20:07:51Z,3
"What a song, filled with so much emotion 🥺",@mizzyys262,2025-04-15T18:58:13Z,3
😢a melhor de todos os tempos,@flaviarodrigues805,2025-02-24T15:25:22Z,3
"gosh, her first album passed me by and i did not get it. But this last album brings me, almost 60, to tears. The sheer beauty of her compositions and arrangements is breathtaking. Timeless MUSIC, real music, real emotion, real everything. Hope she's gonna stay for the next twenty years when i grow really old with this music in my ears...",@dreasbn,2024-11-23T15:31:22Z,2
"My favorite song of hers…it goes straight to my soul…beautifully done. I remember seeing her on Amazon doing this song. I was like wow!!! She felt it herself too. Never mess with someone who sings a song with their eyes closed, they’re pulling the energy from deep down their soul…powerful",@stellabrown909,2025-02-05T14:58:24Z,2
"Bc I see her.. in the back of my mind.. all of the time! "" I sing all day long - it’s such a beat and I love this song so so so so so much!!! Billie you are my aunt’s inspiration. She looks just like you! :D keep up your great work",@Khalani_Plays,2025-05-13T20:10:11Z,2
"""Every time I hear this, I feel like I'm transported to another world. The lyrics hit so deep, and the melody is just perfect! Anyone else can’t get enough of this song?""",@AyusmanNexus,2025-02-13T09:27:55Z,2
When lyrics hits you.💙💓💓💓💓💓💓,@furygaming2627,2025-01-25T12:53:15Z,2
I just feel the lyrics.,@nadimahmed8210,2025-05-28T21:11:44Z,2
"Why the song feels as if it goes through my heart. Like my heart is crying for a pain that I cannot express. It's as if every beat resonates with deep sorrow, echoing the unspoken words that linger in my mind.",@mylenegonzales4431,2025-05-05T14:00:43Z,2
someone type the lyrics,@vciouus,2024-12-23T08:52:57Z,2
All her songs hit deep 😢,@Lucid_Dreaming87,2025-02-26T20:22:32Z,2
"This song is so vulnerable and raw, it feels like reading someone's diary. The honesty is what makes it so powerful.",@PamelaWalker-g4o,2025-04-13T01:09:25Z,2
U kill mee with ur lyrics 😖 did I cross the line🥺,@adhithyanair,2025-03-21T17:03:18Z,2
Holy shit why this hit so deep,@bradyavis9177,2024-11-19T02:22:52Z,2
"damn, my broken headphones added effects to this song and it hits different",@conehead-cone,2025-03-12T01:12:35Z,2
When i can't talk out my emotions i sing this song.,@dukshramruttun5421,2025-05-12T10:04:44Z,2
This is such a vibe😊,@Onuae-z4z,2024-12-06T00:51:19Z,2
Wildflower is a feeling a deep feeling not just a song,@Layla-e1j2k,2024-11-14T08:54:50Z,2
