comment,user_name,date,likes
80s synth pop. This was high school for me. She captures that era in which I think was the best in music history. 80-95 was sensational with sounds from all over the world,@heyjoejp,2025-02-04T11:21:37Z,1460
"This girl’s got it all. Vocals, drama, smarts and beauty.  So creative and innovative. Very 80s energy and spunk but with 2025 content. Love her!",@annlibbey3351,2025-07-04T13:06:22Z,265
Alternate interpretation of the lyrics: My five year old son thinks that Chappell is singing about her love of takeout pizza.  🍕🍕🍕  I think he's on to something.,@daveross9842,2025-01-15T01:07:28Z,193
"This song is pure joy – it's impossible not to smile and dance along, no matter who you are or what you usually listen to! She's creating a whole universe of unapologetic fun, and I'm so here for it. Seriously addictive, thanks for the bop Chappell!",@nehabeall,2025-04-12T03:16:16Z,146
2:47 I love the way she fluctuates her notes at the end. Both times!,@InnocenceLost.,2025-03-29T01:12:47Z,63
As a 58 year old it's so nice to hear a new catchy pop song where I can actually understand the words!,@brmnyc,2024-12-11T06:01:33Z,38
"The energy in this video is contagious! Chappell Roan is bringing back the joy and unapologetic fun that pop music desperately needs. Between the killer dance moves and the infectious beat, this song is going straight to my summer playlist.",@aibhilinchaves,2025-04-10T01:48:49Z,20
"Even as a metalhead, I can't help but like this because of how catchy it is.",@slovak4life1991,2024-12-01T18:36:27Z,20
As a bisexual ive been so afraid to tell several people but ur music and speech just called out to me loudly i love ur vibe 😍❤,@brianahardin6012,2025-02-27T03:22:28Z,9
Cindy Lauper vibes,@meimoon8295,2025-03-14T15:29:45Z,9
"I love how every costume change makes her look like a completely different person in all of her videos, and she always looks amazing! Love the fun vibe she brings to everything, and getting her grandparents involved is wonderful and so different to other artists ❤️ thanks for brightening my day with this tune!",@bryony5652,2025-06-08T18:16:31Z,8
This has 80s vibes,@manuelramirez-p3f,2025-04-04T18:45:14Z,8
"Chappell Roan is bringing so much joy and unabashed fun back into pop music, and it's incredibly refreshing to see an artist truly thriving in their own unique space. The 80s vibes are strong, but the genuine talent and charisma make it totally her own.",@hodge-l5j,2025-04-07T21:38:54Z,7
"This Song is VERY Catchy, I like Chappell's Style, She's freaking Awesome!!!",@CANDLE-i1c,2024-11-07T00:05:35Z,6
This has such Hey Mickey! vibes.,@KennyTriton,2025-07-19T17:16:49Z,5
"As an accursed centuries old bog-witch, this is some catchy music",@mlemmlem9690,2025-01-15T03:11:17Z,5
"This song confused me emotionally when I first heard it. I didn't know whether I loved it, hated it, was annoyed by it, or drawn into it. It tripped me out, so I decided to love it",@yourdisservice,2024-11-14T01:36:39Z,5
Reminds me of 80’s vibe….dancey and bouncy..fun,@piratessalyx7871,2025-02-03T03:33:11Z,4
"I was at a Kansas City Comets game (indoor arena soccer) this past Friday night, and in the intermission between Q1 and Q2, a local dance troupe danced to this song - tweens and early teens. I has just gone to get nachos and a beer, and about 30 seconds later, I hear the FIRST of SEVERAL GROWN ASS MEN coming to the councourse to do the same, singing this song at the top of their lungs! Some even did the dance! I had no idea until I watched this video and saw the giant fork (which is in Springfield, MO - I have posed with it!) , that she was from MO! I LOVE her and how fun and catchy this song is. And I LOVED her acceptance speech at the MTV Music awards!  Keep it going, kiddo!",@katchmarik7393,2025-01-15T00:33:12Z,4
This song is annoying! This era is so sex driven and perverted,@arcmov24,2025-03-09T17:07:41Z,4
This is flat out one of the worst songs I've ever heard produced by our species.,@shambam6199,2025-01-04T20:51:38Z,4
"This is the most fun I've had watching a music video in ages – Chappell's energy is infectious, and the 80s vibes are immaculate! Adding this straight to my feel-good playlist; can't wait to see what she does next.",@rachellabeals,2025-04-21T01:07:17Z,4
"I’m a straight, white 6’4” 270lb dude. I love this damn song. Also, that Honda Valkyrie in this video is super cool too! Greg vibe, great vid! Great song!",@RobbieCampbellTattoos,2025-01-28T04:05:09Z,4
The Freakier Friday trailer brought me here 😊 this song is so catchy! ❤,@margheritabattistella,2025-03-14T19:48:01Z,4
All of your Music Chappell is sensational in every single way possible!! You gotta luv how catchy her music actually is?!!! 🥰🥰❤❤❤,@Porsche_the.911,2025-08-01T21:11:44Z,4
"im a staunch metalhead, but damn this tune is catchy",@r4dr4bbit46,2025-03-26T01:23:30Z,3
Your immaculate Chappell!! Just being yourself!! I’m sooo here for it!!😍😍😍 I’m here for everything you stand for gurl!! Luv your music sooo much angelic sound and pitch!! You could not do anything to improve your music surely Chappell!! Your style and music is sooo creative gurl!!😍😍😍❤❤❤,@Porsche_the.911,2025-08-01T21:27:41Z,3
"Chappell you don’t know how much your music has supported me and helped me feel comfortable in my own body as a transfem, it might just seem like a catchy cunty radio station pop song but this has profoundly helped me and I thank you so much for it, keep going you’re so talented.",@MaggieAustin77,2024-11-29T03:06:02Z,3
I am absolutely a big fan. Gets me going on a good vibe no matter how i feel,@ashleyh2523,2025-03-11T03:18:41Z,3
"Im straight, I am a male but this song is catchy and I dig it",@BabbaIsKool,2025-01-19T07:26:28Z,3
I could be going through the worst thing in my life and play this song and I’d feel better😍,@Celebrityedits15,2025-04-18T02:36:20Z,3
Okay I loved this as my first song I’ve heard by her😭🤍it’s so catchy,@l.a.y.l.a.y__,2025-03-06T05:10:29Z,3
This gave me some massive 80s vibes pretty rad song!,@BUZZKILLJRJR,2025-01-27T00:01:19Z,3
i don’t listen to her but i say she actually has talent! her vibe is a lil 80’s n i love that,@nycToniASMR,2025-03-10T14:28:04Z,3
