comment,user_name,date,likes
"This song is pure perfection. The flow, the melody and the beat is so hypnotic. I'm so happy for Flo Milli getting the recognition she deserves. 💞",@d.s9798,2023-12-15T20:58:31Z,849
She needs to keep up this TYPE OF MUSIC. ITS ORGINAL. LOVE THE BEATT,@maroonhorizon1693,2023-12-11T19:47:14Z,341
"I love this musical production. The women did a great job placing lyrics and flow to this. Not gonna lie, it's on heavy repeat",@kingsleylaurent562,2024-04-02T11:23:43Z,160
The vibe of this song even got a dude listening to it 😭🤣,@jacobe601,2024-01-09T14:56:32Z,150
i cried listening to this. so many emotions. this beat is heavenly.,@journeysalbum,2023-12-05T01:09:04Z,65
The vocals 😍,@swagbunnee897,2023-12-01T15:37:06Z,34
THIS VIBE IS OVERFLOWING,@amadeusquiaoit2060,2024-02-04T13:53:23Z,29
I love the vibe of the song & the hook. I wish I liked the lyrics more,@SadityChynna,2023-12-04T14:47:49Z,29
Flo ate this song up the flow the lyrics the beat it 🔥,@natoriaannikey2,2023-12-15T03:06:29Z,24
This takes me back to 2009 to 2012 the flow to this beat is nostalgic... this doesn't even sound like this was made in recent days... this sounds like one of them hidden gems you find when surfing youtube at 4am in the morning and begin to wonder where you've been all your life hahaha ❤,@katrinateague3949,2024-07-26T06:55:06Z,18
the beat goes craaazzzyyyyyy❤❤❤❤❤❤❤,@fumoimimo,2023-12-05T09:57:25Z,13
This is so smooth. 😍🔥🔥 I’m inlove with the beat and her flow.,@Princess_Casey_,2024-02-07T17:25:01Z,10
anyone know more songs with this vibe/style?,@elleapple527,2024-01-27T00:51:18Z,10
Song is a vibe fr 🔥💪🏾✅,@foriegnel,2023-12-31T11:28:21Z,8
Not only the lyrics but the beat. This is heat 🔥🖤,@Msadri444,2024-02-13T07:30:26Z,6
"Love the lyrics, wonderful inspiration for the black community",@loredofuego,2024-01-13T01:13:11Z,6
I never even heard of this artist but even I knew the first verse! I was like dang this whole verse sound familiar. This a bop,@cory5495,2023-12-01T12:58:38Z,6
Here to this banger 2024 September winter vibes,@Uncleghanaboy,2024-09-14T21:12:09Z,5
Such a vibe,@ianian2773,2023-12-01T07:31:38Z,5
The vibes of this song 😮‍💨,@Simpforthekaulitz,2024-01-22T03:54:32Z,4
Can someone please recommend other songs like this/w a similar vibe?? I need a full playlist 😭,@poptart7118,2023-12-01T22:55:55Z,4
This beat hard as hell,@teronjohnson7866,2024-04-28T13:41:54Z,4
The beat is really nice 💯,@LonerBecause,2023-12-05T02:17:41Z,3
beat so fucking fye,@byMDRM,2024-09-02T21:05:28Z,3
worst song ever,@LamarEditz997,2024-01-13T01:57:56Z,3
this fye...catchy asf,@yeettiti3621,2023-12-05T00:46:21Z,3
"All Gemini's here 2024., Issa Vibe.",@ILNova0613,2024-06-08T22:47:14Z,3
"The verses are brilliant. remix this and add lyrics to the hook, and  feature a male singer or rapper.  mega hit",@kocoaberry7041,2023-12-14T00:33:30Z,3
The beat tho,@nicjam82,2024-04-26T14:15:32Z,2
This song is soooo ass but the beat is SOO GOOOODDDDD,@MagicJaydenYT,2025-04-09T23:02:33Z,2
This song was done correctly. Flow nasty 🔥 and the beat 🔥,@IV3NGENC3I,2024-01-04T00:39:46Z,2
the ron artest beat is so good,@BabyVaunOfficial,2024-01-31T22:54:36Z,2
she needs to add a 3rd verse to this song it’s almost mandatory.,@hbdhbd6611,2024-01-23T13:44:37Z,2
Nah why the beat go too hard???😭😭😭🔥🔥🔥🔥🔥🔥🔥🔥 I like shordy already💯💯😩😍,@J0kinz,2024-03-12T11:07:41Z,2
the beat carried,@mind_of_dro,2025-03-15T13:47:33Z,2
I want the beat alone,@TeyanThuny,2024-01-28T23:47:36Z,2
wasn’t there a song to this beat already ⁉️,@SGTJay2,2024-01-07T23:22:10Z,2
A total vibe,@eventsbylashay,2023-12-20T00:53:27Z,2
The Singing Vocals At The Beginning 🥹,@GG-if8yc,2023-12-04T20:22:04Z,2
Im a guy and can admit this shit go hard lol beat and flow crazy,@juancortes8617,2024-03-27T15:59:18Z,2
im a nigga and im str8 but she ran on dis mf beat😭,@biggmotionn,2024-01-03T11:22:48Z,2
Fire!!! I’m remixing this for sho .. for the niggas tho talkin to the women ….gotta pay homage to this,@skreationz513,2023-12-21T16:47:49Z,2
What beat this came from?? Like original song an beat lol,@RomeDr.Br1an,2024-03-05T23:53:12Z,2
Flo milli and doja cat on this type of beats would go crazy🔥their flows would complement each other so much,@Stumza121,2023-12-21T14:04:03Z,2
man i love this beat!!! that Ron Artest by Babyface Ray got the same beat. oooweeee girl you did yo thaaaaang!😍,@tiyanastarr,2023-12-02T22:42:36Z,2
beat and flow is immaculate,@ayyylmao9022,2023-12-30T03:24:10Z,1
This Babyface Ray beat 🔥,@AcesizOfficial,2024-01-20T10:48:28Z,1
Hello! Is it wrong for a man to fucks with this song?? Cause she rode this whole beat,@Mr-Laur,2024-08-06T12:42:32Z,1
I wish the lyrics were different because the song sounds so good,@burgerseven,2024-10-28T07:57:23Z,1
Same beat as babyface ray…. Ron Artest is the song,@delog7152,2024-02-12T20:04:22Z,1
This song gives me New York vibes,@AshleyOrdonez-o6c,2024-11-08T02:23:42Z,1
