comment,user_name,date,likes
"kendrick really came back, lit the rap multiverse on fire, revived it, and won 5 grammys for one banger. what a legend.",@Toulousedits,2025-02-04T16:34:27Z,4353
I can’t get over just how strong Kendrick’s verse is on this track. There’s no fat! Every syllable and devastating. Omggg,@joshuatealeaves,2025-05-02T05:15:28Z,991
Futures verse was the Calm before the biggest storm in modern rap,@Shane.Roberts,2025-03-07T00:57:10Z,837
"Like That is straight-up warfare. Metro’s beat is dark and cinematic, Future keeps it raw, but Kendrick turns the whole track into a battlefield. Every bar feels like a direct shot, no filters, no holding back. This isn’t just a song, it’s a shift in the game",@ThroneAsphalt-420,2025-02-21T07:10:16Z,257
To think this verse start the greatest run in music history to the superbowl. Wow,@kelvinfootball1394,2025-02-10T04:21:26Z,126
Happy one year anniversary this verse changed hip hop forever 👑💯 Kendrick Lamar thank you 🫶🏾,@Addigaza10,2025-03-28T02:25:36Z,78
it really is crazy how one verse can fuck up the game,@Skrkro,2025-02-04T23:08:49Z,61
1:53 kendrick verse,@madd4799,2025-02-16T23:06:00Z,42
Thank You Kendrick for popping up in this track and putting Belt to Ass with your verse 👏🏻🙌🏼🔥,@Monique1994carmel,2025-06-02T02:26:06Z,31
Who here after the superbowl halftime show? I’m surprised Kendrick didn’t perform his verse at the halftime that could have been legendary.,@jalen3666,2025-02-12T20:40:29Z,24
I keep forgetting this is Future’s song. I can only hear Kendrick Lamar’s verse in my head. 😂,@PrettyPrincess9609,2025-01-28T23:08:54Z,24
That ‘BUM!’ On kendricklamar verse is the hardest drop i’d Never listened too,@musica-o4p,2025-04-09T18:25:02Z,20
"Beat so hard it had its own verse I absolutely agree with the other person who said this, metro made the beat start spitting too😭",@Not-Tiny_luca,2025-06-23T01:11:19Z,19
They were cooking with this beat,@player5678yoshi,2025-02-03T19:54:20Z,18
The beat pulls me in everytime and the lyrics keep me here,@isikelicocker3177,2025-02-09T02:08:49Z,15
the beat on this song is so BEAUTIFUL,@Maddy72133,2025-02-14T08:19:38Z,15
Kendrick's verse was the best minute of my life hands down.,@DOSAMUNCHER,2025-08-01T23:29:04Z,14
Future verse as the song fading 🔥🔥🔥,@geronmills1389,2025-07-26T01:48:59Z,11
"""Today marks the 1st anniversary of one of the biggest rap beefs in history—Kendrick vs. Drake. It all started with Kendrick’s explosive verse on 'Like That,' sending shockwaves through the industry and igniting a battle that had fans and artists picking sides. What followed was a series of diss tracks, subliminals, and direct shots that kept the culture on edge. Then came 'Not Like Us'—the final nail in the coffin that became an anthem, a victory lap, and a West Coast celebration all in one. A year later, the impact of this feud still lingers. The debates haven’t stopped, the records still hit hard, and the culture was forever changed. So, looking back—who really won?""",@kellykjellburg6818,2025-03-20T23:28:30Z,11
Its crazy to think that Drake could've avoided everything if he just didn't respond to this verse 😂,@cheuarangi6661,2025-02-13T22:25:02Z,11
Still love the violence Kendrick selected in this verse.,@tyshembethea2214,2025-06-16T01:34:18Z,10
Kendrick verse still gives me chills.Bro murdered drake and buried him.🙏🗣,@CertOG,2025-02-19T03:26:17Z,10
"That beat is fucking fire, Metro cooked 🔥",@Nomand55,2025-04-16T13:01:48Z,10
when we listen to the song we wait for kendrick's verse... or is it just me???,@nuee-d7v,2025-07-10T17:58:27Z,10
This Beat is Fuckin INSANE,@Big_Linwood,2025-02-25T22:12:56Z,9
"This has to be the hardest song future has made, this beat go hard frfr",@ShandaraYates,2025-05-07T21:02:48Z,8
The fact future sounds so clean they knew they had to present kdot w that vibe,@dominicknix3524,2025-03-07T20:15:31Z,8
the beat is crazy,@ai.videos-h6h,2025-02-21T18:00:27Z,7
Beat so hard you can't skip it 😮‍💨,@rulerising6784,2025-08-08T14:15:06Z,7
Kendrick verse that started WW3,@NkanyeziDakile,2025-02-13T14:21:35Z,7
Kendrick ́s verse put this song so high 💯👌🏾,@glennyygrec5307,2025-07-13T00:21:53Z,7
This beat & Kendrick's verse are what makes this track HOT!!,@missbttrsctch,2025-03-09T04:26:44Z,6
"""Why is the beat so hard?"" - J Cole fans",@jk3jk35,2025-06-20T17:36:30Z,6
Funny how one verse can fuck up the game……🔥,@beatpro26,2025-04-06T23:13:37Z,6
"Best song, lyrics of the whole beef",@dannydotz,2025-04-11T19:46:03Z,6
It's funny how one verse can f%^& up the game....,@ProdigalProphet,2025-02-06T07:33:01Z,6
This whole song is 🔥 from the intro beat to Future and Kendrick cemented it. It cooled down w the outro.,@isaacisprotection,2025-05-10T23:40:37Z,5
"When Drake hears the first 5 seconds of this beat, he has a heart attack 😂😂😊😂",@kelvinfootball1394,2025-08-02T15:24:22Z,5
Happy one year anniversary to the record and verse that shook up the world.,@EdSmith313,2025-03-22T16:31:26Z,5
Future needed another verse at the end he started to snap 😭,@don.senpai,2025-06-06T14:18:25Z,5
I think the kendrick lamar verse was the thing that made this song fit in with the album,@natt0707,2025-03-02T19:55:15Z,5
The beat drop is “God Tier” Metro 😱💪🏿👍🏿🧠❤️💸💵,@travanti3723,2025-04-02T05:52:59Z,5
Almost a year later and kendricks verse hasn't been match yet.,@spgoonsquadbizair,2025-03-10T16:55:42Z,5
It’s about to be a year since Kendrick dropped this throwaway verse 😅,@EmphasisOnJ,2025-03-01T22:31:22Z,5
one year anniversary. one verse can fuck up the game indeed.,@rafinhaipsep,2025-03-22T09:02:01Z,5
Those old school beats !!!!!!,@dukesservicesllc2802,2025-03-13T02:33:01Z,5
omg kendrick verse is crazyyyy,@RealRare88,2025-02-13T17:35:28Z,5
Its crazy how one verse can fuck up the game,@vinipaul100,2025-04-01T19:30:48Z,5
1 Year Ago the world was shaken by this verse,@PaulaRoseOliveiraSantos-m5s,2025-03-22T15:19:24Z,5
This beat so tuff😭😭🔥🔥🔥🔥,@dattebayo07,2025-02-15T09:57:11Z,5
Keep it 💯…the west and the south vibe off each other…examples all throughout this video.,@7ynobeus,2025-02-01T03:25:47Z,5
Beat still hard in 2025,@SophiaDilworth-bq7sg,2025-01-21T23:49:44Z,5
"Of course Kendrick's verse is the highlight, but let's not forget how hard Future's words go. He really ""like that""! I love this track",@phillipstahl3957,2025-03-09T18:51:48Z,4
"Lil flip beat, Slim Thug sample and Future &  Kendric all on the same track 🔥🔥🔥",@EdgeTraderFX,2025-02-26T20:30:02Z,4
When the beat said 🔊🔉 🔊🔉 🔊🔊🔊,@ragingrobsta2684,2025-02-24T16:41:31Z,4
Summer 2024 vibes,@aykay23,2025-01-28T23:00:19Z,4
"HERE IN JULY 2025, GIVING STRAIGHT UP PROPS TO METRO LAYING THAT BEAT DOWNNNNNN !!!!  FUTURE ALWAYS THAT GUY FROM THE ATL ... PLUTO ❤❤❤ AND ADDING KENDRICK TO THIS TRACK WAS LIKE A CHEFS 💋 💋 ... I WANT MORE OF THIS ""BIG 3""  DAYUMMMMMM THIS SHIT STILL HIT HARD 🔥 🔥 🔥 🔥",@michelleabraham6625,2025-07-08T11:31:45Z,4
Crazy beat go hard,@LINZERSGRAPHICTEES,2025-04-10T16:17:56Z,4
bro kung fu kenny verse gives me the chills every time I listen to this,@1mickeyfan,2025-05-24T20:47:26Z,4
The vibes are immaculate,@VaronDiStefano,2025-02-21T05:58:53Z,4
Beat so good can wake zeus up,@salimnassir1985,2025-02-26T18:20:00Z,4
"Personally, I would’ve left this man after hearing his verse.",@BR-qq2gb,2025-02-27T11:51:25Z,4
